# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	20774, 118, 40, 1	4.401	0.452743326798	0.732017063708	40
branching involved in blood vessel morphogenesis(GO:0001569)	20774, 808, 40, 6	3.857	0.0237720859844	0.129616413844	40
organophosphate catabolic process(GO:0046434)	20774, 400, 149, 6	2.091	0.299449673076	0.599508186138	149
regulation of synaptic plasticity(GO:0048167)	20774, 482, 349, 6	0.741	0.990403699757	1.0	349
negative regulation of chemotaxis(GO:0050922)	20774, 1357, 55, 3	0.835	0.888395534615	1.0	55
dendrite development(GO:0016358)	20774, 912, 44, 3	1.553	0.57993790461	0.824031171924	44
amino sugar catabolic process(GO:0046348)	20774, 323, 15, 2	8.575	0.0666228326214	0.250295724765	15
negative regulation of lymphocyte mediated immunity(GO:0002707)	20774, 706, 46, 9	5.757	0.00018139730331	0.00370579898608	46
regulation of lymphocyte mediated immunity(GO:0002706)	20774, 730, 188, 25	3.784	2.2589312734e-07	1.36107757739e-05	188
positive regulation of leukocyte mediated immunity(GO:0002705)	20774, 730, 167, 21	3.578	6.97195098855e-06	0.000255280666965	167
negative regulation of leukocyte mediated immunity(GO:0002704)	20774, 706, 56, 10	5.254	0.000155146511732	0.0032968633743	56
regulation of leukocyte mediated immunity(GO:0002703)	20774, 730, 242, 28	3.293	7.03785094499e-07	3.68133741738e-05	242
positive regulation of production of molecular mediator of immune response(GO:0002702)	20774, 685, 99, 13	3.982	0.000238727159156	0.00460057197401	99
negative regulation of production of molecular mediator of immune response(GO:0002701)	20774, 603, 35, 4	3.937	0.0759247173103	0.273314805025	35
regulation of production of molecular mediator of immune response(GO:0002700)	20774, 685, 146, 17	3.531	9.0721618393e-05	0.00213779655223	146
regulation of steroid hormone secretion(GO:2000831)	20774, 23, 23, 1	39.27	0.0867999589438	0.298931851816	23
establishment of mitochondrion localization(GO:0051654)	20774, 922, 21, 1	1.073	0.736897546475	0.924520907016	21
positive regulation of steroid hormone secretion(GO:2000833)	20774, 715, 13, 1	2.235	0.493186169126	0.760394597075	13
establishment of organelle localization(GO:0051656)	20774, 1977, 279, 47	1.77	0.00109634063031	0.0146589365177	279
maintenance of location in cell(GO:0051651)	20774, 989, 98, 13	2.786	0.00624523323209	0.0519708220013	98
hippo signaling(GO:0035329)	20774, 0, 19, 0	0.0	1.0	1.0	19
spindle localization(GO:0051653)	20774, 322, 43, 2	3.001	0.367657489924	0.660928356536	43
positive regulation of lymphocyte mediated immunity(GO:0002708)	20774, 730, 137, 20	4.154	1.15923379559e-06	5.63056415003e-05	137
negative regulation of stress fiber assembly(GO:0051497)	20774, 97, 25, 1	8.567	0.267023394373	0.567678140784	25
positive regulation of stress fiber assembly(GO:0051496)	20774, 1327, 54, 7	2.029	0.201858050445	0.490421906265	54
positive regulation of cytoskeleton organization(GO:0051495)	20774, 1729, 206, 25	1.458	0.205123425977	0.494623864058	206
regulation of glomerular filtration(GO:0003093)	20774, 1128, 11, 1	1.674	0.503864208075	0.767912978997	11
regulation of cytoskeleton organization(GO:0051493)	20774, 1452, 532, 61	1.64	0.00154220442126	0.0186791171634	532
positive regulation of filopodium assembly(GO:0051491)	20774, 1779, 31, 5	1.883	0.301428238027	0.599935486017	31
regulation of ATP metabolic process(GO:1903578)	20774, 1960, 79, 14	1.878	0.084894540384	0.294532078883	79
regulation of granulocyte differentiation(GO:0030852)	20774, 808, 19, 6	8.119	0.000338291486463	0.0062455642856	19
cellular response to heat(GO:0034605)	20774, 372, 61, 3	2.746	0.308048356333	0.605663021951	61
granulocyte differentiation(GO:0030851)	20774, 1366, 20, 3	2.281	0.296366389191	0.596744506155	20
regulation of epithelial cell differentiation(GO:0030856)	20774, 96, 148, 2	2.924	0.489091992481	0.757968566554	148
negative regulation of epithelial cell differentiation(GO:0030857)	20774, 87, 46, 1	5.191	0.425915712424	0.712854708558	46
