# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
ribonucleoprotein granule(GO:0035770)	20933, 22, 205, 1	4.641	0.594895221177	0.886660383599	205
cytosolic small ribosomal subunit(GO:0022627)	20933, 1897, 43, 10	2.566	0.0247426377445	0.127752442286	43
proteasome accessory complex(GO:0022624)	20933, 1846, 17, 5	3.335	0.0468572882057	0.181954249787	17
cytosolic large ribosomal subunit(GO:0022625)	20933, 682, 60, 6	3.069	0.0682613308944	0.234352081374	60
intrinsic component of mitochondrial membrane(GO:0098573)	20933, 1914, 60, 12	2.187	0.041777096572	0.168959270313	60
mitotic spindle pole(GO:0097431)	20933, 1825, 29, 5	1.978	0.265000683179	0.516936629433	29
contractile ring(GO:0070938)	20933, 785, 13, 3	6.154	0.0366614424939	0.15250125655	13
H4 histone acetyltransferase complex(GO:1902562)	20933, 1703, 42, 8	2.341	0.0818483301878	0.255127234097	42
dendritic spine head(GO:0044327)	20933, 56, 16, 1	23.363	0.114494240376	0.322417742619	16
cytosolic ribosome(GO:0022626)	20933, 1237, 14, 3	3.626	0.118073910963	0.329472616182	14
plasma membrane raft(GO:0044853)	20933, 747, 113, 7	1.736	0.385586608323	0.669537616082	113
TOR complex(GO:0038201)	20933, 1138, 15, 1	1.226	0.626933017602	0.91047772329	15
COP9 signalosome(GO:0008180)	20933, 49, 34, 1	12.565	0.225819473664	0.471875862874	34
proteasome core complex(GO:0005839)	20933, 42, 19, 1	26.232	0.111132866164	0.321329870946	19
heterotrimeric G-protein complex(GO:0005834)	20933, 1019, 33, 5	3.113	0.082666447998	0.255542044837	33
STAGA complex(GO:0030914)	20933, 1581, 12, 5	5.517	0.00522105789468	0.0439116188599	12
nuclear transcription factor complex(GO:0044798)	20933, 1918, 200, 30	1.637	0.0394869767333	0.161523491007	200
myosin complex(GO:0016459)	20933, 998, 60, 6	2.097	0.235374577897	0.480525096729	60
SWI/SNF complex(GO:0016514)	20933, 1983, 17, 2	1.242	0.62180684514	0.907396073996	17
endoplasmic reticulum lumen(GO:0005788)	20933, 1497, 59, 12	2.844	0.00574654177847	0.0453338295857	59
manchette(GO:0002177)	20933, 0, 12, 0	0.0	1.0	1.0	12
palmitoyltransferase complex(GO:0002178)	20933, 1767, 11, 1	1.077	0.623891995017	0.908125250149	11
integral component of presynaptic active zone membrane(GO:0099059)	20933, 0, 26, 0	0.0	1.0	1.0	26
envelope(GO:0031975)	20933, 1879, 173, 25	1.61	0.0831811350957	0.255542044837	173
photoreceptor outer segment(GO:0001750)	20933, 998, 69, 3	0.912	0.880629182776	1.0	69
myofilament(GO:0036379)	20933, 0, 23, 0	0.0	1.0	1.0	23
other organism part(GO:0044217)	20933, 1404, 27, 3	1.657	0.489887401851	0.788508941518	27
proton-transporting ATP synthase complex(GO:0045259)	20933, 1726, 15, 5	4.043	0.0211758944597	0.112761637998	15
mitochondrial part(GO:0044429)	20933, 1948, 810, 126	1.672	1.54356642486e-07	1.00480206885e-05	810
chromosomal part(GO:0044427)	20933, 1984, 952, 162	1.795	3.02349129449e-12	9.6600546859e-10	952
extracellular matrix component(GO:0044420)	20933, 1855, 48, 1	0.235	0.989025129029	1.0	48
extracellular region part(GO:0044421)	20933, 9, 1818, 2	2.559	0.721872329185	0.974992544375	1818
apical plasma membrane(GO:0016324)	20933, 658, 307, 10	1.036	0.901431086258	1.0	307
SMN complex(GO:0032797)	20933, 1219, 11, 1	1.561	0.518373096476	0.819902001605	11
ribonucleoprotein complex(GO:1990904)	20933, 1956, 921, 126	1.464	0.000166688769023	0.00367290080709	921
cyclin-dependent protein kinase holoenzyme complex(GO:0000307)	20933, 2000, 42, 8	1.994	0.158211503354	0.385904027731	42
preribosome, large subunit precursor(GO:0030687)	20933, 1890, 22, 4	2.014	0.291430948842	0.552594588457	22
preribosome(GO:0030684)	20933, 1940, 73, 13	1.922	0.0844177289739	0.258100137868	73
endocytic patch(GO:0061645)	20933, 1202, 14, 5	6.22	0.00378410949987	0.0355594995649	14
anchored component of plasma membrane(GO:0046658)	20933, 758, 72, 3	1.151	0.790875164	1.0	72
plasma membrane bounded cell projection part(GO:0120038)	20933, 65, 1516, 5	1.062	0.958236905749	1.0	1516
Swr1 complex(GO:0000812)	20933, 1235, 11, 3	4.623	0.0635092865204	0.227991202733	11
AP-type membrane coat adaptor complex(GO:0030119)	20933, 1922, 47, 11	2.549	0.0179955678235	0.102929763714	47
nuclear speck(GO:0016607)	20933, 1704, 312, 38	1.496	0.0671306547446	0.234352081374	312
PML body(GO:0016605)	20933, 894, 73, 7	2.245	0.160038446555	0.385904027731	73
MCM complex(GO:0042555)	20933, 523, 11, 3	10.916	0.00890489619473	0.0654049272234	11
nuclear euchromatin(GO:0005719)	20933, 1002, 30, 3	2.089	0.377999857849	0.665404708445	30
axon terminus(GO:0043679)	20933, 197, 118, 2	1.801	0.686088385655	0.961426487794	118
endoplasmic reticulum chaperone complex(GO:0034663)	20933, 1159, 13, 4	5.557	0.0172961430667	0.102138285375	13
SAGA-type complex(GO:0070461)	20933, 1581, 25, 6	3.178	0.0391828460448	0.161523491007	25
desmosome(GO:0030057)	20933, 0, 24, 0	0.0	1.0	1.0	24
nucleoplasm(GO:0005654)	20933, 1962, 1958, 300	1.635	3.67163390793e-17	2.34617406717e-14	1958
replication fork(GO:0005657)	20933, 1463, 36, 10	3.975	0.000873802259336	0.012186690928	36
NADPH oxidase complex(GO:0043020)	20933, 658, 12, 2	5.302	0.121601797675	0.334929089285	12
cell-substrate junction(GO:0030055)	20933, 875, 162, 16	2.363	0.0117517023348	0.0798865722545	162
leading edge membrane(GO:0031256)	20933, 158, 149, 2	1.778	0.712280486209	0.974619337661	149
tight junction(GO:0070160)	20933, 472, 126, 5	1.76	0.487978073585	0.787419164194	126
