# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
ion antiporter activity(GO:0099516)	20437, 460, 52, 2	1.709	0.625268927686	0.948159380602	52
lipoprotein particle receptor activity(GO:0030228)	20437, 239, 16, 2	10.689	0.0508098677277	0.285875299742	16
extracellular matrix binding(GO:0050840)	20437, 117, 59, 2	5.921	0.178973427074	0.554246624738	59
G protein-coupled glutamate receptor binding(GO:0035256)	20437, 1233, 12, 1	1.381	0.564412965434	0.924734202567	12
glutamate receptor activity(GO:0008066)	20437, 0, 27, 0	0.0	1.0	1.0	27
chitin binding(GO:0008061)	20437, 1619, 11, 1	1.148	0.604745383728	0.934926184963	11
peptide N-acetyltransferase activity(GO:0034212)	20437, 1910, 74, 18	2.603	0.00109324366096	0.0223896301766	74
neuropeptide receptor activity(GO:0008188)	20437, 817, 45, 1	0.556	0.93441078643	1.0	45
poly-pyrimidine tract binding(GO:0008187)	20437, 23, 33, 1	26.926	0.132196768452	0.480866993227	33
RNA-dependent ATPase activity(GO:0008186)	20437, 1287, 37, 3	1.288	0.662799814238	0.973754676872	37
ion channel binding(GO:0044325)	20437, 682, 136, 5	1.102	0.842141708503	1.0	136
intramolecular oxidoreductase activity, transposing S-S bonds(GO:0016864)	20437, 1261, 16, 2	2.026	0.411092804275	0.799616179584	16
intramolecular oxidoreductase activity, transposing C=C bonds(GO:0016863)	20437, 0, 15, 0	0.0	1.0	1.0	15
intramolecular oxidoreductase activity(GO:0016860)	20437, 1261, 47, 4	1.379	0.61857290161	0.948159380602	47
prenyltransferase activity(GO:0004659)	20437, 1302, 13, 6	7.245	0.000380309031346	0.0118518777876	13
peptide antigen binding(GO:0042605)	20437, 989, 38, 8	4.35	0.00249309181964	0.0416913226562	38
T cell receptor binding(GO:0042608)	20437, 90, 16, 3	42.577	0.000247874092605	0.00976242580107	16
voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels(GO:0099511)	20437, 0, 14, 0	0.0	1.0	1.0	14
polypeptide N-acetylgalactosaminyltransferase activity(GO:0004653)	20437, 0, 17, 0	0.0	1.0	1.0	17
polynucleotide adenylyltransferase activity(GO:0004652)	20437, 1648, 12, 3	3.1	0.146556273423	0.501082012561	12
3'-5' RNA helicase activity(GO:0034458)	20437, 1287, 19, 1	0.836	0.754971324248	1.0	19
transmembrane receptor protein tyrosine kinase activity(GO:0004714)	20437, 558, 61, 1	0.6	0.94200332098	1.0	61
non-membrane spanning protein tyrosine kinase activity(GO:0004715)	20437, 866, 45, 9	4.72	0.000734859097698	0.0171021753646	45
protein serine/threonine/tyrosine kinase activity(GO:0004712)	20437, 1245, 38, 5	2.16	0.241144984389	0.631540828682	38
protein tyrosine kinase activity(GO:0004713)	20437, 32, 134, 2	9.532	0.111617878266	0.441300028357	134
water transmembrane transporter activity(GO:0005372)	20437, 0, 13, 0	0.0	1.0	1.0	13
cytokine receptor activity(GO:0004896)	20437, 1215, 96, 19	3.329	3.8302094053e-05	0.00236606025596	96
neurotransmitter receptor activity(GO:0030594)	20437, 0, 116, 0	0.0	1.0	1.0	116
aldehyde dehydrogenase (NAD) activity(GO:0004029)	20437, 0, 17, 0	0.0	1.0	1.0	17
serine hydrolase activity(GO:0017171)	20437, 587, 211, 6	0.99	0.915099171998	1.0	211
carbohydrate:cation symporter activity(GO:0005402)	20437, 0, 20, 0	0.0	1.0	1.0	20
regulatory region nucleic acid binding(GO:0001067)	20437, 878, 970, 72	1.728	9.9585503752e-05	0.00463525253827	970
histone kinase activity(GO:0035173)	20437, 432, 17, 2	5.566	0.131696034105	0.480866993227	17
SMAD binding(GO:0046332)	20437, 629, 84, 3	1.16	0.804036302142	1.0	84
MAP kinase phosphatase activity(GO:0033549)	20437, 638, 15, 3	6.407	0.0376093790748	0.233406085894	15
1-acylglycerol-3-phosphate O-acyltransferase activity(GO:0003841)	20437, 0, 11, 0	0.0	1.0	1.0	11
amide binding(GO:0033218)	20437, 990, 360, 25	1.434	0.269031863193	0.664994261527	360
protein serine/threonine kinase inhibitor activity(GO:0030291)	20437, 331, 29, 3	6.387	0.047984212	0.272976850489	29
cell adhesion molecule binding(GO:0050839)	20437, 22, 229, 1	4.057	0.643728534086	0.963710553953	229
protein tyrosine kinase activator activity(GO:0030296)	20437, 299, 16, 1	4.272	0.369742038752	0.76902667828	16
intronic transcription regulatory region DNA binding(GO:0044213)	20437, 1852, 15, 1	0.736	0.761072050516	1.0	15
