# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
ABC transporters(mmu02010)	8447, 1709, 48, 11	1.133	0.751233035916	1.0	48
cAMP signaling pathway(mmu04024)	8447, 41, 210, 2	1.962	0.765749530493	1.0	210
Pathways in cancer(mmu05200)	8447, 393, 535, 44	1.768	0.00260352257406	0.0142508604054	535
C-type lectin receptor signaling pathway(mmu04625)	8447, 1209, 112, 31	1.934	0.00199107169743	0.0119464301846	112
Transcriptional misregulation in cancer(mmu05202)	8447, 350, 181, 27	3.6	1.41935484665e-07	2.6049336009e-06	181
Viral carcinogenesis(mmu05203)	8447, 1725, 227, 93	2.006	2.41043387104e-11	1.88013841941e-09	227
Chemical carcinogenesis(mmu05204)	8447, 59, 94, 1	1.523	0.87870858764	1.0	94
Proteoglycans in cancer(mmu05205)	8447, 1345, 202, 41	1.275	0.326175107332	0.59862725581	202
MicroRNAs in cancer(mmu05206)	8447, 1779, 280, 71	1.204	0.296202442543	0.563507085813	280
TNF signaling pathway(mmu04668)	8447, 977, 110, 29	2.279	0.000205643485687	0.00164514788549	110
Parathyroid hormone synthesis, secretion and action(mmu04928)	8447, 1616, 107, 26	1.27	0.447665525119	0.727456478319	107
Glucagon signaling pathway(mmu04922)	8447, 7, 101, 1	11.948	0.369477146558	0.645410278935	101
Regulation of lipolysis in adipocytes(mmu04923)	8447, 579, 56, 4	1.042	0.877419941961	1.0	56
Adipocytokine signaling pathway(mmu04920)	8447, 1467, 71, 23	1.865	0.0134228183612	0.0524186731414	71
Oxytocin signaling pathway(mmu04921)	8447, 554, 153, 13	1.296	0.656404645011	0.966029477563	153
Relaxin signaling pathway(mmu04926)	8447, 268, 131, 6	1.444	0.690561897266	0.99747829605	131
Cortisol synthesis and secretion(mmu04927)	8447, 1658, 69, 12	0.886	0.958693122746	1.0	69
Renin secretion(mmu04924)	8447, 624, 76, 4	0.712	0.981653948299	1.0	76
Aldosterone synthesis and secretion(mmu04925)	8447, 1748, 102, 20	0.948	0.949067512069	1.0	102
Amyotrophic lateral sclerosis (ALS)(mmu05014)	8447, 1242, 52, 13	1.7	0.176738728402	0.377688241517	52
Human immunodeficiency virus 1 infection(mmu05170)	8447, 1773, 236, 90	1.817	2.24837925491e-08	5.84578606277e-07	236
Chemokine signaling pathway(mmu04062)	8447, 1766, 194, 65	1.603	0.000438226486407	0.00310742417634	194
Fatty acid degradation(mmu00071)	8447, 12, 50, 2	28.157	0.0170194775355	0.0596637864167	50
Hematopoietic cell lineage(mmu04640)	8447, 1734, 93, 25	1.31	0.370283461312	0.645410278935	93
Cytokine-cytokine receptor interaction(mmu04060)	8447, 292, 290, 21	2.095	0.0141489162476	0.0538349008443	290
Starch and sucrose metabolism(mmu00500)	8447, 30, 33, 1	8.532	0.359040051758	0.632884159031	33
Linoleic acid metabolism(mmu00591)	8447, 1195, 50, 2	0.283	0.999538613465	1.0	50
Apelin signaling pathway(mmu04371)	8447, 1617, 138, 29	1.098	0.786202930236	1.0	138
VEGF signaling pathway(mmu04370)	8447, 57, 58, 3	7.665	0.0520544311851	0.146315157926	58
Biosynthesis of unsaturated fatty acids(mmu01040)	8447, 388, 32, 5	3.402	0.077241706272	0.199168697164	32
Arachidonic acid metabolism(mmu00590)	8447, 1512, 88, 5	0.317	0.999996916971	1.0	88
Neuroactive ligand-receptor interaction(mmu04080)	8447, 457, 348, 2	0.106	1.0	1.0	348
Vascular smooth muscle contraction(mmu04270)	8447, 24, 139, 1	2.532	0.796091324718	1.0	139
Longevity regulating pathway(mmu04211)	8447, 1465, 90, 19	1.217	0.617309187595	0.925963781393	90
Metabolism of xenobiotics by cytochrome P450(mmu00980)	8447, 59, 66, 1	2.169	0.775940581649	1.0	66
Intestinal immune network for IgA production(mmu04672)	8447, 378, 41, 6	3.27	0.0563505097574	0.156751119179	41
Drug metabolism - cytochrome P450(mmu00982)	8447, 59, 68, 1	2.105	0.786572810363	1.0	68
Drug metabolism - other enzymes(mmu00983)	8447, 59, 87, 2	3.291	0.463529070968	0.745469433722	87
Peroxisome(mmu04146)	8447, 12, 84, 1	8.38	0.439762931912	0.724825641872	84
Metabolic pathways(mmu01100)	8447, 1002, 1287, 180	1.179	0.0869682092303	0.217072650239	1287
Endometrial cancer(mmu05213)	8447, 1295, 58, 18	2.024	0.0157360963236	0.0568906048562	58
Pancreatic cancer(mmu05212)	8447, 1295, 75, 25	2.174	0.000939030046422	0.0059791300915	75
Renal cell carcinoma(mmu05211)	8447, 1766, 68, 24	1.688	0.0323655349598	0.100980469075	68
Oxidative phosphorylation(mmu00190)	8447, 994, 119, 26	1.857	0.013201294919	0.0524186731414	119
Taste transduction(mmu04742)	8447, 131, 87, 1	0.741	0.969610399478	1.0	87
Leukocyte transendothelial migration(mmu04670)	8447, 1776, 114, 38	1.585	0.0149693110604	0.0550616162716	114
Olfactory transduction(mmu04740)	8447, 308, 1129, 1	0.024	1.0	1.0	1129
Glioma(mmu05214)	8447, 1295, 75, 22	1.913	0.0134406854209	0.0524186731414	75
DNA replication(mmu03030)	8447, 948, 35, 16	4.073	3.68248524642e-06	5.2224336222e-05	35
Pancreatic secretion(mmu04972)	8447, 624, 105, 7	0.902	0.956040541327	1.0	105
Bladder cancer(mmu05219)	8447, 1273, 41, 10	1.618	0.301743416469	0.56672399318	41
Huntington disease(mmu05016)	8447, 1661, 181, 51	1.433	0.0347603033193	0.107378362729	181
Porphyrin and chlorophyll metabolism(mmu00860)	8447, 563, 41, 5	1.83	0.42606713686	0.71855646865	41
Terpenoid backbone biosynthesis(mmu00900)	8447, 815, 21, 5	2.468	0.170660530809	0.36976448342	21
Cushing syndrome(mmu04934)	8447, 739, 159, 19	1.366	0.451830389274	0.730420111158	159
Endocrine resistance(mmu01522)	8447, 1340, 93, 23	1.559	0.117699931825	0.28032350175	93
Insulin resistance(mmu04931)	8447, 28, 108, 3	8.38	0.0445527015835	0.132385170419	108
Type II diabetes mellitus(mmu04930)	8447, 1331, 48, 11	1.454	0.419150959435	0.711656647845	48
AGE-RAGE signaling pathway in diabetic complications(mmu04933)	8447, 367, 101, 8	1.823	0.343608129619	0.619686337809	101
Non-alcoholic fatty liver disease (NAFLD)(mmu04932)	8447, 994, 145, 30	1.758	0.0150007608432	0.0550616162716	145
Human papillomavirus infection(mmu05165)	8447, 1790, 355, 95	1.263	0.0676580277206	0.178342663292	355
Influenza A(mmu05164)	8447, 1493, 168, 53	1.785	0.00012923058285	0.00108972815809	168
Kaposi sarcoma-associated herpesvirus infection(mmu05167)	8447, 1773, 213, 83	1.856	2.93572641242e-08	7.04574338982e-07	213
Human T-cell leukemia virus 1 infection(mmu05166)	8447, 1773, 243, 95	1.863	1.62805357189e-09	6.34940893037e-08	243
Hepatitis B(mmu05161)	8447, 1297, 163, 51	2.038	4.185447361e-06	5.4982310926e-05	163
Hepatitis C(mmu05160)	8447, 1295, 160, 42	1.712	0.00306601895316	0.0162135239557	160
Human cytomegalovirus infection(mmu05163)	8447, 1735, 253, 93	1.79	3.364623416e-08	7.49830361279e-07	253
Measles(mmu05162)	8447, 1493, 135, 54	2.263	1.63931894621e-08	5.11467511217e-07	135
MAPK signaling pathway(mmu04010)	8447, 1715, 294, 75	1.256	0.135072461302	0.309872117104	294
Hedgehog signaling pathway(mmu04340)	8447, 1256, 44, 6	0.917	0.913254784681	1.0	44
Epstein-Barr virus infection(mmu05169)	8447, 1346, 225, 80	2.231	8.95714048091e-12	9.31542610015e-10	225
Herpes simplex virus 1 infection(mmu05168)	8447, 744, 427, 72	1.914	1.04017402136e-06	1.70807523508e-05	427
Fatty acid biosynthesis(mmu00061)	8447, 490, 14, 1	1.231	0.76084519246	1.0	14
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis(mmu00563)	8447, 1586, 25, 10	2.13	0.0581310035834	0.157425074546	25
Adrenergic signaling in cardiomyocytes(mmu04261)	8447, 315, 144, 4	0.745	0.986770013792	1.0	144
Sphingolipid signaling pathway(mmu04071)	8447, 1697, 121, 35	1.44	0.0907561649642	0.22472955134	121
Phospholipase D signaling pathway(mmu04072)	8447, 1616, 148, 37	1.307	0.266416716938	0.526088706864	148
Other types of O-glycan biosynthesis(mmu00514)	8447, 1360, 22, 3	0.847	0.890725656607	1.0	22
Mucin type O-glycan biosynthesis(mmu00512)	8447, 463, 28, 2	1.303	0.763358505502	1.0	28
Histidine metabolism(mmu00340)	8447, 1696, 24, 1	0.208	0.995639003846	1.0	24
N-Glycan biosynthesis(mmu00510)	8447, 953, 49, 14	2.532	0.00657605827596	0.0297352200304	49
Parkinson disease(mmu05012)	8447, 1063, 128, 28	1.738	0.021819034614	0.0739949869518	128
Carbon metabolism(mmu01200)	8447, 1777, 118, 37	1.491	0.0463817666283	0.135244029795	118
Selenocompound metabolism(mmu00450)	8447, 220, 17, 2	4.517	0.221738287282	0.449236010597	17
Homologous recombination(mmu03440)	8447, 1388, 41, 14	2.078	0.0278744282872	0.091545490796	41
