# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Ensemble mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Differential expression file name: primary_vs_control_naive_deseq2.csv
# Genes for gene ontology: allgenes
# Column index of (GeneID, logFoldChange, FDR): 1,3,7
# Cutoffs of logFoldChange and FDR for DE genes: 1.0, 0.05
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
positive regulation of insulin secretion involved in cellular response to glucose stimulus(GO:0035774)	20774, 1857, 40, 6	1.678	0.360123914825	0.544187249069	40
branching involved in blood vessel morphogenesis(GO:0001569)	20774, 829, 40, 7	4.385	0.00555226364785	0.0233469743496	40
organophosphate catabolic process(GO:0046434)	20774, 852, 149, 14	2.291	0.0261028637425	0.0784899756251	149
regulation of synaptic plasticity(GO:0048167)	20774, 389, 349, 6	0.918	0.95816320593	1.0	349
negative regulation of chemotaxis(GO:0050922)	20774, 1479, 55, 5	1.277	0.655331667534	0.802309346055	55
dendrite development(GO:0016358)	20774, 1526, 44, 4	1.238	0.680526549849	0.819247945696	44
amino sugar catabolic process(GO:0046348)	20774, 869, 15, 2	3.187	0.253858682107	0.431022065156	15
negative regulation of lymphocyte mediated immunity(GO:0002707)	20774, 1310, 46, 14	4.826	5.33102360578e-06	6.23480893452e-05	46
regulation of lymphocyte mediated immunity(GO:0002706)	20774, 831, 188, 31	4.122	4.51160001403e-10	1.27828667064e-08	188
positive regulation of leukocyte mediated immunity(GO:0002705)	20774, 293, 167, 14	5.944	1.92964250298e-06	2.48245900384e-05	167
negative regulation of leukocyte mediated immunity(GO:0002704)	20774, 1310, 56, 17	4.814	4.10169315467e-07	6.10126856758e-06	56
regulation of leukocyte mediated immunity(GO:0002703)	20774, 939, 242, 38	3.474	4.86992417159e-10	1.34772320097e-08	242
positive regulation of production of molecular mediator of immune response(GO:0002702)	20774, 316, 99, 13	8.633	5.79556012533e-08	1.0449570529e-06	99
negative regulation of production of molecular mediator of immune response(GO:0002701)	20774, 742, 35, 7	5.599	0.00133571587888	0.00741891199937	35
regulation of production of molecular mediator of immune response(GO:0002700)	20774, 316, 146, 17	7.655	1.87845948201e-09	4.60900367751e-08	146
regulation of steroid hormone secretion(GO:2000831)	20774, 482, 23, 2	3.748	0.239333541707	0.415624829815	23
establishment of mitochondrion localization(GO:0051654)	20774, 1609, 21, 5	3.074	0.0685476166175	0.164791239949	21
positive regulation of steroid hormone secretion(GO:2000833)	20774, 482, 13, 1	3.315	0.386364204802	0.569202604413	13
establishment of organelle localization(GO:0051656)	20774, 1740, 279, 39	1.669	0.0121123449094	0.0434474466983	279
maintenance of location in cell(GO:0051651)	20774, 1944, 98, 29	3.162	1.87022988869e-07	2.97735594319e-06	98
hippo signaling(GO:0035329)	20774, 1404, 19, 3	2.336	0.279403818358	0.460194524354	19
spindle localization(GO:0051653)	20774, 1975, 43, 8	1.957	0.171520168813	0.328017679209	43
positive regulation of lymphocyte mediated immunity(GO:0002708)	20774, 831, 137, 22	4.014	4.41047114481e-07	6.51982690973e-06	137
negative regulation of stress fiber assembly(GO:0051497)	20774, 95, 25, 2	17.494	0.0261267324021	0.0785121504004	25
positive regulation of stress fiber assembly(GO:0051496)	20774, 1851, 54, 12	2.494	0.0141469358465	0.0486205159778	54
positive regulation of cytoskeleton organization(GO:0051495)	20774, 1882, 206, 46	2.465	1.43912362324e-07	2.35403039403e-06	206
regulation of glomerular filtration(GO:0003093)	20774, 1679, 11, 1	1.125	0.609911571414	0.766287430501	11
regulation of cytoskeleton organization(GO:0051493)	20774, 1935, 532, 100	2.018	2.06109724872e-10	6.13176431493e-09	532
positive regulation of filopodium assembly(GO:0051491)	20774, 30, 31, 1	22.338	0.145623914607	0.2918215692	31
regulation of ATP metabolic process(GO:1903578)	20774, 1815, 79, 15	2.173	0.0206628463246	0.0656176965253	79
regulation of granulocyte differentiation(GO:0030852)	20774, 1278, 19, 8	6.844	5.49737198207e-05	0.000480137442838	19
cellular response to heat(GO:0034605)	20774, 1475, 61, 8	1.847	0.239633408242	0.415842152107	61
granulocyte differentiation(GO:0030851)	20774, 1278, 20, 5	4.064	0.0260183083217	0.0783993151645	20
regulation of epithelial cell differentiation(GO:0030856)	20774, 255, 148, 6	3.303	0.0697402995866	0.166983815911	148
negative regulation of epithelial cell differentiation(GO:0030857)	20774, 11, 46, 1	41.055	0.104560712117	0.22612857323	46
epithelial cell differentiation(GO:0030855)	20774, 217, 315, 9	2.735	0.0529926969796	0.135704938047	315
regulation of protein sumoylation(GO:0033233)	20774, 1963, 24, 8	3.528	0.00552152660901	0.0232382552245	24
positive regulation of epithelial cell differentiation(GO:0030858)	20774, 1818, 61, 6	1.124	0.744630646113	0.867460077214	61
polarized epithelial cell differentiation(GO:0030859)	20774, 1774, 16, 3	2.196	0.289993085455	0.471759086386	16
primary amino compound metabolic process(GO:1901160)	20774, 1787, 14, 2	1.661	0.472394541339	0.649481790676	14
S-adenosylmethionine metabolic process(GO:0046500)	20774, 1988, 14, 2	1.493	0.525669719408	0.694666258851	14
glycerolipid catabolic process(GO:0046503)	20774, 1173, 42, 3	1.265	0.687171065255	0.822462728342	42
regulation of trophoblast cell migration(GO:1901163)	20774, 451, 11, 2	8.375	0.0620362299917	0.152763815189	11
base-excision repair(GO:0006284)	20774, 1763, 32, 4	1.473	0.5218610271	0.691335021057	32
pH reduction(GO:0045851)	20774, 1848, 33, 3	1.022	0.761258860104	0.880166344022	33
axon regeneration(GO:0031103)	20774, 207, 18, 2	11.151	0.0480072556479	0.125876868365	18
neuron projection regeneration(GO:0031102)	20774, 207, 25, 2	8.029	0.091009448674	0.203765275488	25
animal organ regeneration(GO:0031100)	20774, 937, 26, 4	3.411	0.0980994121512	0.215882201498	26
social behavior(GO:0035176)	20774, 19, 52, 1	21.026	0.177931987621	0.336227177879	52
regulation of protein kinase activity(GO:0045859)	20774, 1998, 654, 132	2.099	3.80743134428e-15	2.15754442842e-13	654
positive regulation of multi-organism process(GO:0043902)	20774, 1859, 168, 40	2.661	1.34330645319e-07	2.22018705458e-06	168
microtubule polymerization or depolymerization(GO:0031109)	20774, 1919, 33, 2	0.656	0.898345396704	0.988724661234	33
regulation of glial cell apoptotic process(GO:0034350)	20774, 1312, 12, 2	2.639	0.283936448941	0.465085167571	12
defense response to fungus(GO:0050832)	20774, 386, 23, 4	9.36	0.00385493080353	0.0172945057727	23
defense response to Gram-positive bacterium(GO:0050830)	20774, 232, 112, 4	3.198	0.181147181888	0.339688091461	112
regulation of cell-substrate adhesion(GO:0010810)	20774, 1989, 206, 36	1.825	0.00325364073199	0.0151539431353	206
response to histamine(GO:0034776)	20774, 0, 11, 0	0.0	1.0	1.0	11
regulation of acute inflammatory response(GO:0002673)	20774, 30, 48, 1	14.426	0.22660022008	0.399783931646	48
dendrite extension(GO:0097484)	20774, 1658, 11, 2	2.278	0.326612751319	0.50956299452	11
neuron projection guidance(GO:0097485)	20774, 28, 202, 2	7.346	0.181190769794	0.339688091461	202
regulation of chronic inflammatory response(GO:0002676)	20774, 234, 11, 2	16.141	0.0216674100568	0.0678978748323	11
positive regulation of acute inflammatory response(GO:0002675)	20774, 30, 32, 1	21.64	0.15058477847	0.299033602636	32
regulation of axonogenesis(GO:0050770)	20774, 864, 204, 14	1.65	0.242961968544	0.418879857286	204
tyrosine metabolic process(GO:0006570)	20774, 0, 11, 0	0.0	1.0	1.0	11
cellular modified amino acid metabolic process(GO:0006575)	20774, 64, 152, 1	2.135	0.776206352478	0.892209070109	152
ruffle assembly(GO:0097178)	20774, 184, 13, 1	8.685	0.221093571973	0.393485164173	13
amino-acid betaine metabolic process(GO:0006577)	20774, 64, 13, 1	24.969	0.101819013873	0.221913235364	13
