# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Ensemble mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Differential expression file name: primary_vs_control_naive_deseq2.csv
# Genes for gene ontology: allgenes
# Column index of (GeneID, logFoldChange, FDR): 1,3,7
# Cutoffs of logFoldChange and FDR for DE genes: 1.0, 0.05
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
ribonucleoprotein granule(GO:0035770)	20933, 1887, 205, 44	2.381	8.38789931061e-07	1.72898956757e-05	205
cytosolic small ribosomal subunit(GO:0022627)	20933, 1877, 43, 21	5.447	1.85663887448e-10	6.97877788702e-09	43
proteasome accessory complex(GO:0022624)	20933, 1770, 17, 3	2.087	0.317253084725	0.582864725245	17
cytosolic large ribosomal subunit(GO:0022625)	20933, 1162, 60, 16	4.804	1.34846949205e-06	2.61112728916e-05	60
intrinsic component of mitochondrial membrane(GO:0098573)	20933, 239, 60, 2	2.92	0.408273126296	0.667228971108	60
mitotic spindle pole(GO:0097431)	20933, 826, 29, 3	2.622	0.268060988328	0.528675838091	29
contractile ring(GO:0070938)	20933, 1945, 13, 4	3.312	0.0768112878921	0.228290292851	13
H4 histone acetyltransferase complex(GO:1902562)	20933, 1791, 42, 11	3.061	0.00390675782061	0.0215208469601	42
dendritic spine head(GO:0044327)	20933, 401, 16, 1	3.263	0.412908161045	0.669890542331	16
cytosolic ribosome(GO:0022626)	20933, 1758, 14, 4	3.402	0.0726165182704	0.218877147051	14
plasma membrane raft(GO:0044853)	20933, 324, 113, 8	4.574	0.00358284599643	0.0200827946642	113
TOR complex(GO:0038201)	20933, 1682, 15, 1	0.83	0.72251613093	0.925226067463	15
COP9 signalosome(GO:0008180)	20933, 334, 34, 3	5.53	0.0705119099998	0.213540808009	34
proteasome core complex(GO:0005839)	20933, 110, 19, 1	10.016	0.225874264208	0.474781759306	19
heterotrimeric G-protein complex(GO:0005834)	20933, 1358, 33, 7	3.27	0.022726193346	0.0874821539043	33
STAGA complex(GO:0030914)	20933, 1736, 12, 5	5.024	0.00764557526842	0.0359229602685	12
nuclear transcription factor complex(GO:0044798)	20933, 1989, 200, 42	2.21	1.15736886617e-05	0.000160773631627	200
myosin complex(GO:0016459)	20933, 237, 60, 2	2.944	0.404807905572	0.66531949719	60
