# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Ensemble mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Differential expression file name: primary_vs_control_naive_deseq2.csv
# Genes for gene ontology: allgenes
# Column index of (GeneID, logFoldChange, FDR): 1,3,7
# Cutoffs of logFoldChange and FDR for DE genes: 1.0, 0.05
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
ion antiporter activity(GO:0099516)	20437, 1642, 52, 3	0.718	0.926241863078	1.0	52
lipoprotein particle receptor activity(GO:0030228)	20437, 357, 16, 2	7.156	0.09018220822	0.258422191659	16
extracellular matrix binding(GO:0050840)	20437, 318, 59, 5	5.446	0.013680171736	0.0639657345099	59
G protein-coupled glutamate receptor binding(GO:0035256)	20437, 1560, 12, 4	4.367	0.0328182709752	0.118748796744	12
glutamate receptor activity(GO:0008066)	20437, 0, 27, 0	0.0	1.0	1.0	27
chitin binding(GO:0008061)	20437, 0, 11, 0	0.0	1.0	1.0	11
peptide N-acetyltransferase activity(GO:0034212)	20437, 1884, 74, 20	2.932	8.48026841679e-05	0.000954263171296	74
neuropeptide receptor activity(GO:0008188)	20437, 0, 45, 0	0.0	1.0	1.0	45
poly-pyrimidine tract binding(GO:0008187)	20437, 48, 33, 2	25.804	0.0145948233586	0.0670183817005	33
RNA-dependent ATPase activity(GO:0008186)	20437, 1456, 37, 8	3.035	0.0216057078426	0.0871033261054	37
ion channel binding(GO:0044325)	20437, 1537, 136, 14	1.369	0.472404180071	0.755846688114	136
intramolecular oxidoreductase activity, transposing S-S bonds(GO:0016864)	20437, 1929, 16, 4	2.649	0.148519488643	0.367352551618	16
intramolecular oxidoreductase activity, transposing C=C bonds(GO:0016863)	20437, 0, 15, 0	0.0	1.0	1.0	15
intramolecular oxidoreductase activity(GO:0016860)	20437, 1929, 47, 5	1.127	0.73050635584	0.97655157752	47
prenyltransferase activity(GO:0004659)	20437, 1786, 13, 3	2.641	0.203255493718	0.458444109179	13
peptide antigen binding(GO:0042605)	20437, 656, 38, 7	5.739	0.00126551410778	0.00964770916754	38
T cell receptor binding(GO:0042608)	20437, 673, 16, 7	13.286	2.43109862984e-06	4.14907499493e-05	16
voltage-gated calcium channel activity involved in regulation of cytosolic calcium levels(GO:0099511)	20437, 0, 14, 0	0.0	1.0	1.0	14
polypeptide N-acetylgalactosaminyltransferase activity(GO:0004653)	20437, 305, 17, 1	3.942	0.395482919903	0.680629428539	17
polynucleotide adenylyltransferase activity(GO:0004652)	20437, 1589, 12, 2	2.144	0.355788450758	0.642745898479	12
3'-5' RNA helicase activity(GO:0034458)	20437, 1453, 19, 3	2.221	0.301460217818	0.582443892539	19
transmembrane receptor protein tyrosine kinase activity(GO:0004714)	20437, 815, 61, 1	0.411	0.974129568419	1.0	61
non-membrane spanning protein tyrosine kinase activity(GO:0004715)	20437, 916, 45, 13	6.445	5.97910579777e-07	1.11320078853e-05	45
protein serine/threonine/tyrosine kinase activity(GO:0004712)	20437, 561, 38, 4	3.835	0.0837071669346	0.244903254117	38
protein tyrosine kinase activity(GO:0004713)	20437, 100, 134, 7	10.676	5.920967834e-05	0.000696904719772	134
water transmembrane transporter activity(GO:0005372)	20437, 0, 13, 0	0.0	1.0	1.0	13
cytokine receptor activity(GO:0004896)	20437, 705, 96, 15	4.529	1.27480638947e-05	0.000181305797614	96
neurotransmitter receptor activity(GO:0030594)	20437, 0, 116, 0	0.0	1.0	1.0	116
aldehyde dehydrogenase (NAD) activity(GO:0004029)	20437, 0, 17, 0	0.0	1.0	1.0	17
serine hydrolase activity(GO:0017171)	20437, 326, 211, 5	1.486	0.67475778123	0.932458796194	211
carbohydrate:cation symporter activity(GO:0005402)	20437, 1681, 20, 1	0.608	0.828526061976	1.0	20
regulatory region nucleic acid binding(GO:0001067)	20437, 1678, 970, 176	2.21	1.09293643407e-22	1.86527818082e-20	970
histone kinase activity(GO:0035173)	20437, 1623, 17, 4	2.963	0.114093519488	0.301890862936	17
SMAD binding(GO:0046332)	20437, 1128, 84, 17	3.667	3.30808412477e-05	0.000427087464276	84
MAP kinase phosphatase activity(GO:0033549)	20437, 325, 15, 4	16.769	0.000376863098633	0.00367531250477	15
1-acylglycerol-3-phosphate O-acyltransferase activity(GO:0003841)	20437, 0, 11, 0	0.0	1.0	1.0	11
amide binding(GO:0033218)	20437, 656, 360, 24	2.077	0.00793135932967	0.0421646578309	360
protein serine/threonine kinase inhibitor activity(GO:0030291)	20437, 1394, 29, 7	3.539	0.0138503052123	0.0644668751701	29
cell adhesion molecule binding(GO:0050839)	20437, 320, 229, 10	2.789	0.0304739171784	0.11255888492	229
protein tyrosine kinase activator activity(GO:0030296)	20437, 917, 16, 4	5.572	0.0193536683954	0.0808904344364	16
intronic transcription regulatory region DNA binding(GO:0044213)	20437, 1361, 15, 2	2.002	0.404174422672	0.689791014694	15
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(GO:0016818)	20437, 1962, 853, 138	1.685	1.65284486976e-08	4.12808084546e-07	853
oxidoreductase activity, acting on peroxide as acceptor(GO:0016684)	20437, 585, 56, 2	1.248	0.766106628274	0.99892309199	56
calcium-release channel activity(GO:0015278)	20437, 558, 20, 3	5.494	0.0580458991006	0.185168226414	20
pheromone activity(GO:0005186)	20437, 0, 16, 0	0.0	1.0	1.0	16
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines(GO:0016813)	20437, 0, 11, 0	0.0	1.0	1.0	11
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds(GO:0016810)	20437, 945, 131, 10	1.651	0.332531312301	0.616610420359	131
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides(GO:0016811)	20437, 945, 81, 8	2.136	0.156201531295	0.381743121829	81
dopamine neurotransmitter receptor activity(GO:0004952)	20437, 0, 11, 0	0.0	1.0	1.0	11
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines(GO:0016814)	20437, 942, 28, 2	1.55	0.589260012277	0.855962074805	28
transferase activity, transferring nitrogenous groups(GO:0016769)	20437, 316, 24, 1	2.695	0.513028635442	0.79717954885	24
proton transmembrane transporter activity(GO:0015078)	20437, 1931, 114, 10	0.928	0.914601760522	1.0	114
misfolded protein binding(GO:0051787)	20437, 1454, 20, 7	4.919	0.0015990013642	0.0116955528353	20
DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981)	20437, 1609, 747, 125	2.125	1.59188399431e-14	9.58876005985e-13	747
catecholamine binding(GO:1901338)	20437, 1851, 21, 1	0.526	0.865600187897	1.0	21
lysophospholipase activity(GO:0004622)	20437, 1602, 19, 1	0.671	0.800848087821	1.0	19
phospholipase A2 activity(GO:0004623)	20437, 442, 30, 1	1.541	0.68635690153	0.943207241589	30
phospholipase activity(GO:0004620)	20437, 1602, 86, 6	0.89	0.909905908948	1.0	86
opsonin binding(GO:0001846)	20437, 318, 15, 2	8.569	0.067340342923	0.208959124707	15
ligase activity(GO:0016874)	20437, 72, 150, 1	1.892	0.805523172261	1.0	150
ATPase activity(GO:0016887)	20437, 1890, 415, 65	1.694	0.000302620089758	0.00311618355676	415
histone deacetylase activity (H3-K14 specific)(GO:0031078)	20437, 734, 12, 2	4.641	0.147544654579	0.36582500312	12
heat shock protein binding(GO:0031072)	20437, 1945, 136, 28	2.163	0.000821124134189	0.00683602531227	136
TAP binding(GO:0046977)	20437, 656, 11, 7	19.825	6.50165032179e-08	1.41652977224e-06	11
structural constituent of cytoskeleton(GO:0005200)	20437, 1587, 59, 12	2.619	0.0108048151597	0.0529384245144	59
tumor necrosis factor receptor superfamily binding(GO:0032813)	20437, 1539, 45, 9	2.656	0.030981123017	0.113123421756	45
dopamine receptor binding(GO:0050780)	20437, 130, 24, 2	13.101	0.0416047853812	0.141070530564	24
phosphatidylinositol 3-kinase activity(GO:0035004)	20437, 379, 11, 2	9.804	0.0508809026751	0.166460205557	11
intramolecular transferase activity(GO:0016866)	20437, 1135, 26, 2	1.385	0.630124246916	0.892756327165	26
SNAP receptor activity(GO:0005484)	20437, 1327, 30, 4	2.053	0.310802775716	0.594882322117	30
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen(GO:0016712)	20437, 0, 61, 0	0.0	1.0	1.0	61
Ran GTPase binding(GO:0008536)	20437, 1768, 35, 8	2.642	0.0422032579077	0.142158342426	35
protein transporter activity(GO:0008565)	20437, 35, 75, 1	7.786	0.379097196802	0.66490331562	75
small ribosomal subunit rRNA binding(GO:0070181)	20437, 58, 11, 1	32.033	0.0784026918131	0.234065179057	11
DNA polymerase binding(GO:0070182)	20437, 756, 18, 4	6.007	0.0164421692676	0.0728722123954	18
molecular function regulator(GO:0098772)	20437, 1967, 1714, 239	1.449	4.28778480341e-08	9.97884463339e-07	1714
macromolecule transmembrane transporter activity(GO:0022884)	20437, 456, 17, 1	2.636	0.472251244128	0.755846688114	17
RNA polymerase II general transcription initiation factor binding(GO:0001091)	20437, 1779, 21, 6	3.282	0.0310426577279	0.113123421756	21
C4-dicarboxylate transmembrane transporter activity(GO:0015556)	20437, 1642, 13, 2	1.915	0.406441882952	0.691798806039	13
ATP-dependent microtubule motor activity, minus-end-directed(GO:0008569)	20437, 1093, 17, 1	1.1	0.681252820421	0.937638290472	17
ubiquitin-like modifier activating enzyme activity(GO:0008641)	20437, 1476, 11, 3	3.776	0.0957596221595	0.270131826698	11
basal transcription machinery binding(GO:0001098)	20437, 1540, 56, 12	2.844	0.00556015488021	0.0323499920303	56
C2H2 zinc finger domain binding(GO:0070742)	20437, 1262, 13, 3	3.737	0.1076525544	0.290095304489	13
cysteine-type endopeptidase regulator activity involved in apoptotic process(GO:0043028)	20437, 1276, 40, 8	3.203	0.0165101106208	0.0728722123954	40
ceramide binding(GO:0097001)	20437, 1620, 13, 2	1.941	0.400711288516	0.687317184993	13
single-stranded DNA-dependent ATPase activity(GO:0043142)	20437, 1753, 16, 2	1.457	0.541127102629	0.820412364883	16
ATP-dependent 3'-5' DNA helicase activity(GO:0043140)	20437, 1453, 11, 2	2.557	0.286782632464	0.566921651821	11
ribonucleoprotein complex binding(GO:0043021)	20437, 1823, 144, 29	2.258	0.000304314800465	0.00311618355676	144
ribosomal large subunit binding(GO:0043023)	20437, 1678, 12, 3	3.045	0.152006466453	0.373272473977	12
ribosome binding(GO:0043022)	20437, 1763, 62, 11	2.057	0.0829452651972	0.243369488716	62
histone deacetylase binding(GO:0042826)	20437, 1997, 123, 34	2.829	2.48183504226e-07	5.08279816655e-06	123
motor activity(GO:0003774)	20437, 343, 125, 4	1.907	0.495460243604	0.78241801242	125
cysteine-type endopeptidase inhibitor activity involved in apoptotic process(GO:0043027)	20437, 358, 29, 4	7.874	0.00903733138435	0.0465036549627	29
oxidoreductase activity, acting on NAD(P)H(GO:0016651)	20437, 373, 74, 2	1.481	0.72446021725	0.971004270241	74
SH3/SH2 adaptor activity(GO:0005070)	20437, 894, 25, 6	5.486	0.00310275308333	0.0198576197333	25
excitatory extracellular ligand-gated ion channel activity(GO:0005231)	20437, 0, 36, 0	0.0	1.0	1.0	36
cis-trans isomerase activity(GO:0016859)	20437, 1768, 40, 6	1.734	0.335646348837	0.617491787329	40
sulfurtransferase activity(GO:0016783)	20437, 0, 11, 0	0.0	1.0	1.0	11
phosphotransferase activity, for other substituted phosphate groups(GO:0016780)	20437, 1697, 18, 4	2.676	0.149188211946	0.368117419357	18
protein kinase regulator activity(GO:0019887)	20437, 1946, 164, 44	2.818	3.11846122889e-09	8.87028971774e-08	164
protein phosphatase regulator activity(GO:0019888)	20437, 1908, 69, 12	1.863	0.119864262865	0.310800496359	69
ligand-gated channel activity(GO:0022834)	20437, 558, 137, 3	0.802	0.951942264249	1.0	137
hydrolase activity, acting on ester bonds(GO:0016788)	20437, 216, 725, 20	2.61	0.00163265460242	0.0117735092456	725
inhibitory extracellular ligand-gated ion channel activity(GO:0005237)	20437, 0, 17, 0	0.0	1.0	1.0	17
beta-catenin binding(GO:0008013)	20437, 1683, 86, 15	2.118	0.0270020638519	0.102788525592	86
proteasome binding(GO:0070628)	20437, 1644, 17, 2	1.463	0.543719696932	0.820412364883	17
ubiquitin-like protein binding(GO:0032182)	20437, 1813, 95, 17	2.017	0.0262875843667	0.100738147201	95
thiol-dependent ubiquitin-specific protease activity(GO:0004843)	20437, 1733, 90, 19	2.49	0.00156122863058	0.0115014253073	90
sodium ion transmembrane transporter activity(GO:0015081)	20437, 407, 142, 1	0.354	0.995366905949	1.0	142
Rac guanyl-nucleotide exchange factor activity(GO:0030676)	20437, 438, 17, 3	8.234	0.0217630666723	0.0873936481271	17
nucleotidyltransferase activity(GO:0016779)	20437, 1305, 126, 10	1.243	0.672351955657	0.930389733233	126
4 iron, 4 sulfur cluster binding(GO:0051539)	20437, 1995, 39, 4	1.051	0.766751513969	0.99892309199	39
carboxylic ester hydrolase activity(GO:0052689)	20437, 835, 141, 7	1.215	0.752425819377	0.990339381802	141
deoxyribonuclease activity(GO:0004536)	20437, 1541, 57, 9	2.094	0.117315342324	0.305911104989	57
transferase activity, transferring phosphorus-containing groups(GO:0016772)	20437, 1922, 912, 139	1.621	1.82243513428e-07	3.88786161979e-06	912
iron-sulfur cluster binding(GO:0051536)	20437, 1995, 63, 8	1.301	0.588744311448	0.855962074805	63
2 iron, 2 sulfur cluster binding(GO:0051537)	20437, 1841, 25, 5	2.22	0.192092119611	0.440677858063	25
exoribonuclease activity(GO:0004532)	20437, 1989, 29, 10	3.543	0.00162889325049	0.0117735092456	29
phosphotransferase activity, phosphate group as acceptor(GO:0016776)	20437, 0, 32, 0	0.0	1.0	1.0	32
fucosyltransferase activity(GO:0008417)	20437, 1077, 11, 1	1.725	0.500558098283	0.784948687047	11
co-receptor binding(GO:0039706)	20437, 0, 12, 0	0.0	1.0	1.0	12
adenylyltransferase activity(GO:0070566)	20437, 360, 35, 1	1.622	0.700917004103	0.9544401758	35
vitamin transmembrane transporter activity(GO:0090482)	20437, 228, 21, 1	4.268	0.3880581458	0.673511086948	21
ephrin receptor activity(GO:0005003)	20437, 0, 16, 0	0.0	1.0	1.0	16
protein phosphatase 1 binding(GO:0008157)	20437, 1833, 20, 4	2.23	0.232194339851	0.499510512621	20
L-amino acid transmembrane transporter activity(GO:0015179)	20437, 15, 55, 1	24.772	0.162406792413	0.395022696987	55
retinoic acid binding(GO:0001972)	20437, 194, 15, 1	7.023	0.262143205513	0.537437099902	15
