# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Ensemble mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Differential expression file name: primary_vs_control_naive_deseq2.csv
# Genes for gene ontology: allgenes
# Column index of (GeneID, logFoldChange, FDR): 1,3,7
# Cutoffs of logFoldChange and FDR for DE genes: 1.0, 0.05
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
ABC transporters(mmu02010)	8447, 895, 48, 9	1.77	0.273300157923	0.43504923098	48
cAMP signaling pathway(mmu04024)	8447, 1103, 210, 40	1.459	0.0771253449144	0.153268201358	210
Pathways in cancer(mmu05200)	8447, 955, 535, 112	1.852	8.92865417076e-10	1.21119134838e-08	535
C-type lectin receptor signaling pathway(mmu04625)	8447, 1678, 112, 51	2.292	1.40754038377e-08	1.51711454931e-07	112
Transcriptional misregulation in cancer(mmu05202)	8447, 979, 181, 57	2.717	1.40869037557e-11	2.74694623235e-10	181
Viral carcinogenesis(mmu05203)	8447, 1982, 227, 111	2.084	1.0002127644e-15	1.04022127498e-13	227
Chemical carcinogenesis(mmu05204)	8447, 314, 94, 1	0.286	0.999333287098	1.0	94
Proteoglycans in cancer(mmu05205)	8447, 1094, 202, 51	1.949	2.79657558173e-05	0.000122891772042	202
MicroRNAs in cancer(mmu05206)	8447, 952, 280, 46	1.458	0.0570276882413	0.118698365551	280
TNF signaling pathway(mmu04668)	8447, 1649, 110, 49	2.282	3.91381568823e-08	3.81597029602e-07	110
Parathyroid hormone synthesis, secretion and action(mmu04928)	8447, 1657, 107, 42	2.001	3.34421615492e-05	0.00014491603338	107
Glucagon signaling pathway(mmu04922)	8447, 1548, 101, 32	1.729	0.008893577913	0.0229322008996	101
Regulation of lipolysis in adipocytes(mmu04923)	8447, 229, 56, 4	2.635	0.291242938491	0.456901255371	56
Adipocytokine signaling pathway(mmu04920)	8447, 1600, 71, 29	2.156	0.000209262354068	0.000741930164424	71
Oxytocin signaling pathway(mmu04921)	8447, 1650, 153, 41	1.372	0.127588459201	0.231439530644	153
Relaxin signaling pathway(mmu04926)	8447, 1649, 131, 38	1.486	0.0503389227699	0.106119891245	131
Cortisol synthesis and secretion(mmu04927)	8447, 139, 69, 3	2.642	0.413196278222	0.594088658089	69
Renin secretion(mmu04924)	8447, 1576, 76, 18	1.269	0.542289640468	0.729286068216	76
Aldosterone synthesis and secretion(mmu04925)	8447, 929, 102, 19	1.694	0.1107080448	0.204384082709	102
Amyotrophic lateral sclerosis (ALS)(mmu05014)	8447, 225, 52, 5	3.61	0.0781364311622	0.154294724827	52
Human immunodeficiency virus 1 infection(mmu05170)	8447, 1694, 236, 94	1.986	4.38875085419e-11	8.05464862651e-10	236
Chemokine signaling pathway(mmu04062)	8447, 946, 194, 44	2.025	6.10710520298e-05	0.000238177102916	194
Fatty acid degradation(mmu00071)	8447, 107, 50, 2	3.158	0.446928914023	0.630236272432	50
Hematopoietic cell lineage(mmu04640)	8447, 341, 93, 9	2.397	0.0968144098765	0.183067247766	93
Cytokine-cytokine receptor interaction(mmu04060)	8447, 146, 290, 13	2.594	0.0207344118047	0.0475671800225	290
Starch and sucrose metabolism(mmu00500)	8447, 181, 33, 1	1.414	0.828794020087	1.0	33
Linoleic acid metabolism(mmu00591)	8447, 1443, 50, 1	0.117	0.999986188691	1.0	50
Apelin signaling pathway(mmu04371)	8447, 1631, 138, 37	1.389	0.145129586446	0.252963301514	138
VEGF signaling pathway(mmu04370)	8447, 1973, 58, 25	1.845	0.00645145206132	0.0172038721635	58
Biosynthesis of unsaturated fatty acids(mmu01040)	8447, 1096, 32, 7	1.686	0.370792559629	0.548869211087	32
