Sample,Sequence,RPKM
SI072_120m,SaanichInlet_120m_10_1,0.340464
SI072_120m,SaanichInlet_120m_10_10,0.26842
SI072_120m,SaanichInlet_120m_10_11,0.536856
SI072_120m,SaanichInlet_120m_10_12,0.313019
SI072_120m,SaanichInlet_120m_10_13,0.505053
SI072_120m,SaanichInlet_120m_10_14,0.590167
SI072_120m,SaanichInlet_120m_10_15,0.29796
SI072_120m,SaanichInlet_120m_10_16,0.337539
SI072_120m,SaanichInlet_120m_10_17,4.68761
SI072_120m,SaanichInlet_120m_10_18,0.338115
SI072_120m,SaanichInlet_120m_10_19,0.408926
SI072_120m,SaanichInlet_120m_10_2,0.716941
SI072_120m,SaanichInlet_120m_10_20,0.342748
SI072_120m,SaanichInlet_120m_10_21,0.392853
SI072_120m,SaanichInlet_120m_10_22,0.32754
SI072_120m,SaanichInlet_120m_10_23,0.599955
SI072_120m,SaanichInlet_120m_10_24,0.341105
SI072_120m,SaanichInlet_120m_10_25,0.253032
SI072_120m,SaanichInlet_120m_10_26,0.369536
SI072_120m,SaanichInlet_120m_10_27,0.332942
SI072_120m,SaanichInlet_120m_10_28,0.259752
SI072_120m,SaanichInlet_120m_10_29,0.425204
SI072_120m,SaanichInlet_120m_10_3,0.159698
SI072_120m,SaanichInlet_120m_10_30,0.352378
SI072_120m,SaanichInlet_120m_10_31,0.22486
SI072_120m,SaanichInlet_120m_10_32,0.418071
SI072_120m,SaanichInlet_120m_10_33,2.80969
SI072_120m,SaanichInlet_120m_10_34,0.549283
SI072_120m,SaanichInlet_120m_10_35,0.282701
SI072_120m,SaanichInlet_120m_10_36,0.394114
SI072_120m,SaanichInlet_120m_10_37,0.428593
SI072_120m,SaanichInlet_120m_10_38,0.280665
SI072_120m,SaanichInlet_120m_10_39,0.444452
SI072_120m,SaanichInlet_120m_10_4,0.582476
SI072_120m,SaanichInlet_120m_10_40,0.228716
SI072_120m,SaanichInlet_120m_10_41,0.804708
SI072_120m,SaanichInlet_120m_10_42,1.07118
SI072_120m,SaanichInlet_120m_10_43,0.377166
SI072_120m,SaanichInlet_120m_10_44,0.43098
SI072_120m,SaanichInlet_120m_10_45,0.277536
SI072_120m,SaanichInlet_120m_10_46,0.292996
SI072_120m,SaanichInlet_120m_10_47,0.319728
SI072_120m,SaanichInlet_120m_10_48,0.39481
SI072_120m,SaanichInlet_120m_10_49,0.350181
SI072_120m,SaanichInlet_120m_10_5,0.362517
SI072_120m,SaanichInlet_120m_10_50,0.796897
SI072_120m,SaanichInlet_120m_10_51,0.259601
SI072_120m,SaanichInlet_120m_10_52,0.250758
SI072_120m,SaanichInlet_120m_10_53,0.376245
SI072_120m,SaanichInlet_120m_10_54,0.0219765
SI072_120m,SaanichInlet_120m_10_55,0.600029
SI072_120m,SaanichInlet_120m_10_56,0.130691
SI072_120m,SaanichInlet_120m_10_57,0.23638
SI072_120m,SaanichInlet_120m_10_58,0.402277
SI072_120m,SaanichInlet_120m_10_59,0.329812
SI072_120m,SaanichInlet_120m_10_6,0.313759
SI072_120m,SaanichInlet_120m_10_60,0.164401
SI072_120m,SaanichInlet_120m_10_61,0.225677
SI072_120m,SaanichInlet_120m_10_62,0.333134
SI072_120m,SaanichInlet_120m_10_63,0.930241
SI072_120m,SaanichInlet_120m_10_64,0.197808
SI072_120m,SaanichInlet_120m_10_65,5.98225
SI072_120m,SaanichInlet_120m_10_66,0.427278
SI072_120m,SaanichInlet_120m_10_67,0.0628363
SI072_120m,SaanichInlet_120m_10_68,0.293179
SI072_120m,SaanichInlet_120m_10_7,0.349549
SI072_120m,SaanichInlet_120m_10_8,0.317467
SI072_120m,SaanichInlet_120m_10_9,0.436209
SI072_120m,SaanichInlet_120m_111_1,8.42935
SI072_120m,SaanichInlet_120m_111_10,4.49377
SI072_120m,SaanichInlet_120m_111_100,5.39431
SI072_120m,SaanichInlet_120m_111_101,3.03548
SI072_120m,SaanichInlet_120m_111_102,4.48735
SI072_120m,SaanichInlet_120m_111_103,35.0643
SI072_120m,SaanichInlet_120m_111_104,6.02247
SI072_120m,SaanichInlet_120m_111_105,8.98804
SI072_120m,SaanichInlet_120m_111_106,3.84027
SI072_120m,SaanichInlet_120m_111_107,0.957238
SI072_120m,SaanichInlet_120m_111_108,6.19613
SI072_120m,SaanichInlet_120m_111_109,137.247
SI072_120m,SaanichInlet_120m_111_11,16.7497
SI072_120m,SaanichInlet_120m_111_110,7.59933
SI072_120m,SaanichInlet_120m_111_111,5.05328
SI072_120m,SaanichInlet_120m_111_112,3.75266
SI072_120m,SaanichInlet_120m_111_113,3.18111
SI072_120m,SaanichInlet_120m_111_114,0.442889
SI072_120m,SaanichInlet_120m_111_115,4.64315
SI072_120m,SaanichInlet_120m_111_116,2.48163
SI072_120m,SaanichInlet_120m_111_117,4.1207
SI072_120m,SaanichInlet_120m_111_118,1.34874
SI072_120m,SaanichInlet_120m_111_119,3.68081
SI072_120m,SaanichInlet_120m_111_12,8.22094
SI072_120m,SaanichInlet_120m_111_120,24.2008
SI072_120m,SaanichInlet_120m_111_121,0.847332
SI072_120m,SaanichInlet_120m_111_122,5.43318
SI072_120m,SaanichInlet_120m_111_123,2.23744
SI072_120m,SaanichInlet_120m_111_124,0.638289
SI072_120m,SaanichInlet_120m_111_125,0.566984
SI072_120m,SaanichInlet_120m_111_126,3.57064
SI072_120m,SaanichInlet_120m_111_127,5.35801
SI072_120m,SaanichInlet_120m_111_128,0.627624
SI072_120m,SaanichInlet_120m_111_129,0.595698
SI072_120m,SaanichInlet_120m_111_13,7.77025
SI072_120m,SaanichInlet_120m_111_130,0.544368
SI072_120m,SaanichInlet_120m_111_131,2.61747
SI072_120m,SaanichInlet_120m_111_132,2.52334
SI072_120m,SaanichInlet_120m_111_133,4.09145
SI072_120m,SaanichInlet_120m_111_134,3.41228
SI072_120m,SaanichInlet_120m_111_135,4.39602
SI072_120m,SaanichInlet_120m_111_136,2.22213
SI072_120m,SaanichInlet_120m_111_137,5.19589
SI072_120m,SaanichInlet_120m_111_138,18.8076
SI072_120m,SaanichInlet_120m_111_139,2.44571
SI072_120m,SaanichInlet_120m_111_14,3.04871
SI072_120m,SaanichInlet_120m_111_140,6.52122
SI072_120m,SaanichInlet_120m_111_141,1.97102
SI072_120m,SaanichInlet_120m_111_142,0.548759
SI072_120m,SaanichInlet_120m_111_143,15.1464
SI072_120m,SaanichInlet_120m_111_144,3.50974
SI072_120m,SaanichInlet_120m_111_145,3.63601
SI072_120m,SaanichInlet_120m_111_146,16.4553
SI072_120m,SaanichInlet_120m_111_147,79.4692
SI072_120m,SaanichInlet_120m_111_148,39.8463
SI072_120m,SaanichInlet_120m_111_149,15.5687
SI072_120m,SaanichInlet_120m_111_15,9.97473
SI072_120m,SaanichInlet_120m_111_150,7.10411
SI072_120m,SaanichInlet_120m_111_151,1.82247
SI072_120m,SaanichInlet_120m_111_152,1.34097
SI072_120m,SaanichInlet_120m_111_153,2.85188
SI072_120m,SaanichInlet_120m_111_154,3.16637
SI072_120m,SaanichInlet_120m_111_155,5.35392
SI072_120m,SaanichInlet_120m_111_156,1.85236
SI072_120m,SaanichInlet_120m_111_157,0.83055
SI072_120m,SaanichInlet_120m_111_158,3.17659
SI072_120m,SaanichInlet_120m_111_159,5.218
SI072_120m,SaanichInlet_120m_111_16,5.6072
SI072_120m,SaanichInlet_120m_111_160,4.68964
SI072_120m,SaanichInlet_120m_111_161,0.628335
SI072_120m,SaanichInlet_120m_111_162,1.0423
SI072_120m,SaanichInlet_120m_111_163,8.6186
SI072_120m,SaanichInlet_120m_111_164,0.942251
SI072_120m,SaanichInlet_120m_111_165,6.52378
SI072_120m,SaanichInlet_120m_111_166,4.03353
SI072_120m,SaanichInlet_120m_111_167,2.0504
SI072_120m,SaanichInlet_120m_111_168,1.46633
SI072_120m,SaanichInlet_120m_111_169,1.80885
SI072_120m,SaanichInlet_120m_111_17,37.7629
SI072_120m,SaanichInlet_120m_111_170,2.85776
SI072_120m,SaanichInlet_120m_111_171,1.14512
