# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Ensemble mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Differential expression file name: primary_vs_control_naive_deseq2.csv
# Genes for gene ontology: allgenes
# Column index of (GeneID, logFoldChange, FDR): 1,3,7
# Cutoffs of logFoldChange and FDR for DE genes: 1.0, 0.05
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Symbol	Coordinate	PeakNumber	RPscore	adjRPscore	logFoldChange	DE significance	Rank_by_rank_product
Plekhg2	chr7:28359603-28372662	0	0.0	0.0	-0.866	7.045E-07	5621
Plekhg3	chr12:76533559-76579039	2	0.895	0.287	7.068	1.508E-08	1770
Plekhg1	chr10:3872666-3967302	0	0.0	0.0	0.000	1.000E+00	9628
Plekhg6	chr6:125362650-125380504	0	0.0	0.0	-6.326	5.118E-06	5960
4930592I03Rik	chr18:82918404-82920560	0	0.0	0.0	0.000	1.000E+00	9628
Plekhg4	chr8:105373271-105382860	0	0.0	0.0	0.000	1.000E+00	9628
Plekhg5	chr4:152096718-152115404	0	0.0	0.0	3.791	1.597E-02	8885
Nsa2	chr13:97129426-97137926	0	0.0	-0.363	-1.103	3.436E-09	6933
Nampt	chr12:32820334-32853369	0	0.0	0.0	0.000	1.000E+00	9628
Vmo1	chr11:70513515-70514616	0	0.0	-0.0	0.000	1.000E+00	9808
Man2a1	chr17:64601648-64755110	0	0.0	0.0	2.798	4.356E-44	1572
F930015N05Rik	chr11:64433134-64436674	0	0.0	0.0	0.000	1.000E+00	9628
4931406P16Rik	chr7:34236713-34285609	0	0.0	0.0	-1.133	1.711E-15	3533
Vwf	chr6:125552947-125686679	0	0.0	0.0	0.000	1.000E+00	9628
Mir302d	chr3:127545623-127545689	2	0.012	0.002	0.000	1.000E+00	8078
Mier1	chr4:103114389-103165754	3	1.002	0.322	2.282	1.330E-37	514
Mier2	chr10:79540244-79555128	0	0.0	0.0	0.000	1.000E+00	9628
Mier3	chr13:111686177-111718594	0	0.0	0.0	1.786	1.767E-06	5767
Aqp11	chr7:97726378-97738247	0	0.0	0.0	-6.669	5.832E-07	5584
