MAG24_00003	K07146
MAG24_00004	K00602
MAG24_00005	K03569
MAG24_00008	K05515
MAG24_00009	K05837
MAG24_00011	K07058
MAG24_00012	K01207
MAG24_00015	K02259
MAG24_00018	K03111
MAG24_00019	K03575
MAG24_00020	K03530
MAG24_00022	K08301
MAG24_00024	K01316
MAG24_00027	K03088
MAG24_00031	K07098
MAG24_00033	K01633
MAG24_00034	K01885
MAG24_00038	K03495
MAG24_00044	K02909
MAG24_00055	K00648
MAG24_00059	K01710
MAG24_00062	K08678
MAG24_00063	K00012
MAG24_00078	K00873
MAG24_00080	K03685
MAG24_00081	K09458
MAG24_00082	K02078
MAG24_00083	K17231
MAG24_00084	K11175
MAG24_00088	K02478
MAG24_00089	K07705
MAG24_00093	K00259
MAG24_00094	K06925
MAG24_00095	K07713
MAG24_00096	K06885
MAG24_00097	K02536
MAG24_00098	K01661
MAG24_00099	K01990
MAG24_00101	K01955
MAG24_00107	K10011
MAG24_00113	K06168
MAG24_00117	K03075
MAG24_00120	K22010
MAG24_00121	K12573
MAG24_00122	K02217
MAG24_00124	K01889
MAG24_00125	K01802
MAG24_00129	K00927
MAG24_00130	K02341
MAG24_00133	K05366
MAG24_00134	K01028
MAG24_00135	K01029
MAG24_00136	K00083
MAG24_00138	K01465
MAG24_00139	K00721
MAG24_00146	K03823
MAG24_00150	K00133
MAG24_00154	K02549
MAG24_00158	K11536
MAG24_00159	K00560
MAG24_00160	K03270
MAG24_00162	K02198
MAG24_00172	K03704
MAG24_00176	K02469
MAG24_00181	K05592
MAG24_00190	K05989
MAG24_00191	K02429
MAG24_00192	K14983
MAG24_00195	K02863
MAG24_00196	K02864
MAG24_00197	K02935
MAG24_00198	K03043
MAG24_00199	K01673
MAG24_00203	K00791
MAG24_00205	K01937
MAG24_00207	K06199
MAG24_00210	K01620
MAG24_00213	K01924
MAG24_00214	K03589
MAG24_00215	K03590
MAG24_00216	K23265
MAG24_00219	K01945
MAG24_00226	K01624
MAG24_00229	K02276
MAG24_00231	K02257
MAG24_00234	K03719
MAG24_00239	K03526
MAG24_00240	K17290
MAG24_00242	K03655
MAG24_00245	K00761
MAG24_00247	K07025
MAG24_00248	K01613
MAG24_00249	K00981
MAG24_00251	K03798
MAG24_00262	K01448
MAG24_00263	K02067
MAG24_00268	K01939
MAG24_00270	K00979
MAG24_00271	K04096
MAG24_00274	K01698
MAG24_00278	K04567
MAG24_00282	K10716
MAG24_00292	K16066
MAG24_00293	K22696
MAG24_00294	K22696
MAG24_00295	K03783
MAG24_00298	K02609
MAG24_00299	K02610
MAG24_00300	K01823
MAG24_00301	K03703
MAG24_00302	K02551
MAG24_00305	K00632
MAG24_00306	K07516
MAG24_00307	K11166
MAG24_00309	K03321
MAG24_00311	K11140
MAG24_00312	K03106
MAG24_00313	K01491
MAG24_00316	K04079
MAG24_00322	K07315
MAG24_00323	K02536
MAG24_00324	K02356
MAG24_00331	K03767
MAG24_00336	K01847
MAG24_00337	K01847
MAG24_00343	K00486
MAG24_00344	K01556
MAG24_00345	K02687
MAG24_00349	K03628
MAG24_00356	K02887
MAG24_00357	K02916
MAG24_00358	K02520
MAG24_00359	K01868
MAG24_00365	K03086
MAG24_00366	K00962
MAG24_00367	K02956
MAG24_00368	K01963
MAG24_00372	K03724
MAG24_00373	K07768
MAG24_00375	K09022
MAG24_00378	K01870
MAG24_00380	K03101
MAG24_00383	K03696
MAG24_00384	K03654
MAG24_00388	K01424
MAG24_00390	K03424
MAG24_00391	K03703
MAG24_00393	K13990
MAG24_00395	K00428
MAG24_00397	K07019
MAG24_00399	K01938
MAG24_00400	K01874
MAG24_00401	K01297
MAG24_00402	K07460
MAG24_00404	K01873
MAG24_00405	K03281
MAG24_00407	K07031
MAG24_00408	K03271
MAG24_00409	K15669
MAG24_00410	K03273
MAG24_00417	K06180
MAG24_00429	K03544
MAG24_00430	K01358
MAG24_00431	K03545
MAG24_00435	K02106
MAG24_00438	K01159
MAG24_00439	K02503
MAG24_00440	K03624
MAG24_00448	K00966
MAG24_00449	K01520
MAG24_00451	K01463
MAG24_00455	K03648
MAG24_00457	K03635
MAG24_00458	K11996
MAG24_00461	K07322
MAG24_00462	K18672
MAG24_00464	K01462
MAG24_00465	K07447
MAG24_00466	K00674
MAG24_00468	K00970
MAG24_00469	K03701
MAG24_00470	K18890
MAG24_00471	K06173
MAG24_00472	K02548
MAG24_00476	K07478
MAG24_00480	K00075
MAG24_00481	K11527
MAG24_00486	K06940
MAG24_00488	K12235
MAG24_00490	K08307
MAG24_00491	K02433
MAG24_00492	K02967
MAG24_00493	K02357
MAG24_00494	K09903
MAG24_00495	K02838
MAG24_00498	K00973
MAG24_00499	K13789
MAG24_00502	K00164
MAG24_00503	K00658
MAG24_00505	K22074
MAG24_00507	K01776
MAG24_00508	K06142
MAG24_00509	K06142
MAG24_00510	K07277
MAG24_00516	K00432
MAG24_00517	K15523
MAG24_00520	K08968
MAG24_00522	K13566
MAG24_00523	K14287
MAG24_00525	K01951
MAG24_00531	K03305
MAG24_00533	K13680
MAG24_00537	K01658
MAG24_00538	K09022
MAG24_00542	K00382
MAG24_00552	K07560
MAG24_00553	K06949
MAG24_00554	K01448
MAG24_00555	K03768
MAG24_00556	K00821
MAG24_00557	K06911
