MAG193_00013	K09815
MAG193_00014	K09817
MAG193_00015	K09816
MAG193_00027	K03671
MAG193_00029	K01735
MAG193_00030	K03856
MAG193_00031	K01876
MAG193_00032	K01892
MAG193_00033	K00013
MAG193_00034	K03569
MAG193_00035	K03570
MAG193_00037	K05515
MAG193_00038	K05837
MAG193_00041	K02113
MAG193_00042	K02111
MAG193_00043	K02115
MAG193_00044	K02112
MAG193_00045	K02114
MAG193_00047	K07080
MAG193_00049	K21393
MAG193_00051	K21395
MAG193_00054	K00215
MAG193_00057	K00764
MAG193_00059	K03581
MAG193_00067	K01940
MAG193_00068	K00769
MAG193_00071	K00196
MAG193_00072	K03974
MAG193_00074	K01586
MAG193_00076	K01895
MAG193_00078	K05788
MAG193_00083	K05540
MAG193_00084	K09457
MAG193_00086	K03595
MAG193_00087	K03978
MAG193_00092	K03282
MAG193_00100	K15836
MAG193_00101	K02669
MAG193_00102	K02669
MAG193_00104	K02221
MAG193_00113	K00936
MAG193_00118	K03086
MAG193_00121	K03593
MAG193_00122	K01129
MAG193_00123	K09740
MAG193_00127	K13888
MAG193_00129	K06950
MAG193_00130	K02836
MAG193_00131	K05588
MAG193_00134	K07710
MAG193_00135	K02481
MAG193_00137	K05516
MAG193_00143	K09898
MAG193_00145	K07502
MAG193_00148	K00425
MAG193_00149	K00426
MAG193_00153	K01258
MAG193_00154	K09121
MAG193_00155	K01095
MAG193_00156	K03553
MAG193_00157	K01872
MAG193_00158	K13894
MAG193_00160	K01912
MAG193_00163	K07071
MAG193_00172	K03924
MAG193_00175	K07114
MAG193_00176	K07114
MAG193_00181	K07636
MAG193_00182	K02484
MAG193_00183	K00060
MAG193_00184	K18967
MAG193_00187	K00248
MAG193_00188	K15016
MAG193_00192	K00057
MAG193_00194	K02527
MAG193_00195	K00548
MAG193_00200	K07062
MAG193_00204	K07714
MAG193_00208	K01129
MAG193_00209	K11991
MAG193_00210	K02520
MAG193_00211	K02916
MAG193_00212	K02887
MAG193_00213	K12368
MAG193_00214	K12369
MAG193_00215	K12370
MAG193_00216	K02031
MAG193_00217	K02032
MAG193_00218	K00656
MAG193_00219	K04069
MAG193_00225	K03561
MAG193_00226	K02013
MAG193_00227	K02015
MAG193_00228	K02016
MAG193_00230	K16089
MAG193_00231	K02016
MAG193_00232	K02015
MAG193_00233	K02013
MAG193_00235	K03671
MAG193_00240	K02851
MAG193_00247	K07305
MAG193_00249	K07668
MAG193_00250	K05777
MAG193_00252	K11072
MAG193_00254	K06042
MAG193_00255	K02224
MAG193_00256	K02188
MAG193_00257	K22900
MAG193_00259	K03639
MAG193_00261	K00442
MAG193_00263	K06282
MAG193_00264	K06281
MAG193_00265	K03605
MAG193_00271	K00891
MAG193_00274	K03753
MAG193_00276	K00606
MAG193_00277	K01996
MAG193_00278	K01999
MAG193_00279	K01998
MAG193_00280	K01997
MAG193_00281	K01897
MAG193_00282	K01995
MAG193_00284	K01995
MAG193_00285	K01996
MAG193_00287	K06920
MAG193_00288	K11473
MAG193_00289	K01079
MAG193_00290	K08177
MAG193_00291	K00974
MAG193_00292	K03179
MAG193_00293	K04652
MAG193_00295	K00773
MAG193_00296	K07568
MAG193_00299	K03524
MAG193_00300	K04083
MAG193_00301	K07391
MAG193_00302	K02535
MAG193_00305	K02481
MAG193_00306	K08316
MAG193_00307	K00954
MAG193_00308	K08189
MAG193_00309	K18880
MAG193_00310	K01473
MAG193_00311	K11406
MAG193_00312	K04567
MAG193_00313	K08974
MAG193_00314	K00573
MAG193_00315	K10716
MAG193_00316	K01934
MAG193_00317	K01875
MAG193_00318	K01733
MAG193_00320	K02482
MAG193_00322	K01007
MAG193_00323	K00027
MAG193_00324	K01681
MAG193_00326	K02338
MAG193_00330	K03737
MAG193_00333	K18967
MAG193_00341	K03544
MAG193_00342	K01338
MAG193_00343	K03628
MAG193_00355	K07455
MAG193_00356	K02481
MAG193_00371	K11529
MAG193_00372	K22373
MAG193_00377	K06911
MAG193_00378	K15976
MAG193_00379	K00605
MAG193_00381	K07005
MAG193_00382	K07053
MAG193_00383	K01596
MAG193_00387	K01684
MAG193_00390	K03585
MAG193_00391	K02584
MAG193_00393	K02231
MAG193_00395	K02233
MAG193_00396	K00817
MAG193_00397	K02227
MAG193_00399	K04069
MAG193_00400	K00656
MAG193_00403	K03711
MAG193_00404	K04759
MAG193_00407	K07714
MAG193_00408	K07709
MAG193_00413	K02666
MAG193_00415	K02488
MAG193_00417	K22597
MAG193_00418	K00696
MAG193_00419	K00847
MAG193_00423	K01953
MAG193_00428	K01556
MAG193_00429	K01999
MAG193_00430	K03704
MAG193_00431	K05592
MAG193_00433	K07277
MAG193_00436	K01897
MAG193_00438	K03388
MAG193_00441	K00125
MAG193_00442	K16950
MAG193_00450	K02945
MAG193_00452	K21064
MAG193_00453	K03474
MAG193_00455	K07037
MAG193_00456	K06217
MAG193_00459	K01653
MAG193_00460	K15550
MAG193_00462	K03296
MAG193_00463	K01591
MAG193_00464	K00928
MAG193_00465	K06925
MAG193_00466	K17758
MAG193_00468	K01246
MAG193_00469	K01770
MAG193_00472	K00314
MAG193_00478	K00355
MAG193_00481	K12500
MAG193_00482	K01996
MAG193_00483	K01995
MAG193_00484	K01998
MAG193_00485	K01997
MAG193_00486	K06153
MAG193_00487	K03640
MAG193_00488	K07219
MAG193_00489	K03750
MAG193_00490	K10206
MAG193_00491	K02528
MAG193_00492	K11523
MAG193_00496	K03388
MAG193_00501	K00441
MAG193_00502	K14128
MAG193_00503	K14126
MAG193_00505	K07107
MAG193_00507	K06199
MAG193_00512	K07444
MAG193_00513	K01626
MAG193_00516	K01998
MAG193_00517	K11956
MAG193_00519	K01995
MAG193_00520	K01996
MAG193_00521	K01897
MAG193_00522	K18672
MAG193_00525	K19303
MAG193_00533	K07493
MAG193_00535	K15986
MAG193_00539	K00249
MAG193_00540	K03522
MAG193_00541	K03521
MAG193_00542	K01663
MAG193_00544	K01893
MAG193_00545	K03924
MAG193_00553	K07150
MAG193_00554	K01952
MAG193_00555	K23269
MAG193_00556	K03574
MAG193_00557	K03501
MAG193_00558	K02355
MAG193_00560	K08305
MAG193_00561	K00605
MAG193_00565	K07710
MAG193_00567	K01356
MAG193_00572	K13281
MAG193_00573	K15891
MAG193_00574	K04771
MAG193_00576	K01802
MAG193_00577	K07263
MAG193_00579	K00140
MAG193_00581	K00827
MAG193_00583	K00351
MAG193_00584	K00350
MAG193_00585	K00349
MAG193_00586	K00348
MAG193_00587	K00347
MAG193_00589	K03718
MAG193_00590	K00600
MAG193_00596	K00958
MAG193_00598	K07133
MAG193_00603	K07133
MAG193_00604	K07171
MAG193_00609	K07692
MAG193_00610	K07486
MAG193_00616	K07478
MAG193_00617	K03977
MAG193_00619	K02557
MAG193_00624	K22068
MAG193_00625	K03736
MAG193_00627	K03639
MAG193_00630	K07710
MAG193_00631	K02485
MAG193_00635	K01897
MAG193_00636	K02485
MAG193_00637	K07814
MAG193_00639	K09129
MAG193_00640	K00982
MAG193_00645	K07652
MAG193_00646	K06974
MAG193_00647	K02481
MAG193_00648	K02036
MAG193_00649	K02038
MAG193_00650	K02038
MAG193_00651	K02040
MAG193_00653	K01870
MAG193_00655	K04763
MAG193_00656	K04763
MAG193_00666	K08303
MAG193_00670	K00344
MAG193_00671	K13896
MAG193_00672	K13895
MAG193_00673	K13894
MAG193_00674	K13893
MAG193_00676	K00979
MAG193_00680	K02843
MAG193_00681	K02843
MAG193_00682	K02517
MAG193_00683	K00912
MAG193_00685	K00241
MAG193_00688	K11720
MAG193_00689	K11720
MAG193_00690	K00949
MAG193_00691	K01687
MAG193_00693	K06898
MAG193_00694	K15256
MAG193_00695	K15257
MAG193_00697	K08349
MAG193_00704	K07071
MAG193_00707	K07814
MAG193_00708	K03321
MAG193_00710	K00673
MAG193_00713	K10036
MAG193_00714	K10037
MAG193_00715	K10038
MAG193_00718	K01843
MAG193_00719	K01425
MAG193_00721	K01939
MAG193_00723	K05841
MAG193_00724	K00655
MAG193_00727	K09954
MAG193_00731	K07675
MAG193_00736	K13444
MAG193_00738	K00820
MAG193_00740	K01874
MAG193_00747	K20074
MAG193_00751	K21900
MAG193_00752	K02040
MAG193_00753	K02037
MAG193_00754	K02038
MAG193_00755	K02036
MAG193_00756	K00982
MAG193_00758	K07133
MAG193_00759	K07133
MAG193_00760	K07710
