MAG128_00002	K06207
MAG128_00003	K01915
MAG128_00004	K07708
MAG128_00005	K07712
MAG128_00007	K03216
MAG128_00009	K03071
MAG128_00011	K15633
MAG128_00012	K22719
MAG128_00013	K03797
MAG128_00014	K02500
MAG128_00015	K01814
MAG128_00016	K02501
MAG128_00017	K01693
MAG128_00019	K03575
MAG128_00022	K14162
MAG128_00025	K01934
MAG128_00028	K01262
MAG128_00029	K03185
MAG128_00032	K06126
MAG128_00035	K06148
MAG128_00038	K00266
MAG128_00039	K00265
MAG128_00042	K11779
MAG128_00054	K01687
MAG128_00057	K03625
MAG128_00058	K00794
MAG128_00059	K14652
MAG128_00060	K00793
MAG128_00061	K11752
MAG128_00062	K07738
MAG128_00063	K00600
MAG128_00066	K03566
MAG128_00068	K00059
MAG128_00069	K00344
MAG128_00070	K01049
MAG128_00071	K03451
MAG128_00074	K06020
MAG128_00077	K15918
MAG128_00079	K13638
MAG128_00080	K06130
MAG128_00081	K06694
MAG128_00083	K03442
MAG128_00084	K06969
MAG128_00087	K06956
MAG128_00088	K01992
MAG128_00089	K01990
MAG128_00090	K01295
MAG128_00091	K04485
MAG128_00092	K01775
MAG128_00093	K02314
MAG128_00094	K02939
MAG128_00096	K02963
MAG128_00097	K02990
MAG128_00098	K03218
MAG128_00099	K12573
MAG128_00101	K02112
MAG128_00102	K02115
MAG128_00103	K02111
MAG128_00104	K02113
MAG128_00105	K02109
MAG128_00106	K02110
MAG128_00107	K02108
MAG128_00109	K03497
MAG128_00110	K03496
MAG128_00111	K03501
MAG128_00112	K03495
MAG128_00113	K03650
MAG128_00114	K03217
MAG128_00115	K08998
MAG128_00117	K02313
MAG128_00118	K02338
MAG128_00119	K03629
MAG128_00120	K02470
MAG128_00121	K03273
MAG128_00122	K01879
MAG128_00123	K01878
MAG128_00125	K03498
MAG128_00126	K03499
MAG128_00127	K03500
MAG128_00129	K11533
MAG128_00130	K01676
MAG128_00131	K13239
MAG128_00135	K15866
MAG128_00138	K04564
MAG128_00139	K04077
MAG128_00140	K04078
MAG128_00142	K07443
MAG128_00143	K08218
MAG128_00144	K09767
MAG128_00145	K02015
MAG128_00146	K02013
MAG128_00147	K00627
MAG128_00148	K00163
MAG128_00150	K03806
MAG128_00151	K00767
MAG128_00155	K02653
MAG128_00156	K02654
MAG128_00157	K00859
MAG128_00158	K09862
MAG128_00159	K03574
MAG128_00160	K00620
MAG128_00161	K03070
MAG128_00162	K19304
MAG128_00163	K02535
MAG128_00164	K03531
MAG128_00165	K03590
MAG128_00166	K03589
MAG128_00167	K01921
MAG128_00168	K01924
MAG128_00169	K02563
MAG128_00170	K03588
MAG128_00171	K01925
MAG128_00172	K01000
MAG128_00173	K01929
MAG128_00174	K01928
MAG128_00175	K03587
MAG128_00177	K03438
MAG128_00178	K03925
MAG128_00180	K07056
MAG128_00182	K07460
MAG128_00183	K03271
MAG128_00185	K03600
MAG128_00186	K03599
MAG128_00187	K00412
MAG128_00188	K00411
MAG128_00189	K02996
MAG128_00190	K02871
MAG128_00191	K06916
MAG128_00193	K00957
MAG128_00194	K00956
MAG128_00196	K04771
MAG128_00197	K00013
MAG128_00198	K00765
MAG128_00199	K00790
MAG128_00202	K07301
MAG128_00203	K06041
MAG128_00204	K03270
MAG128_00207	K06861
MAG128_00208	K03092
MAG128_00209	K02806
MAG128_00210	K06958
MAG128_00211	K11189
MAG128_00212	K06213
MAG128_00215	K14393
MAG128_00216	K03310
MAG128_00217	K03593
MAG128_00219	K23025
MAG128_00221	K01740
MAG128_00223	K06206
MAG128_00224	K00812
MAG128_00225	K06204
MAG128_00226	K01894
MAG128_00228	K07710
MAG128_00229	K07714
MAG128_00230	K00970
MAG128_00231	K00606
MAG128_00232	K01918
MAG128_00233	K01895
MAG128_00236	K03924
MAG128_00238	K07552
MAG128_00239	K01042
MAG128_00240	K15919
MAG128_00242	K01006
MAG128_00244	K03303
MAG128_00245	K03833
MAG128_00246	K20497
MAG128_00247	K22071
MAG128_00248	K01259
MAG128_00249	K07560
MAG128_00250	K03118
MAG128_00253	K01523
MAG128_00254	K11755
MAG128_00255	K03688
MAG128_00257	K03183
MAG128_00259	K03667
MAG128_00260	K01419
MAG128_00261	K00134
MAG128_00263	K00626
MAG128_00266	K03654
MAG128_00281	K00387
MAG128_00287	K03315
MAG128_00288	K03641
