MAG209_00001	K18979
MAG209_00002	K01469
MAG209_00008	K03296
MAG209_00009	K06147
MAG209_00011	K11206
MAG209_00012	K03676
MAG209_00014	K18162
MAG209_00015	K01772
MAG209_00016	K23256
MAG209_00018	K11729
MAG209_00021	K00059
MAG209_00022	K03684
MAG209_00025	K03495
MAG209_00026	K03650
MAG209_00027	K03628
MAG209_00028	K08973
MAG209_00030	K00014
MAG209_00032	K02342
MAG209_00033	K03071
MAG209_00034	K07113
MAG209_00037	K03518
MAG209_00038	K03520
MAG209_00039	K03519
MAG209_00040	K00674
MAG209_00042	K01091
MAG209_00043	K01439
MAG209_00045	K09790
MAG209_00047	K02428
MAG209_00048	K00989
MAG209_00049	K03705
MAG209_00050	K03687
MAG209_00051	K03555
MAG209_00052	K00029
MAG209_00053	K22696
MAG209_00054	K22696
MAG209_00055	K01823
MAG209_00056	K10960
MAG209_00058	K04040
MAG209_00059	K04039
MAG209_00060	K04038
MAG209_00065	K02302
MAG209_00067	K00392
MAG209_00069	K00528
MAG209_00070	K02520
MAG209_00072	K07402
MAG209_00074	K00651
MAG209_00079	K06207
MAG209_00080	K01872
MAG209_00081	K03553
MAG209_00083	K03500
MAG209_00084	K00088
MAG209_00085	K01480
MAG209_00088	K00962
MAG209_00089	K02956
MAG209_00093	K03177
MAG209_00095	K00135
MAG209_00096	K01432
MAG209_00097	K01091
MAG209_00099	K01783
MAG209_00103	K05799
MAG209_00106	K03529
MAG209_00108	K02227
MAG209_00112	K14155
MAG209_00113	K01462
MAG209_00114	K01462
MAG209_00115	K00604
MAG209_00117	K03500
MAG209_00120	K01262
MAG209_00126	K02434
MAG209_00128	K00554
MAG209_00130	K02959
MAG209_00133	K03106
MAG209_00136	K01756
MAG209_00138	K02517
MAG209_00141	K07425
MAG209_00144	K01679
MAG209_00148	K05799
MAG209_00151	K00605
MAG209_00152	K19745
MAG209_00153	K02168
MAG209_00155	K01669
MAG209_00156	K00574
MAG209_00157	K01738
MAG209_00158	K05802
MAG209_00167	K03522
MAG209_00168	K03521
MAG209_00169	K00798
MAG209_00172	K02621
MAG209_00173	K11529
MAG209_00175	K00375
MAG209_00176	K01652
MAG209_00177	K03426
MAG209_00180	K05359
MAG209_00181	K08738
MAG209_00182	K13893
MAG209_00183	K13894
MAG209_00184	K13895
MAG209_00185	K00335
MAG209_00186	K03601
MAG209_00187	K01945
MAG209_00188	K22071
MAG209_00189	K14162
MAG209_00190	K04771
MAG209_00192	K04087
MAG209_00193	K04088
MAG209_00194	K00383
MAG209_00195	K01807
MAG209_00196	K01142
MAG209_00198	K06204
