MAG183_00002	K01914
MAG183_00007	K01893
MAG183_00009	K06176
MAG183_00011	K07089
MAG183_00015	K14713
MAG183_00016	K03724
MAG183_00017	K12132
MAG183_00019	K01092
MAG183_00023	K01870
MAG183_00026	K03086
MAG183_00029	K14959
MAG183_00032	K03086
MAG183_00036	K07579
MAG183_00038	K01537
MAG183_00039	K12591
MAG183_00046	K01843
MAG183_00053	K03834
MAG183_00055	K01974
MAG183_00057	K07580
MAG183_00061	K00555
MAG183_00062	K03243
MAG183_00064	K03609
MAG183_00069	K03072
MAG183_00070	K03074
MAG183_00075	K10725
MAG183_00076	K02323
MAG183_00077	K02322
MAG183_00079	K03238
MAG183_00086	K00784
MAG183_00089	K07025
MAG183_00090	K01866
MAG183_00091	K17732
MAG183_00093	K01262
MAG183_00098	K06944
MAG183_00099	K01953
MAG183_00100	K06927
MAG183_00103	K03386
MAG183_00105	K04564
MAG183_00108	K17686
MAG183_00115	K04802
MAG183_00117	K12574
MAG183_00129	K06024
MAG183_00131	K06917
MAG183_00135	K18310
MAG183_00136	K03294
MAG183_00141	K17758
MAG183_00147	K13444
MAG183_00149	K02503
MAG183_00154	K03168
MAG183_00157	K03555
MAG183_00160	K00772
MAG183_00162	K01251
MAG183_00164	K09482
MAG183_00170	K07159
MAG183_00172	K01409
MAG183_00174	K03572
MAG183_00176	K00826
MAG183_00177	K08799
MAG183_00183	K06871
MAG183_00185	K07301
MAG183_00186	K12598
MAG183_00188	K00586
MAG183_00205	K01872
MAG183_00207	K21929
MAG183_00208	K02977
MAG183_00211	K03049
MAG183_00215	K17734
MAG183_00216	K04773
MAG183_00229	K03657
MAG183_00231	K01883
MAG183_00232	K01873
MAG183_00240	K03427
MAG183_00245	K09728
MAG183_00248	K03678
MAG183_00249	K11600
MAG183_00250	K03679
MAG183_00251	K14574
MAG183_00252	K03432
MAG183_00253	K03537
MAG183_00257	K23144
MAG183_00261	K02967
MAG183_00266	K01872
MAG183_00272	K14168
MAG183_00273	K03151
MAG183_00274	K03120
MAG183_00275	K10726
MAG183_00281	K07466
MAG183_00286	K04483
MAG183_00289	K00773
MAG183_00291	K01868
MAG183_00292	K02953
MAG183_00301	K11936
MAG183_00306	K04484
MAG183_00312	K01996
MAG183_00316	K23356
MAG183_00317	K22447
MAG183_00319	K02003
MAG183_00321	K02004
MAG183_00322	K02004
MAG183_00323	K15634
MAG183_00329	K04487
MAG183_00331	K03546
MAG183_00344	K02922
MAG183_00348	K03778
MAG183_00351	K00948
MAG183_00354	K00754
MAG183_00364	K15986
MAG183_00365	K03529
MAG183_00369	K00754
MAG183_00378	K01881
MAG183_00381	K07305
MAG183_00401	K03654
MAG183_00404	K07461
MAG183_00406	K03726
MAG183_00407	K01902
MAG183_00408	K12460
MAG183_00409	K13292
MAG183_00412	K03531
MAG183_00414	K02601
MAG183_00420	K07558
MAG183_00425	K03424
