MAG208_00001	K04079
MAG208_00003	K06187
MAG208_00005	K00658
MAG208_00007	K03742
MAG208_00008	K02902
MAG208_00009	K02913
MAG208_00011	K03110
MAG208_00012	K14441
MAG208_00015	K01951
MAG208_00017	K01937
MAG208_00018	K03217
MAG208_00019	K07037
MAG208_00024	K00639
MAG208_00025	K15789
MAG208_00027	K03548
MAG208_00028	K09761
MAG208_00029	K01409
MAG208_00030	K00850
MAG208_00031	K00134
MAG208_00033	K09022
MAG208_00035	K01448
MAG208_00036	K02067
MAG208_00042	K00754
MAG208_00046	K00104
MAG208_00047	K11102
MAG208_00048	K03648
MAG208_00049	K00757
MAG208_00055	K03502
MAG208_00056	K03503
MAG208_00062	K01892
MAG208_00063	K02939
MAG208_00064	K02963
MAG208_00065	K02990
MAG208_00067	K04066
MAG208_00068	K00783
MAG208_00069	K02428
MAG208_00072	K01756
MAG208_00076	K09760
MAG208_00077	K01955
MAG208_00078	K02914
MAG208_00082	K18707
MAG208_00083	K12368
MAG208_00084	K00621
MAG208_00085	K02909
MAG208_00089	K01835
MAG208_00090	K06147
MAG208_00091	K01952
MAG208_00092	K01298
MAG208_00094	K07516
MAG208_00095	K00632
MAG208_00100	K00384
MAG208_00101	K21430
MAG208_00102	K00876
MAG208_00104	K01847
MAG208_00105	K01847
MAG208_00106	K03496
MAG208_00107	K03497
MAG208_00109	K03100
MAG208_00114	K03572
MAG208_00116	K00794
MAG208_00118	K03629
MAG208_00121	K00940
MAG208_00122	K06881
MAG208_00123	K12733
MAG208_00124	K01270
MAG208_00126	K03437
MAG208_00127	K00951
MAG208_00128	K03711
MAG208_00129	K01939
MAG208_00131	K00821
MAG208_00133	K08974
MAG208_00134	K08974
MAG208_00136	K00566
MAG208_00138	K03217
MAG208_00139	K01937
MAG208_00143	K09793
MAG208_00145	K01159
MAG208_00147	K01714
MAG208_00148	K00151
MAG208_00151	K18384
MAG208_00152	K00285
MAG208_00153	K14286
MAG208_00155	K10805
MAG208_00156	K01597
MAG208_00157	K00869
MAG208_00160	K00948
MAG208_00161	K02897
MAG208_00162	K01056
MAG208_00163	K11753
MAG208_00164	K01875
MAG208_00165	K02528
MAG208_00166	K03701
MAG208_00172	K00652
MAG208_00173	K01697
MAG208_00174	K01620
MAG208_00176	K02836
MAG208_00177	K00537
MAG208_00180	K01679
MAG208_00181	K01468
MAG208_00182	K13990
MAG208_00188	K07052
MAG208_00190	K19222
MAG208_00192	K04043
MAG208_00193	K00606
MAG208_00194	K06180
MAG208_00196	K00496
MAG208_00197	K00128
MAG208_00198	K06350
MAG208_00199	K23123
MAG208_00200	K07160
MAG208_00202	K04075
MAG208_00203	K00382
MAG208_00204	K03315
MAG208_00205	K03466
MAG208_00207	K07091
MAG208_00208	K14652
MAG208_00212	K01069
MAG208_00216	K01990
MAG208_00217	K07218
MAG208_00219	K03386
MAG208_00224	K07124
MAG208_00232	K07729
MAG208_00235	K11068
MAG208_00239	K03307
MAG208_00241	K01132
MAG208_00244	K01784
MAG208_00245	K13444
MAG208_00249	K11717
MAG208_00252	K01246
MAG208_00253	K00059
MAG208_00257	K00024
MAG208_00258	K02470
MAG208_00259	K10026
MAG208_00260	K06178
MAG208_00261	K06991
MAG208_00264	K01491
MAG208_00265	K03106
MAG208_00266	K01887
MAG208_00269	K01647
MAG208_00270	K01689
MAG208_00271	K01956
MAG208_00274	K22468
MAG208_00276	K07710
MAG208_00277	K02503
MAG208_00278	K03624
MAG208_00280	K02014
MAG208_00284	K02899
MAG208_00285	K02888
MAG208_00291	K03111
MAG208_00292	K03575
MAG208_00293	K03530
MAG208_00295	K08301
MAG208_00296	K01142
MAG208_00299	K01880
MAG208_00301	K00240
MAG208_00302	K00239
MAG208_00305	K01262
MAG208_00306	K00946
MAG208_00307	K13628
MAG208_00308	K09014
MAG208_00309	K09013
MAG208_00310	K09015
MAG208_00311	K11717
MAG208_00312	K02426
MAG208_00315	K03665
MAG208_00320	K09861
MAG208_00321	K06180
MAG208_00323	K01921
MAG208_00324	K00954
MAG208_00326	K00762
MAG208_00327	K03524
MAG208_00328	K09710
MAG208_00329	K03798
MAG208_00331	K00981
MAG208_00332	K01613
MAG208_00333	K01873
MAG208_00335	K00812
MAG208_00336	K00075
MAG208_00339	K03644
MAG208_00340	K00912
MAG208_00342	K07164
MAG208_00343	K07304
MAG208_00346	K05995
MAG208_00347	K15633
MAG208_00348	K01265
MAG208_00350	K03734
MAG208_00351	K00351
MAG208_00352	K00350
MAG208_00353	K00349
MAG208_00354	K00348
MAG208_00355	K00347
MAG208_00356	K00346
MAG208_00360	K00294
MAG208_00366	K03501
MAG208_00367	K00508
MAG208_00368	K00812
MAG208_00369	K03498
MAG208_00370	K03499
MAG208_00371	K03183
MAG208_00373	K03437
MAG208_00374	K01624
MAG208_00375	K01963
MAG208_00376	K02956
MAG208_00377	K00962
MAG208_00378	K03086
MAG208_00379	K01783
MAG208_00380	K02851
MAG208_00384	K01881
MAG208_00386	K02968
MAG208_00387	K03628
MAG208_00389	K07095
MAG208_00390	K06173
MAG208_00391	K06147
MAG208_00392	K18672
MAG208_00393	K00796
MAG208_00396	K02033
MAG208_00397	K01803
MAG208_00398	K01069
MAG208_00399	K01206
MAG208_00400	K03704
MAG208_00410	K01342
MAG208_00414	K07301
MAG208_00415	K01915
MAG208_00417	K01933
MAG208_00418	K02835
MAG208_00419	K01591
MAG208_00420	K16264
MAG208_00425	K09164
MAG208_00427	K06199
MAG208_00428	K01277
MAG208_00431	K00826
MAG208_00432	K03687
MAG208_00433	K03686
MAG208_00434	K01990
MAG208_00435	K01992
MAG208_00436	K02481
MAG208_00437	K01302
MAG208_00439	K01627
MAG208_00448	K09812
MAG208_00450	K09808
MAG208_00451	K01697
MAG208_00452	K03310
MAG208_00454	K03733
MAG208_00459	K00681
MAG208_00465	K05592
MAG208_00467	K02527
MAG208_00470	K00645
MAG208_00471	K00287
MAG208_00472	K00560
MAG208_00473	K11536
MAG208_00474	K08999
MAG208_00475	K03522
MAG208_00477	K00162
MAG208_00478	K23025
MAG208_00479	K15519
MAG208_00484	K06949
MAG208_00485	K07560
MAG208_00487	K07568
MAG208_00488	K06941
MAG208_00489	K02316
MAG208_00490	K01916
MAG208_00493	K05837
MAG208_00494	K05515
MAG208_00496	K03570
MAG208_00497	K03569
MAG208_00498	K00602
MAG208_00500	K19302
MAG208_00506	K07588
MAG208_00507	K03070
MAG208_00509	K00798
MAG208_00512	K17103
MAG208_00513	K06861
MAG208_00514	K03118
MAG208_00515	K06041
MAG208_00516	K03654
MAG208_00517	K03768
MAG208_00520	K06878
MAG208_00523	K18889
MAG208_00524	K03625
MAG208_00527	K00254
MAG208_00532	K00088
MAG208_00533	K03771
MAG208_00535	K03771
MAG208_00536	K01681
MAG208_00539	K02825
MAG208_00542	K00615
MAG208_00543	K00615
MAG208_00544	K00773
MAG208_00545	K11720
MAG208_00546	K01962
MAG208_00547	K02314
MAG208_00549	K02887
MAG208_00550	K02916
MAG208_00551	K02520
MAG208_00552	K01868
MAG208_00554	K07106
MAG208_00555	K00031
MAG208_00556	K02884
MAG208_00557	K00554
MAG208_00558	K04771
MAG208_00559	K01778
