# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Symbol	Coordinate	PeakNumber	adjRPscore	RPscore	Rank_by_RPscore
Plekhg2	chr7:28359603-28372662	0	0.0	0.0	4473
Plekhg3	chr12:76533559-76579039	2	0.895	0.287	1077
Plekhg1	chr10:3872666-3967302	0	0.0	0.0	4473
Plekhg6	chr6:125362650-125380504	0	0.0	0.0	4473
4930592I03Rik	chr18:82918404-82920560	0	0.0	0.0	4473
Plekhg4	chr8:105373271-105382860	0	0.0	0.0	4473
Plekhg5	chr4:152096718-152115404	0	0.0	0.0	4473
Nsa2	chr13:97129426-97137926	0	0.0	-0.363	7452
Nampt	chr12:32820334-32853369	0	0.0	0.0	4473
Vmo1	chr11:70513515-70514616	0	0.0	-0.0	4670
Man2a1	chr17:64601648-64755110	0	0.0	0.0	4473
F930015N05Rik	chr11:64433134-64436674	0	0.0	0.0	4473
4931406P16Rik	chr7:34236713-34285609	0	0.0	0.0	4473
Vwf	chr6:125552947-125686679	0	0.0	0.0	4473
Mir302d	chr3:127545623-127545689	2	0.012	0.002	3687
Mier1	chr4:103114389-103165754	3	1.002	0.322	816
Mier2	chr10:79540244-79555128	0	0.0	0.0	4473
Mier3	chr13:111686177-111718594	0	0.0	0.0	4473
Aqp11	chr7:97726378-97738247	0	0.0	0.0	4473
Aqp12	chr1:93006333-93012269	0	0.0	0.0	4473
1810010H24Rik	chr11:107028222-107030442	0	0.0	0.0	4473
Rpl31-ps12	chr16:16819712-16820196	0	0.0	0.0	4473
Dag1	chr9:108204860-108263815	0	0.0	0.0	4473
Myadm	chr7:3290555-3299349	2	1.61	0.517	257
