MAG10_00002	K00826
MAG10_00003	K02327
MAG10_00006	K02995
MAG10_00007	K01557
MAG10_00014	K10956
MAG10_00016	K02907
MAG10_00017	K02988
MAG10_00018	K02881
MAG10_00019	K02885
MAG10_00020	K02912
MAG10_00021	K02940
MAG10_00022	K02994
MAG10_00024	K02931
MAG10_00025	K02987
MAG10_00026	K02895
MAG10_00027	K02874
MAG10_00028	K02949
MAG10_00030	K03113
MAG10_00032	K02982
MAG10_00033	K02890
MAG10_00034	K02958
MAG10_00035	K02886
MAG10_00036	K02892
MAG10_00037	K02930
MAG10_00038	K02906
MAG10_00039	K10896
MAG10_00040	K10848
MAG10_00041	K00241
MAG10_00042	K00380
MAG10_00043	K22447
MAG10_00047	K00812
MAG10_00048	K13276
MAG10_00055	K03775
MAG10_00057	K01969
MAG10_00058	K01692
MAG10_00059	K01961
MAG10_00060	K01968
MAG10_00062	K11754
MAG10_00064	K01875
MAG10_00066	K04043
MAG10_00067	K22447
MAG10_00069	K00060
MAG10_00071	K01937
MAG10_00078	K04483
MAG10_00079	K03531
MAG10_00081	K01870
MAG10_00083	K01916
MAG10_00086	K08678
MAG10_00089	K03564
MAG10_00099	K07332
MAG10_00100	K07333
MAG10_00103	K10773
MAG10_00105	K02347
MAG10_00109	K15987
MAG10_00118	K15524
MAG10_00120	K00009
MAG10_00123	K01684
MAG10_00125	K19302
MAG10_00136	K13421
MAG10_00137	K00083
MAG10_00138	K01281
MAG10_00141	K01101
MAG10_00142	K21401
MAG10_00145	K01758
MAG10_00147	K00586
MAG10_00152	K01951
MAG10_00153	K10756
MAG10_00156	K00234
MAG10_00157	K02503
MAG10_00158	K13507
MAG10_00164	K03166
MAG10_00165	K03167
MAG10_00166	K01703
MAG10_00167	K03124
MAG10_00171	K04659
MAG10_00172	K00963
MAG10_00175	K02437
MAG10_00178	K06928
MAG10_00189	K07304
MAG10_00198	K01915
MAG10_00199	K11752
MAG10_00203	K07446
MAG10_00205	K04799
MAG10_00207	K14715
MAG10_00213	K13767
MAG10_00214	K13953
MAG10_00216	K01661
MAG10_00217	K00059
MAG10_00218	K01667
MAG10_00220	K00370
MAG10_00221	K00371
MAG10_00224	K02575
MAG10_00227	K02575
MAG10_00228	K03753
MAG10_00230	K00390
MAG10_00231	K00957
MAG10_00232	K00956
MAG10_00233	K00525
MAG10_00234	K03737
MAG10_00235	K03737
MAG10_00239	K14326
MAG10_00243	K01887
MAG10_00244	K03265
MAG10_00247	K09903
MAG10_00248	K06943
MAG10_00251	K23167
MAG10_00252	K03238
MAG10_00253	K00762
MAG10_00254	K04566
MAG10_00257	K01955
MAG10_00258	K01956
MAG10_00259	K07254
MAG10_00262	K00796
MAG10_00265	K03744
MAG10_00269	K00626
MAG10_00271	K03531
MAG10_00278	K13798
MAG10_00279	K03041
MAG10_00280	K03018
MAG10_00283	K04659
MAG10_00284	K06863
MAG10_00292	K03709
MAG10_00302	K22907
MAG10_00305	K00926
MAG10_00306	K01893
MAG10_00308	K01807
MAG10_00313	K01784
MAG10_00315	K21304
MAG10_00316	K07003
