MAG164_00001	K02939
MAG164_00002	K02963
MAG164_00004	K02990
MAG164_00005	K03702
MAG164_00007	K00812
MAG164_00010	K03218
MAG164_00011	K12573
MAG164_00013	K03310
MAG164_00015	K03695
MAG164_00020	K02014
MAG164_00022	K03305
MAG164_00026	K02115
MAG164_00027	K02111
MAG164_00028	K02113
MAG164_00029	K02109
MAG164_00030	K02110
MAG164_00031	K02108
MAG164_00033	K03497
MAG164_00034	K03496
MAG164_00035	K03501
MAG164_00036	K03495
MAG164_00037	K03650
MAG164_00038	K03217
MAG164_00040	K02914
MAG164_00041	K03703
MAG164_00042	K00995
MAG164_00047	K07462
MAG164_00048	K01803
MAG164_00049	K03075
MAG164_00051	K00330
MAG164_00052	K00331
MAG164_00053	K00265
MAG164_00054	K01845
MAG164_00059	K17893
MAG164_00060	K03673
MAG164_00062	K01887
MAG164_00063	K04066
MAG164_00064	K00941
MAG164_00065	K00788
MAG164_00066	K03798
MAG164_00067	K02427
MAG164_00070	K03624
MAG164_00071	K01955
MAG164_00072	K00616
MAG164_00073	K08093
MAG164_00074	K08094
MAG164_00075	K01665
MAG164_00081	K03111
MAG164_00084	K01876
MAG164_00089	K01159
MAG164_00090	K03550
MAG164_00091	K03551
MAG164_00092	K07107
MAG164_00093	K03562
MAG164_00094	K03559
MAG164_00096	K04763
MAG164_00097	K01778
MAG164_00098	K00789
MAG164_00099	K01251
MAG164_00100	K00297
MAG164_00102	K04084
MAG164_00104	K00523
MAG164_00105	K01719
MAG164_00106	K01749
MAG164_00107	K01755
MAG164_00111	K02428
MAG164_00112	K00989
MAG164_00114	K00942
MAG164_00115	K03060
MAG164_00116	K01139
MAG164_00117	K09022
MAG164_00118	K03655
MAG164_00120	K03179
MAG164_00121	K02871
MAG164_00122	K02996
MAG164_00123	K00145
MAG164_00124	K02860
MAG164_00125	K00554
MAG164_00126	K02884
MAG164_00127	K04763
MAG164_00129	K08591
MAG164_00130	K01409
MAG164_00131	K02970
MAG164_00132	K09117
MAG164_00133	K02316
MAG164_00134	K03086
MAG164_00136	K00059
MAG164_00138	K03530
MAG164_00139	K03503
MAG164_00140	K03502
MAG164_00143	K09667
MAG164_00145	K01259
MAG164_00149	K03553
MAG164_00150	K03743
MAG164_00151	K01095
MAG164_00152	K00946
MAG164_00153	K03831
MAG164_00156	K03592
MAG164_00157	K04754
MAG164_00158	K01669
MAG164_00159	K00783
MAG164_00161	K02039
MAG164_00162	K01807
MAG164_00163	K00311
MAG164_00164	K00528
MAG164_00165	K03616
MAG164_00166	K10773
MAG164_00168	K03070
MAG164_00169	K03070
MAG164_00172	K00674
MAG164_00173	K23010
MAG164_00174	K03549
MAG164_00175	K03601
MAG164_00177	K12339
MAG164_00178	K07501
MAG164_00181	K12369
MAG164_00182	K15582
MAG164_00183	K01207
MAG164_00184	K19416
MAG164_00185	K11991
MAG164_00187	K09580
MAG164_00188	K06194
MAG164_00189	K03787
MAG164_00191	K03809
MAG164_00192	K01756
MAG164_00197	K04079
MAG164_00198	K22132
MAG164_00199	K00997
MAG164_00200	K03474
MAG164_00201	K03584
MAG164_00202	K03595
MAG164_00203	K03685
MAG164_00204	K03100
MAG164_00209	K01491
MAG164_00210	K06204
MAG164_00211	K00962
MAG164_00212	K02956
MAG164_00213	K03177
MAG164_00215	K02519
MAG164_00216	K02600
MAG164_00217	K09748
