MAG11_00001	K04774
MAG11_00002	K07495
MAG11_00006	K18691
MAG11_00007	K01207
MAG11_00008	K00760
MAG11_00010	K00382
MAG11_00011	K00658
MAG11_00012	K00164
MAG11_00014	K02065
MAG11_00015	K07301
MAG11_00016	K02111
MAG11_00017	K02115
MAG11_00018	K02112
MAG11_00019	K02114
MAG11_00020	K09811
MAG11_00021	K03666
MAG11_00022	K03665
MAG11_00023	K01649
MAG11_00024	K17103
MAG11_00027	K20534
MAG11_00030	K03617
MAG11_00035	K00772
MAG11_00037	K00942
MAG11_00038	K11326
MAG11_00039	K13896
MAG11_00040	K02034
MAG11_00041	K03704
MAG11_00042	K13208
MAG11_00043	K01092
MAG11_00044	K00134
MAG11_00045	K00858
MAG11_00046	K03631
MAG11_00047	K02492
MAG11_00048	K02835
MAG11_00049	K02493
MAG11_00050	K21140
MAG11_00052	K07320
MAG11_00053	K01736
MAG11_00060	K03704
MAG11_00061	K03797
MAG11_00062	K22719
MAG11_00063	K15633
MAG11_00064	K01662
MAG11_00065	K00821
MAG11_00066	K07003
MAG11_00068	K01658
MAG11_00069	K01657
MAG11_00072	K01807
MAG11_00073	K03564
MAG11_00075	K09806
MAG11_00079	K01845
MAG11_00080	K00951
MAG11_00083	K03617
MAG11_00084	K03616
MAG11_00088	K00383
MAG11_00090	K01902
MAG11_00093	K00970
MAG11_00094	K00950
MAG11_00095	K00606
MAG11_00096	K00145
MAG11_00101	K02108
MAG11_00102	K02110
MAG11_00103	K02109
MAG11_00104	K02113
MAG11_00108	K04764
MAG11_00109	K01890
MAG11_00110	K01889
MAG11_00111	K09011
MAG11_00112	K02014
MAG11_00113	K09823
MAG11_00114	K00052
MAG11_00115	K00012
MAG11_00117	K01626
MAG11_00118	K03149
MAG11_00119	K03439
MAG11_00123	K01494
MAG11_00134	K04079
MAG11_00136	K05916
MAG11_00142	K01937
MAG11_00143	K01627
MAG11_00145	K03763
MAG11_00150	K01990
MAG11_00157	K15034
MAG11_00163	K09919
MAG11_00166	K00764
MAG11_00168	K01892
MAG11_00170	K02558
MAG11_00171	K02040
MAG11_00176	K01255
MAG11_00177	K02066
MAG11_00180	K01867
MAG11_00181	K00346
MAG11_00182	K03657
MAG11_00191	K01945
MAG11_00192	K00602
MAG11_00193	K03557
MAG11_00194	K05540
MAG11_00197	K17686
MAG11_00198	K01448
MAG11_00200	K01835
MAG11_00201	K10764
MAG11_00202	K03743
MAG11_00204	K01817
MAG11_00205	K01696
MAG11_00206	K01695
MAG11_00207	K01963
MAG11_00208	K11754
MAG11_00210	K00163
MAG11_00211	K00627
MAG11_00212	K00382
MAG11_00213	K08305
MAG11_00214	K03642
MAG11_00216	K03635
MAG11_00217	K01507
MAG11_00220	K00138
MAG11_00221	K03503
MAG11_00224	K01724
MAG11_00229	K03810
MAG11_00231	K07043
MAG11_00232	K06902
MAG11_00233	K07735
MAG11_00234	K07447
MAG11_00235	K02825
MAG11_00236	K00609
MAG11_00237	K01465
MAG11_00238	K03531
MAG11_00239	K03590
MAG11_00240	K03589
MAG11_00241	K01921
MAG11_00242	K00075
MAG11_00243	K01924
MAG11_00244	K03545
MAG11_00245	K01358
MAG11_00246	K03544
MAG11_00247	K01338
MAG11_00248	K03530
MAG11_00253	K00674
MAG11_00257	K00382
MAG11_00258	K03088
MAG11_00260	K00059
MAG11_00262	K03118
MAG11_00266	K03272
MAG11_00267	K03271
MAG11_00268	K01754
MAG11_00270	K06067
MAG11_00271	K19421
MAG11_00272	K01710
MAG11_00273	K17725
MAG11_00276	K06861
MAG11_00279	K03270
MAG11_00280	K06041
MAG11_00281	K00202
MAG11_00282	K14652
MAG11_00283	K06168
MAG11_00284	K06217
MAG11_00285	K13628
MAG11_00289	K07126
MAG11_00291	K00783
MAG11_00292	K06287
MAG11_00293	K08301
MAG11_00294	K03469
MAG11_00297	K01356
MAG11_00299	K02204
MAG11_00301	K04719
MAG11_00302	K02233
MAG11_00304	K01939
MAG11_00311	K02621
MAG11_00313	K00325
MAG11_00314	K00324
MAG11_00315	K00573
MAG11_00316	K03787
MAG11_00318	K06153
MAG11_00320	K07146
MAG11_00321	K00436
MAG11_00322	K14126
MAG11_00324	K00078
MAG11_00326	K02968
MAG11_00327	K03980
MAG11_00328	K07305
MAG11_00329	K03106
MAG11_00330	K02959
MAG11_00331	K02860
MAG11_00332	K00554
MAG11_00333	K02884
MAG11_00335	K03580
MAG11_00337	K04564
MAG11_00338	K00940
MAG11_00339	K03074
MAG11_00340	K03072
MAG11_00341	K03210
MAG11_00342	K00773
MAG11_00344	K02231
MAG11_00345	K00768
MAG11_00348	K01810
MAG11_00349	K02314
MAG11_00350	K21498
MAG11_00351	K02996
MAG11_00353	K05917
MAG11_00355	K22895
MAG11_00356	K06920
MAG11_00357	K03184
MAG11_00358	K01992
MAG11_00361	K01183
MAG11_00362	K03599
MAG11_00365	K00651
MAG11_00366	K06158
MAG11_00368	K04485
MAG11_00370	K02036
MAG11_00371	K02039
MAG11_00374	K03625
MAG11_00375	K00794
MAG11_00376	K14652
MAG11_00377	K00793
MAG11_00378	K11752
MAG11_00379	K00700
MAG11_00384	K09941
MAG11_00385	K04754
MAG11_00389	K00239
MAG11_00390	K00240
MAG11_00403	K05805
MAG11_00404	K01159
MAG11_00405	K03550
MAG11_00414	K01749
MAG11_00424	K00426
MAG11_00425	K00425
MAG11_00426	K16264
MAG11_00429	K04751
MAG11_00432	K03638
MAG11_00434	K02913
MAG11_00435	K02902
MAG11_00436	K01920
MAG11_00441	K01589
MAG11_00442	K03775
MAG11_00444	K03182
MAG11_00445	K01414
MAG11_00446	K02909
MAG11_00447	K01647
MAG11_00448	K05366
MAG11_00452	K05366
MAG11_00453	K11529
MAG11_00455	K00024
MAG11_00457	K01647
MAG11_00463	K08309
MAG11_00464	K03555
MAG11_00465	K01772
MAG11_00466	K01495
MAG11_00467	K05539
MAG11_00469	K00786
MAG11_00473	K02069
MAG11_00475	K11065
MAG11_00476	K03977
MAG11_00477	K17713
MAG11_00480	K03496
MAG11_00483	K03639
MAG11_00484	K02338
MAG11_00485	K03629
MAG11_00486	K03885
MAG11_00490	K06886
MAG11_00491	K16137
MAG11_00494	K03673
MAG11_00498	K03924
MAG11_00499	K00845
MAG11_00502	K01886
MAG11_00507	K01081
MAG11_00510	K00626
MAG11_00516	K00053
MAG11_00517	K01653
MAG11_00518	K01652
MAG11_00519	K05396
MAG11_00525	K01885
MAG11_00527	K03640
MAG11_00529	K01875
MAG11_00533	K01972
MAG11_00535	K03466
MAG11_00537	K08973
MAG11_00540	K00368
MAG11_00542	K02004
MAG11_00552	K08884
MAG11_00554	K03546
MAG11_00557	K01512
MAG11_00558	K12297
MAG11_00562	K15738
MAG11_00564	K11179
MAG11_00566	K11741
MAG11_00569	K07460
MAG11_00570	K12961
MAG11_00574	K03529
MAG11_00576	K03321
MAG11_00579	K00243
MAG11_00580	K03555
MAG11_00581	K07003
MAG11_00583	K03116
MAG11_00584	K01523
MAG11_00585	K11755
MAG11_00586	K02500
MAG11_00587	K01814
MAG11_00588	K02501
MAG11_00589	K01693
MAG11_00590	K06207
MAG11_00591	K21029
MAG11_00592	K04078
MAG11_00593	K04077
MAG11_00595	K02600
MAG11_00596	K02519
MAG11_00597	K02834
MAG11_00598	K03177
MAG11_00599	K05592
MAG11_00600	K00982
MAG11_00605	K02454
MAG11_00606	K02653
MAG11_00607	K02456
MAG11_00611	K03046
MAG11_00612	K02950
MAG11_00613	K02992
MAG11_00615	K08307
MAG11_00618	K06024
MAG11_00619	K05896
MAG11_00622	K03325
MAG11_00623	K03741
MAG11_00625	K03892
MAG11_00626	K07755
MAG11_00627	K06888
MAG11_00629	K03296
MAG11_00631	K02523
MAG11_00632	K02888
MAG11_00633	K02899
MAG11_00634	K02261
MAG11_00635	K02274
MAG11_00639	K02193
MAG11_00645	K09015
MAG11_00646	K09013
MAG11_00647	K09014
MAG11_00648	K02939
MAG11_00649	K02527
MAG11_00652	K04075
MAG11_00653	K01962
MAG11_00654	K07478
MAG11_00660	K03656
MAG11_00662	K03496
MAG11_00669	K01469
MAG11_00672	K05939
MAG11_00675	K03733
MAG11_00679	K06942
MAG11_00687	K12943
MAG11_00688	K03086
MAG11_00691	K19236
MAG11_00692	K03554
MAG11_00694	K11175
MAG11_00697	K11102
MAG11_00698	K09733
MAG11_00703	K00990
MAG11_00705	K03218
MAG11_00706	K12573
MAG11_00707	K03676
MAG11_00710	K01256
MAG11_00717	K00762
MAG11_00719	K00963
MAG11_00720	K00956
MAG11_00722	K01928
MAG11_00724	K07040
MAG11_00725	K02911
MAG11_00726	K03621
MAG11_00727	K00648
MAG11_00728	K00645
MAG11_00729	K00059
MAG11_00730	K02078
MAG11_00731	K09458
MAG11_00732	K02014
MAG11_00733	K07397
MAG11_00735	K07390
MAG11_00736	K00821
MAG11_00737	K11654
MAG11_00738	K01682
MAG11_00739	K16066
MAG11_00740	K03716
MAG11_00741	K03583
MAG11_00743	K07147
MAG11_00744	K17247
MAG11_00745	K01878
MAG11_00746	K01879
MAG11_00747	K03273
MAG11_00748	K00655
MAG11_00752	K00428
MAG11_00753	K05595
MAG11_00757	K02434
MAG11_00760	K00901
MAG11_00761	K02437
MAG11_00764	K03217
MAG11_00765	K03650
MAG11_00767	K01465
MAG11_00769	K01876
MAG11_00771	K02262
MAG11_00777	K03153
MAG11_00778	K00254
MAG11_00779	K04762
MAG11_00782	K10716
MAG11_00783	K03269
MAG11_00789	K07714
MAG11_00792	K00912
MAG11_00794	K03179
MAG11_00800	K00767
MAG11_00806	K06147
MAG11_00807	K03640
MAG11_00809	K10026
MAG11_00810	K00128
MAG11_00819	K03496
MAG11_00821	K20509
MAG11_00822	K07497
MAG11_00823	K11927
MAG11_00825	K04744
MAG11_00826	K01515
MAG11_00828	K00860
MAG11_00831	K01783
MAG11_00832	K03981
MAG11_00833	K11749
MAG11_00834	K00099
MAG11_00835	K00981
MAG11_00836	K00806
MAG11_00837	K02838
MAG11_00838	K09903
MAG11_00839	K02357
MAG11_00840	K02967
MAG11_00841	K01265
MAG11_00842	K00831
MAG11_00843	K02469
MAG11_00844	K00278
MAG11_00849	K03424
MAG11_00850	K03630
MAG11_00851	K01923
MAG11_00853	K03386
MAG11_00856	K03575
MAG11_00858	K00411
MAG11_00859	K00817
MAG11_00861	K00013
MAG11_00862	K00016
MAG11_00864	K03147
MAG11_00867	K09001
MAG11_00868	K15724
MAG11_00879	K05808
MAG11_00880	K06958
MAG11_00881	K06213
MAG11_00885	K01420
MAG11_00891	K17623
MAG11_00896	K07107
MAG11_00897	K03562
MAG11_00898	K03560
MAG11_00899	K00962
MAG11_00901	K03703
MAG11_00902	K00995
MAG11_00906	K03496
MAG11_00915	K09691
MAG11_00916	K01990
MAG11_00919	K03321
MAG11_00921	K22552
MAG11_00923	K03832
MAG11_00926	K03561
MAG11_00929	K02065
MAG11_00931	K01069
MAG11_00932	K04771
MAG11_00933	K03992
MAG11_00937	K04763
MAG11_00938	K00567
MAG11_00939	K23753
MAG11_00942	K07090
MAG11_00943	K05524
MAG11_00948	K07644
MAG11_00950	K07715
MAG11_00955	K14713
MAG11_00956	K00820
MAG11_00966	K18707
MAG11_00968	K01673
MAG11_00969	K07715
MAG11_00971	K03688
MAG11_00973	K05807
MAG11_00976	K01916
MAG11_00977	K04758
MAG11_00978	K00684
MAG11_00979	K00685
MAG11_00984	K03101
MAG11_00988	K00548
MAG11_00990	K07482
MAG11_00991	K11472
MAG11_00992	K11473
MAG11_00998	K01673
MAG11_01000	K02670
MAG11_01005	K01756
MAG11_01006	K03705
MAG11_01007	K03687
MAG11_01008	K04043
MAG11_01009	K03686
MAG11_01010	K00215
MAG11_01015	K07115
MAG11_01017	K05921
MAG11_01018	K09858
MAG11_01019	K02935
MAG11_01020	K02864
MAG11_01021	K02863
MAG11_01024	K09760
MAG11_01026	K00259
MAG11_01028	K01599
MAG11_01029	K01735
MAG11_01030	K00891
MAG11_01031	K02666
MAG11_01032	K03798
MAG11_01033	K03431
MAG11_01034	K01803
MAG11_01037	K14540
MAG11_01038	K05907
MAG11_01039	K01919
MAG11_01043	K11745
MAG11_01044	K01854
MAG11_01047	K03769
MAG11_01049	K07491
MAG11_01054	K11391
MAG11_01056	K03606
MAG11_01057	K02313
MAG11_01062	K05601
MAG11_01064	K01525
MAG11_01065	K03734
MAG11_01066	K00351
MAG11_01067	K00350
MAG11_01068	K00349
MAG11_01069	K00348
MAG11_01070	K00347
MAG11_01071	K01703
MAG11_01073	K02049
MAG11_01075	K00992
MAG11_01076	K07102
MAG11_01077	K01408
MAG11_01080	K02963
MAG11_01081	K02990
MAG11_01083	K02553
MAG11_01084	K03527
MAG11_01088	K00031
MAG11_01093	K00335
MAG11_01096	K03695
MAG11_01097	K07657
MAG11_01105	K01259
MAG11_01106	K19221
MAG11_01110	K01673
MAG11_01111	K15371
MAG11_01112	K03644
MAG11_01117	K03526
MAG11_01123	K00563
MAG11_01125	K01933
MAG11_01128	K13670
MAG11_01132	K01070
MAG11_01133	K00121
MAG11_01140	K07154
MAG11_01143	K01056
MAG11_01144	K02897
MAG11_01145	K00948
MAG11_01147	K00919
MAG11_01148	K01665
MAG11_01149	K07072
MAG11_01154	K05966
MAG11_01155	K15740
MAG11_01156	K03595
