MAG174_00003	K01872
MAG174_00005	K02687
MAG174_00006	K00566
MAG174_00011	K01956
MAG174_00012	K04754
MAG174_00013	K07139
MAG174_00014	K08303
MAG174_00019	K21636
MAG174_00021	K04069
MAG174_00022	K02357
MAG174_00023	K02967
MAG174_00024	K01783
MAG174_00025	K15633
MAG174_00026	K06942
MAG174_00027	K01056
MAG174_00028	K02897
MAG174_00029	K03688
MAG174_00031	K03183
MAG174_00032	K01647
MAG174_00033	K15724
MAG174_00034	K00145
MAG174_00035	K01961
MAG174_00036	K02160
MAG174_00037	K03786
MAG174_00038	K04084
MAG174_00042	K01803
MAG174_00044	K02313
MAG174_00045	K02338
MAG174_00046	K03629
MAG174_00047	K02470
MAG174_00048	K00855
MAG174_00049	K07240
MAG174_00050	K01869
MAG174_00051	K17828
MAG174_00052	K01935
MAG174_00053	K03600
MAG174_00054	K03599
MAG174_00055	K00413
MAG174_00056	K00412
MAG174_00057	K00411
MAG174_00059	K03070
MAG174_00060	K09001
MAG174_00061	K01465
MAG174_00062	K11753
MAG174_00066	K01885
MAG174_00067	K00990
MAG174_00068	K03671
MAG174_00069	K03628
MAG174_00071	K09457
MAG174_00072	K00970
MAG174_00075	K13789
MAG174_00076	K00648
MAG174_00077	K03621
MAG174_00078	K02911
MAG174_00080	K03218
MAG174_00082	K04744
MAG174_00083	K04088
MAG174_00084	K04087
MAG174_00085	K02502
MAG174_00086	K01939
MAG174_00087	K12573
MAG174_00088	K03313
MAG174_00089	K01687
MAG174_00091	K07126
MAG174_00093	K01591
MAG174_00094	K07126
MAG174_00099	K01736
MAG174_00100	K03321
MAG174_00102	K10026
MAG174_00103	K03702
MAG174_00104	K00812
MAG174_00106	K03569
MAG174_00107	K03530
MAG174_00114	K07126
MAG174_00117	K06181
MAG174_00119	K03664
MAG174_00120	K03530
MAG174_00121	K00940
MAG174_00122	K06941
MAG174_00124	K03526
MAG174_00126	K01662
MAG174_00127	K00765
MAG174_00128	K00013
MAG174_00133	K03106
MAG174_00134	K00265
MAG174_00136	K00287
MAG174_00138	K03723
MAG174_00141	K22026
MAG174_00142	K03527
MAG174_00143	K03774
MAG174_00144	K01963
MAG174_00145	K01695
MAG174_00151	K06997
MAG174_00152	K02823
MAG174_00153	K00930
MAG174_00157	K14588
MAG174_00162	K02428
MAG174_00163	K01807
MAG174_00164	K01423
MAG174_00169	K01845
MAG174_00170	K02341
MAG174_00171	K00943
MAG174_00172	K07082
MAG174_00177	K05801
MAG174_00178	K11927
MAG174_00182	K03306
MAG174_00189	K01962
MAG174_00190	K04075
MAG174_00191	K07042
MAG174_00192	K09903
MAG174_00193	K04773
MAG174_00194	K02193
MAG174_00195	K02194
MAG174_00196	K00789
MAG174_00197	K08973
MAG174_00199	K12339
MAG174_00200	K01733
MAG174_00201	K00003
MAG174_00202	K08311
MAG174_00203	K19416
MAG174_00204	K01925
MAG174_00205	K00791
MAG174_00206	K00523
MAG174_00207	K05527
MAG174_00209	K01749
MAG174_00211	K01755
MAG174_00213	K02495
MAG174_00216	K04561
MAG174_00222	K00368
MAG174_00224	K07152
MAG174_00228	K00604
MAG174_00229	K13866
MAG174_00230	K03216
MAG174_00231	K03695
MAG174_00232	K03613
MAG174_00234	K02493
MAG174_00236	K01676
MAG174_00237	K03569
MAG174_00238	K03570
MAG174_00240	K05515
MAG174_00242	K00773
MAG174_00243	K06147
MAG174_00245	K03553
MAG174_00246	K11752
MAG174_00247	K13038
MAG174_00248	K02238
MAG174_00249	K02337
MAG174_00253	K17227
MAG174_00254	K17226
MAG174_00256	K01657
MAG174_00257	K03046
MAG174_00258	K03043
MAG174_00259	K02935
MAG174_00260	K02864
MAG174_00261	K02863
MAG174_00262	K02867
MAG174_00263	K02601
MAG174_00266	K02358
MAG174_00267	K16052
MAG174_00268	K06194
MAG174_00269	K19302
MAG174_00270	K01878
MAG174_00275	K00569
MAG174_00284	K02572
MAG174_00285	K02568
MAG174_00286	K02567
MAG174_00287	K02574
MAG174_00288	K02573
MAG174_00294	K03648
MAG174_00295	K10563
MAG174_00298	K05810
MAG174_00299	K06180
MAG174_00304	K00969
MAG174_00305	K09710
MAG174_00306	K00783
MAG174_00307	K01890
MAG174_00308	K04764
MAG174_00313	K07304
MAG174_00314	K21029
MAG174_00315	K00060
MAG174_00316	K00639
MAG174_00322	K02224
MAG174_00326	K01448
MAG174_00327	K06925
MAG174_00328	K07301
MAG174_00332	K00297
MAG174_00333	K02518
MAG174_00336	K01960
MAG174_00337	K20509
MAG174_00338	K01579
MAG174_00339	K09810
MAG174_00340	K09808
MAG174_00342	K00912
MAG174_00344	K00979
MAG174_00345	K01491
MAG174_00349	K01589
MAG174_00350	K01588
MAG174_00354	K02170
MAG174_00355	K00652
MAG174_00357	K03149
MAG174_00362	K03498
MAG174_00363	K03499
MAG174_00366	K03684
MAG174_00367	K01507
MAG174_00368	K08316
MAG174_00369	K00954
MAG174_00370	K04043
MAG174_00371	K03686
MAG174_00377	K00569
MAG174_00385	K02034
MAG174_00386	K02033
MAG174_00390	K00548
MAG174_00394	K03625
MAG174_00395	K00794
MAG174_00396	K14652
MAG174_00397	K00793
MAG174_00400	K03588
MAG174_00401	K02563
MAG174_00402	K01012
MAG174_00403	K01915
MAG174_00405	K01652
MAG174_00410	K03596
MAG174_00411	K03564
MAG174_00412	K00568
MAG174_00414	K00997
MAG174_00415	K03474
MAG174_00416	K03584
MAG174_00417	K03595
MAG174_00418	K03685
MAG174_00421	K06193
MAG174_00422	K00560
MAG174_00426	K03797
MAG174_00427	K03496
MAG174_00428	K03497
MAG174_00429	K03100
MAG174_00430	K11179
MAG174_00431	K00800
MAG174_00432	K04517
MAG174_00433	K00817
MAG174_00434	K14170
MAG174_00435	K00058
MAG174_00436	K00831
MAG174_00439	K19221
MAG174_00440	K04485
MAG174_00441	K07738
MAG174_00442	K00600
MAG174_00443	K03152
MAG174_00448	K00370
MAG174_00449	K02575
MAG174_00450	K02575
MAG174_00451	K03831
MAG174_00454	K14572
MAG174_00455	K01601
MAG174_00456	K21703
MAG174_00460	K01433
MAG174_00461	K00620
MAG174_00464	K02011
MAG174_00465	K02012
MAG174_00467	K00615
MAG174_00468	K00134
MAG174_00470	K00927
MAG174_00471	K00873
MAG174_00472	K01624
MAG174_00473	K03495
MAG174_00474	K03501
