MAG223_00005	K02276
MAG223_00007	K02274
MAG223_00008	K02275
MAG223_00011	K00548
MAG223_00019	K23138
MAG223_00020	K09018
MAG223_00022	K06446
MAG223_00026	K09020
MAG223_00029	K11529
MAG223_00034	K03671
MAG223_00036	K09791
MAG223_00037	K08218
MAG223_00044	K10773
MAG223_00045	K00215
MAG223_00046	K03686
MAG223_00047	K04043
MAG223_00050	K03687
MAG223_00051	K03705
MAG223_00052	K00989
MAG223_00053	K02428
MAG223_00056	K07056
MAG223_00059	K01920
MAG223_00061	K01768
MAG223_00063	K07391
MAG223_00064	K02417
MAG223_00065	K02503
MAG223_00066	K11755
MAG223_00067	K02500
MAG223_00068	K01814
MAG223_00069	K02501
MAG223_00071	K01693
MAG223_00072	K01419
MAG223_00073	K03667
MAG223_00076	K00782
MAG223_00077	K18929
MAG223_00078	K18928
MAG223_00079	K08304
MAG223_00082	K03071
MAG223_00083	K02342
MAG223_00084	K00859
MAG223_00085	K00014
MAG223_00086	K06287
MAG223_00087	K09773
MAG223_00088	K01599
MAG223_00089	K01772
MAG223_00090	K08973
MAG223_00091	K03628
MAG223_00092	K00344
MAG223_00093	K00567
MAG223_00094	K06888
MAG223_00095	K03650
MAG223_00096	K03495
MAG223_00097	K03501
MAG223_00098	K03496
MAG223_00099	K03497
MAG223_00103	K01869
MAG223_00105	K09667
MAG223_00112	K00788
MAG223_00113	K06997
MAG223_00116	K02483
MAG223_00117	K01142
MAG223_00120	K03466
MAG223_00121	K15634
MAG223_00122	K15634
MAG223_00123	K14267
MAG223_00124	K04751
MAG223_00125	K03320
MAG223_00126	K03185
MAG223_00128	K00259
MAG223_00129	K03321
MAG223_00130	K23518
MAG223_00131	K03555
MAG223_00132	K00990
MAG223_00133	K03980
MAG223_00134	K01867
MAG223_00135	K03796
MAG223_00137	K08641
MAG223_00138	K14742
MAG223_00141	K03711
MAG223_00142	K06168
MAG223_00143	K06217
MAG223_00144	K07042
MAG223_00146	K03820
MAG223_00148	K00789
MAG223_00150	K01251
MAG223_00153	K07677
MAG223_00154	K06925
MAG223_00156	K00992
MAG223_00157	K16899
MAG223_00158	K16898
MAG223_00159	K03671
MAG223_00161	K11754
MAG223_00162	K01695
MAG223_00163	K01696
MAG223_00164	K01817
MAG223_00165	K01591
MAG223_00167	K05788
MAG223_00168	K04773
MAG223_00169	K02945
MAG223_00170	K00945
MAG223_00171	K00800
MAG223_00174	K03773
MAG223_00179	K01997
MAG223_00181	K01995
MAG223_00182	K01996
MAG223_00183	K21802
MAG223_00191	K00591
MAG223_00192	K00928
MAG223_00193	K08483
MAG223_00195	K01892
MAG223_00196	K02492
MAG223_00197	K02835
MAG223_00198	K02493
MAG223_00201	K07636
MAG223_00202	K02040
MAG223_00203	K02037
MAG223_00204	K02038
MAG223_00205	K02036
MAG223_00206	K07657
MAG223_00209	K00059
MAG223_00210	K03182
MAG223_00211	K09022
MAG223_00213	K03520
MAG223_00215	K00020
MAG223_00217	K00860
MAG223_00219	K01703
MAG223_00220	K01704
MAG223_00222	K07659
MAG223_00223	K07638
MAG223_00224	K18703
MAG223_00227	K13479
MAG223_00228	K03518
MAG223_00229	K03520
MAG223_00232	K01714
MAG223_00240	K01465
MAG223_00241	K19745
MAG223_00243	K07126
MAG223_00244	K06147
MAG223_00246	K09578
MAG223_00249	K01951
MAG223_00251	K03500
MAG223_00252	K00088
MAG223_00253	K02427
MAG223_00254	K01524
MAG223_00255	K03406
MAG223_00259	K11407
MAG223_00260	K03392
MAG223_00261	K03119
MAG223_00262	K12368
MAG223_00263	K02035
MAG223_00264	K07516
MAG223_00266	K07126
MAG223_00274	K13600
MAG223_00275	K22895
MAG223_00276	K00248
MAG223_00277	K00059
MAG223_00294	K01255
MAG223_00296	K03953
MAG223_00298	K03684
MAG223_00299	K06041
