Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
MAG1	root 	5656	56	24	15	0	41	0	0	0	41.15	41.15	0.00
MAG10	Euryarchaeota 	148	188	125	25	162	1	0	0	0	82.13	0.80	0.00
MAG100	Bacteria 	5449	104	58	76	28	0	0	0	0	44.83	0.00	0.00
MAG101	Bacteria 	5449	104	58	37	40	18	9	0	0	82.62	43.73	93.33
MAG102	root 	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
MAG103	Archaea 	207	145	103	127	8	10	0	0	0	4.62	0.75	0.00
MAG104	Archaea 	207	145	103	82	50	13	0	0	0	48.54	11.65	61.54
MAG105	Bacteria 	5449	104	58	94	2	8	0	0	0	15.52	12.07	100.00
MAG106	Archaea 	207	145	103	134	11	0	0	0	0	8.81	0.00	0.00
MAG107	Bacteria 	434	278	186	185	93	0	0	0	0	30.11	0.00	0.00
MAG108	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG109	Bacteria 	5449	104	58	83	14	6	1	0	0	24.14	10.34	100.00
MAG11	Gammaproteobacteria 	112	581	290	255	323	3	0	0	0	54.15	0.86	0.00
MAG110	Bacteria 	5449	102	56	69	33	0	0	0	0	45.45	0.00	0.00
MAG111	Rhodobacteraceae 	67	615	329	44	527	41	3	0	0	93.29	6.45	82.00
MAG112	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG113	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG114	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG115	Gammaproteobacteria 	356	451	270	58	329	52	10	2	0	89.20	23.02	60.64
MAG116	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG117	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG118	Bacteria 	5449	104	58	27	11	27	32	4	3	84.56	148.12	12.64
MAG119	Archaea 	207	145	103	133	7	5	0	0	0	3.76	0.37	0.00
MAG12	Bacteria 	5449	104	58	62	40	2	0	0	0	63.43	3.45	100.00
MAG120	Bacteria 	2993	147	91	37	67	40	3	0	0	79.12	46.15	100.00
MAG121	Bacteria 	2258	188	117	38	131	14	5	0	0	86.01	16.24	65.52
MAG122	Bacteria 	5449	104	58	68	33	2	1	0	0	55.17	6.90	100.00
MAG123	Euryarchaeota 	148	188	125	40	147	1	0	0	0	79.52	0.80	100.00
MAG124	Bacteria 	5449	99	53	37	48	9	5	0	0	51.42	7.92	54.17
MAG125	Bacteria 	2993	147	91	11	119	16	1	0	0	91.21	9.79	21.05
MAG126	Bacteria 	2993	147	91	8	97	32	10	0	0	92.31	49.45	100.00
MAG127	Bacteria 	2258	190	119	53	99	33	5	0	0	79.86	22.23	58.33
MAG128	Gammaproteobacteria 	356	451	270	77	371	3	0	0	0	90.80	0.59	66.67
MAG129	Actinomycetales 	580	286	171	71	214	1	0	0	0	83.19	0.58	100.00
MAG13	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG130	Alphaproteobacteria 	564	347	229	32	87	223	5	0	0	98.22	75.46	92.02
MAG131	Bacteria 	88	230	148	138	86	6	0	0	0	33.26	3.04	66.67
MAG132	Bacteria 	5449	104	58	83	21	0	0	0	0	29.31	0.00	0.00
MAG133	Bacteria 	174	149	89	27	121	1	0	0	0	74.79	1.12	100.00
MAG134	Proteobacteria 	1495	242	151	12	174	51	5	0	0	93.41	31.90	65.15
MAG135	Bacteria 	5449	103	57	91	9	3	0	0	0	4.23	0.48	0.00
MAG136	Proteobacteria 	1495	261	164	8	190	48	15	0	0	96.95	34.96	89.25
MAG137	Bacteria 	901	171	117	8	161	2	0	0	0	93.73	1.28	0.00
MAG138	Bacteria 	5449	104	58	92	12	0	0	0	0	10.97	0.00	0.00
MAG139	Bacteria 	5449	103	57	101	2	0	0	0	0	1.75	0.00	0.00
MAG14	Archaea 	207	149	107	129	13	7	0	0	0	6.31	0.50	0.00
MAG140	Rickettsiales 	83	324	211	178	118	23	4	1	0	50.65	12.13	85.37
MAG141	Gammaproteobacteria 	112	581	290	4	405	127	39	6	0	98.91	40.30	93.93
MAG142	Bacteria 	5449	99	53	75	11	7	5	1	0	39.62	33.96	17.86
MAG143	Bacteria 	5449	104	58	78	14	12	0	0	0	36.21	15.52	100.00
MAG144	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG145	Bacteria 	5449	103	57	91	12	0	0	0	0	19.30	0.00	0.00
MAG146	Archaea 	207	145	103	3	83	24	27	8	0	97.09	63.68	94.12
MAG147	Archaea 	207	145	103	111	17	10	2	5	0	26.05	25.57	97.83
MAG148	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG149	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG15	Bacteria 	5449	104	58	2	71	28	2	1	0	96.55	32.76	90.00
MAG150	root 	5656	56	24	2	5	42	4	0	3	91.67	99.42	63.10
MAG151	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG152	Bacteria 	2993	139	83	24	82	24	7	2	0	73.49	42.45	49.12
MAG153	Rhodobacteraceae 	56	582	313	220	280	80	2	0	0	67.79	16.02	87.21
MAG154	Archaea 	207	149	107	8	93	47	0	1	0	92.99	29.91	100.00
MAG155	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG156	Archaea 	207	149	107	144	5	0	0	0	0	0.36	0.00	0.00
MAG157	Archaea 	207	149	107	138	6	5	0	0	0	2.22	0.36	0.00
MAG158	Proteobacteria 	1495	242	151	64	151	20	7	0	0	75.66	18.57	78.05
MAG159	Bacteria 	2993	147	91	81	47	19	0	0	0	44.61	18.68	100.00
MAG16	Archaea 	207	145	103	136	9	0	0	0	0	7.77	0.00	0.00
MAG160	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG161	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG162	Gammaproteobacteria 	112	581	290	31	469	77	4	0	0	97.50	16.35	73.03
MAG163	Bacteria 	2993	147	91	23	97	25	2	0	0	91.13	23.83	74.19
MAG164	Betaproteobacteria 	323	376	229	108	250	13	5	0	0	70.94	6.72	57.14
MAG165	Bacteria 	2993	147	91	28	63	29	19	8	0	87.91	85.71	96.27
MAG166	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG167	Bacteria 	5449	104	58	5	14	67	12	6	0	93.10	82.85	21.58
MAG168	Gammaproteobacteria 	356	451	270	69	369	13	0	0	0	81.48	3.53	38.46
MAG169	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG17	root 	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
MAG170	Alphaproteobacteria 	564	349	230	8	310	29	2	0	0	98.07	11.28	77.14
MAG171	Bacteria 	5449	104	58	97	7	0	0	0	0	11.21	0.00	0.00
MAG172	Bacteria 	5449	103	57	64	37	2	0	0	0	55.44	3.51	50.00
MAG173	Rhodobacteraceae 	84	568	330	16	469	80	2	0	1	96.87	16.17	62.38
MAG174	Proteobacteria 	1495	242	151	107	125	8	2	0	0	59.93	3.97	100.00
MAG175	Gammaproteobacteria 	356	451	270	128	280	26	15	2	0	66.15	14.35	68.67
MAG176	Bacteria 	5449	99	53	0	4	5	16	23	51	100.00	373.52	55.46
MAG177	Bacteria 	2921	152	93	83	67	2	0	0	0	42.19	1.61	0.00
MAG178	Archaea 	207	145	103	22	64	33	19	5	2	86.03	77.91	56.55
MAG179	Bacteria 	5449	104	58	82	19	3	0	0	0	23.42	3.45	66.67
MAG18	Bacteria 	5449	103	57	13	56	33	1	0	0	89.70	22.06	91.67
MAG180	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG181	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG182	Bacteria 	5449	104	58	9	11	66	18	0	0	85.34	95.69	98.33
MAG183	Archaea 	207	149	107	27	111	11	0	0	0	77.26	4.64	54.55
MAG184	Bacteria 	5449	104	58	97	7	0	0	0	0	9.48	0.00	0.00
MAG185	Gammaproteobacteria 	356	451	270	187	234	29	1	0	0	58.10	4.37	9.38
MAG186	Bacteria 	5449	104	58	5	83	16	0	0	0	96.24	5.90	37.50
MAG187	Bacteria 	5449	104	58	97	7	0	0	0	0	11.21	0.00	0.00
MAG188	Bacteria 	5449	104	58	93	11	0	0	0	0	17.24	0.00	0.00
MAG189	Bacteria 	5449	104	58	94	10	0	0	0	0	14.14	0.00	0.00
MAG19	Archaea 	207	149	107	134	15	0	0	0	0	13.08	0.00	0.00
MAG190	Archaea 	207	145	103	36	60	30	8	9	2	69.90	54.32	49.22
MAG191	Gammaproteobacteria 	356	451	270	194	232	24	1	0	0	50.90	5.67	29.63
MAG192	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG193	Deltaproteobacteria 	83	247	155	68	171	8	0	0	0	69.37	2.84	75.00
MAG194	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG195	Bacteria 	5449	104	58	46	43	15	0	0	0	68.97	6.58	0.00
MAG196	Bacteria 	924	161	108	30	130	1	0	0	0	78.69	0.93	0.00
MAG197	Archaea 	207	149	107	137	12	0	0	0	0	6.36	0.00	0.00
MAG198	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG199	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG2	root 	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
MAG20	Gammaproteobacteria 	263	498	228	143	345	10	0	0	0	76.57	1.74	100.00
MAG200	Archaea 	207	149	107	138	11	0	0	0	0	0.79	0.00	0.00
MAG201	Bacteria 	2993	147	91	52	95	0	0	0	0	53.85	0.00	0.00
MAG202	Archaea 	207	149	107	126	16	7	0	0	0	8.18	0.50	0.00
MAG203	Bacteria 	2258	190	119	79	97	13	1	0	0	43.42	1.63	0.00
MAG204	Bacteria 	5449	104	58	3	64	37	0	0	0	94.83	18.97	100.00
MAG205	Bacteria 	924	151	101	10	127	14	0	0	0	95.71	11.39	57.14
MAG206	Bacteria 	2993	147	91	28	114	5	0	0	0	87.91	3.85	100.00
MAG207	Bacteria 	5449	103	57	96	7	0	0	0	0	9.65	0.00	0.00
MAG208	algicola 	47	571	303	93	444	34	0	0	0	79.02	5.45	91.18
MAG209	Rhodobacteraceae 	84	568	330	264	300	4	0	0	0	54.25	0.86	75.00
MAG21	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG210	Bacteria 	5449	104	58	89	15	0	0	0	0	20.69	0.00	0.00
MAG211	Bacteria 	5449	104	58	80	9	4	8	3	0	36.21	42.24	100.00
MAG212	Bacteria 	2993	147	91	6	139	2	0	0	0	94.51	2.20	100.00
MAG213	Bacteria 	924	161	108	76	85	0	0	0	0	54.33	0.00	0.00
MAG214	Bacteria 	5449	104	58	94	10	0	0	0	0	17.24	0.00	0.00
MAG215	root 	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
MAG216	Bacteria 	924	163	110	87	76	0	0	0	0	56.71	0.00	0.00
MAG217	Bacteria 	138	338	246	194	136	8	0	0	0	36.18	2.44	87.50
MAG218	Bacteria 	88	230	148	7	190	30	3	0	0	95.72	17.00	84.62
MAG219	Bacteria 	5449	102	58	7	57	28	8	2	0	87.93	36.00	31.25
MAG22	Bacteria 	5449	104	58	98	6	0	0	0	0	10.34	0.00	0.00
MAG220	Rhodobacteraceae 	67	617	330	385	217	15	0	0	0	38.79	2.57	13.33
MAG221	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG222	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG223	Rhodospirillales 	63	336	201	26	286	21	2	1	0	95.85	9.37	66.67
MAG224	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG225	Bacteria 	5449	104	58	52	33	16	3	0	0	69.83	32.76	72.00
MAG226	Bacteria 	5449	103	58	80	23	0	0	0	0	27.76	0.00	0.00
MAG227	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG228	Bacteria 	2993	147	91	5	123	19	0	0	0	95.60	15.38	100.00
MAG229	Bacteria 	5449	104	58	100	3	1	0	0	0	2.19	1.72	100.00
MAG23	Bacteria 	5449	104	58	81	19	2	2	0	0	27.51	6.90	0.00
MAG230	Bacteria 	5449	104	58	65	37	2	0	0	0	57.76	3.45	100.00
MAG231	Archaea 	207	145	103	34	111	0	0	0	0	76.72	0.00	0.00
MAG232	Archaea 	207	149	107	89	59	1	0	0	0	40.25	0.93	0.00
MAG233	Bacteria 	434	278	186	93	139	44	2	0	0	69.35	20.99	98.00
MAG234	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG235	Proteobacteria 	1495	242	151	92	149	1	0	0	0	61.16	0.33	100.00
MAG236	Bacteria 	2993	147	91	3	134	9	1	0	0	97.74	10.99	75.00
MAG237	Rhodobacteraceae 	67	615	329	60	545	9	1	0	0	93.67	2.28	83.33
MAG238	algicola 	47	571	303	39	528	4	0	0	0	91.35	0.55	100.00
MAG239	Archaea 	207	149	107	132	11	6	0	0	0	3.91	0.43	0.00
MAG24	Bacteria 	434	278	186	51	225	2	0	0	0	79.09	0.63	0.00
MAG240	Rickettsiales 	83	324	211	252	61	9	2	0	0	20.05	4.98	93.33
MAG241	Bacteria 	5449	103	57	103	0	0	0	0	0	0.00	0.00	0.00
MAG242	Euryarchaeota 	148	188	125	22	165	1	0	0	0	84.00	0.80	100.00
MAG243	Bacteria 	2993	143	89	61	77	5	0	0	0	56.49	5.62	0.00
MAG244	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG245	Bacteria 	924	151	101	84	67	0	0	0	0	47.61	0.00	0.00
MAG246	Archaea 	207	145	103	14	121	10	0	0	0	87.86	8.74	90.00
MAG247	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG248	Alphaproteobacteria 	564	349	230	24	315	9	1	0	0	91.81	4.17	41.67
MAG249	Gammaproteobacteria 	1164	275	174	171	103	1	0	0	0	41.39	0.57	0.00
MAG25	Gammaproteobacteria 	356	451	270	432	17	1	1	0	0	1.15	0.62	0.00
MAG250	Bacteria 	924	151	101	24	127	0	0	0	0	77.39	0.00	0.00
MAG251	Archaea 	207	149	107	139	10	0	0	0	0	0.72	0.00	0.00
MAG252	Archaea 	207	149	107	129	13	7	0	0	0	6.31	0.50	0.00
MAG253	Bacteria 	434	278	186	19	251	8	0	0	0	91.67	3.76	87.50
MAG254	Bacteria 	5449	102	56	99	3	0	0	0	0	5.36	0.00	0.00
MAG255	Bacteria 	5449	104	58	91	13	0	0	0	0	20.69	0.00	0.00
MAG256	Archaea 	207	149	107	136	13	0	0	0	0	2.90	0.00	0.00
MAG257	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG258	Bacteria 	88	230	148	4	211	14	1	0	0	97.64	9.12	47.06
MAG259	Gammaproteobacteria 	263	498	228	51	407	40	0	0	0	90.45	6.72	87.50
MAG26	root 	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG260	Archaea 	207	149	107	38	111	0	0	0	0	76.01	0.00	0.00
MAG261	Gammaproteobacteria 	356	451	270	112	335	4	0	0	0	69.05	1.23	75.00
MAG262	Bacteria 	901	171	117	3	134	30	4	0	0	97.44	25.21	95.24
MAG263	Alphaproteobacteria 	564	349	230	257	89	3	0	0	0	20.94	1.30	33.33
