MAG129_00001	K00761
MAG129_00003	K00012
MAG129_00008	K01342
MAG129_00009	K00963
MAG129_00011	K03975
MAG129_00012	K11072
MAG129_00015	K07146
MAG129_00016	K07386
MAG129_00020	K01933
MAG129_00021	K00764
MAG129_00024	K01945
MAG129_00025	K01923
MAG129_00026	K03321
MAG129_00027	K00605
MAG129_00028	K02437
MAG129_00029	K00281
MAG129_00031	K01745
MAG129_00032	K01468
MAG129_00033	K01712
MAG129_00035	K01479
MAG129_00037	K23265
MAG129_00040	K07686
MAG129_00041	K03215
MAG129_00042	K06287
MAG129_00043	K11263
MAG129_00044	K23842
MAG129_00045	K03783
MAG129_00046	K01840
MAG129_00049	K02821
MAG129_00050	K01488
MAG129_00051	K00758
MAG129_00052	K01489
MAG129_00053	K23536
MAG129_00054	K23535
MAG129_00055	K23537
MAG129_00056	K07335
MAG129_00057	K00971
MAG129_00058	K00241
MAG129_00059	K00242
MAG129_00060	K00239
MAG129_00061	K00240
MAG129_00063	K01142
MAG129_00064	K01867
MAG129_00065	K11752
MAG129_00066	K00793
MAG129_00067	K14652
MAG129_00068	K00794
MAG129_00071	K18104
MAG129_00072	K01556
MAG129_00073	K00453
MAG129_00074	K01491
MAG129_00075	K00600
MAG129_00076	K01433
MAG129_00078	K00031
MAG129_00079	K06147
MAG129_00080	K11085
MAG129_00081	K00602
MAG129_00082	K11175
MAG129_00084	K01902
MAG129_00085	K01903
MAG129_00086	K03657
MAG129_00088	K01951
MAG129_00090	K08483
MAG129_00092	K00009
MAG129_00093	K02798
MAG129_00095	K02800
MAG129_00096	K03436
MAG129_00098	K00088
MAG129_00099	K00088
MAG129_00100	K11956
MAG129_00101	K01998
MAG129_00102	K01995
MAG129_00103	K11958
MAG129_00105	K05786
MAG129_00106	K04078
MAG129_00108	K01409
MAG129_00110	K06925
MAG129_00113	K11625
MAG129_00115	K00140
MAG129_00116	K03578
MAG129_00118	K07086
MAG129_00120	K05794
MAG129_00121	K01845
MAG129_00123	K09936
MAG129_00124	K02483
MAG129_00127	K01620
MAG129_00128	K00033
MAG129_00130	K07552
MAG129_00131	K16301
MAG129_00133	K06191
MAG129_00134	K03647
MAG129_00135	K00525
MAG129_00136	K00526
MAG129_00137	K07238
MAG129_00138	K02935
MAG129_00139	K02864
MAG129_00140	K05592
MAG129_00144	K01596
MAG129_00145	K03366
MAG129_00146	K00627
MAG129_00147	K00162
MAG129_00152	K19548
MAG129_00154	K03657
MAG129_00160	K07053
MAG129_00161	K01262
MAG129_00165	K03593
MAG129_00166	K00135
MAG129_00170	K01439
MAG129_00171	K00674
MAG129_00172	K00946
MAG129_00174	K01921
MAG129_00175	K00057
MAG129_00176	K01897
MAG129_00177	K00790
MAG129_00178	K01704
MAG129_00179	K01703
MAG129_00182	K07029
MAG129_00186	K01885
MAG129_00188	K00826
MAG129_00189	K00052
MAG129_00195	K00058
MAG129_00196	K00053
MAG129_00197	K01653
MAG129_00198	K01652
MAG129_00199	K01687
MAG129_00201	K10027
MAG129_00206	K14155
MAG129_00207	K06895
MAG129_00208	K03564
MAG129_00213	K03695
MAG129_00216	K01142
MAG129_00217	K00762
MAG129_00219	K02566
MAG129_00221	K01939
MAG129_00223	K10716
MAG129_00228	K03784
MAG129_00229	K01940
MAG129_00232	K10536
MAG129_00233	K12251
MAG129_00234	K01593
MAG129_00236	K00259
MAG129_00238	K03671
MAG129_00240	K07304
MAG129_00241	K03111
MAG129_00243	K10805
MAG129_00245	K06886
MAG129_00246	K22044
MAG129_00247	K01256
MAG129_00248	K03455
MAG129_00250	K01808
MAG129_00251	K05522
MAG129_00254	K03545
MAG129_00255	K01358
MAG129_00256	K01358
MAG129_00257	K03544
MAG129_00258	K05782
MAG129_00259	K01873
MAG129_00260	K01870
MAG129_00261	K11754
MAG129_00263	K00940
MAG129_00265	K08301
MAG129_00266	K02888
MAG129_00267	K02899
MAG129_00268	K03979
MAG129_00269	K00931
MAG129_00270	K00147
MAG129_00272	K00969
MAG129_00274	K09710
MAG129_00278	K02337
MAG129_00281	K01657
MAG129_00282	K01869
MAG129_00284	K02968
MAG129_00285	K03596
MAG129_00287	K03705
MAG129_00288	K03686
MAG129_00289	K09761
MAG129_00290	K02503
MAG129_00291	K06217
MAG129_00292	K07042
MAG129_00293	K03699
MAG129_00294	K03595
MAG129_00295	K01649
MAG129_00296	K03584
MAG129_00297	K00806
MAG129_00298	K01880
MAG129_00300	K01129
MAG129_00301	K02316
MAG129_00305	K01462
MAG129_00309	K00857
MAG129_00310	K02028
MAG129_00311	K09971
MAG129_00312	K09970
MAG129_00315	K09458
MAG129_00316	K02078
MAG129_00317	K00648
MAG129_00318	K00645
MAG129_00321	K01897
MAG129_00322	K03453
MAG129_00326	K01875
