locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG60_00001	CDS	996	ftsX		COG2177	Cell division protein FtsX
MAG60_00002	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
MAG60_00003	CDS	396				hypothetical protein
MAG60_00004	CDS	696	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
MAG60_00005	CDS	756	mip	5.2.1.8	COG0545	Outer membrane protein MIP
MAG60_00006	CDS	486	rsd		COG3160	Regulator of sigma D
MAG60_00007	CDS	720	yohK		COG1346	Inner membrane protein YohK
MAG60_00008	CDS	495	dsbB		COG1495	Disulfide bond formation protein B
MAG60_00009	CDS	1566	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
MAG60_00010	CDS	267				hypothetical protein
MAG60_00011	CDS	585	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
MAG60_00012	CDS	1284	gltP		COG1301	Proton/glutamate-aspartate symporter
MAG60_00013	CDS	1362	lplT			Lysophospholipid transporter LplT
MAG60_00014	CDS	504				hypothetical protein
MAG60_00015	CDS	1068	fbpC2_1	3.6.3.30	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
MAG60_00016	CDS	684	modB		COG4149	Molybdenum transport system permease protein ModB
MAG60_00017	CDS	663	modA		COG0725	Molybdate-binding protein ModA
MAG60_00018	CDS	387				hypothetical protein
MAG60_00019	CDS	252			COG4628	DNA-binding protein
MAG60_00020	CDS	924	dhmA2	3.8.1.5		Haloalkane dehalogenase 2
MAG60_00021	CDS	1878			COG3653	putative protein
MAG60_00022	CDS	525	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
MAG60_00023	CDS	597	argO		COG1279	Arginine exporter protein ArgO
MAG60_00024	CDS	2073				Immunogenic protein MPB70
MAG60_00025	CDS	1947		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
MAG60_00026	tRNA	76				tRNA-Trp(cca)
MAG60_00027	CDS	369	secE		COG0690	Protein translocase subunit SecE
MAG60_00028	CDS	534	nusG_1		COG0250	Transcription termination/antitermination protein NusG
MAG60_00029	CDS	432	rplK		COG0080	50S ribosomal protein L11
MAG60_00030	CDS	696	rplA		COG0081	50S ribosomal protein L1
MAG60_00031	CDS	531	rplJ		COG0244	50S ribosomal protein L10
MAG60_00032	CDS	381	rplL			50S ribosomal protein L7/L12
MAG60_00033	CDS	4143	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
MAG60_00034	CDS	4227	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
MAG60_00035	CDS	375	rpsL		COG0048	30S ribosomal protein S12
MAG60_00036	CDS	471	rpsG		COG0049	30S ribosomal protein S7
MAG60_00037	CDS	2103	fusA_1		COG0480	Elongation factor G
MAG60_00038	CDS	2085	fusA_2			Elongation factor G 1
MAG60_00039	CDS	1224	tuf1			Elongation factor Tu
MAG60_00040	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
MAG60_00041	CDS	636	rplC		COG0087	50S ribosomal protein L3
MAG60_00042	CDS	615	rplD		COG0088	50S ribosomal protein L4
MAG60_00043	CDS	297	rplW		COG0089	50S ribosomal protein L23
MAG60_00044	CDS	822	rplB		COG0090	50S ribosomal protein L2
MAG60_00045	CDS	276	rpsS		COG0185	30S ribosomal protein S19
MAG60_00046	CDS	333	rplV		COG0091	50S ribosomal protein L22
MAG60_00047	CDS	678	rpsC		COG0092	30S ribosomal protein S3
MAG60_00048	CDS	744				hypothetical protein
MAG60_00049	CDS	1428	gbsA_1	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
MAG60_00050	CDS	1185	yeaW_1	1.14.13.-	COG4638	Carnitine monooxygenase oxygenase subunit
MAG60_00051	CDS	1344	dadA	1.4.99.-		D-amino acid dehydrogenase
MAG60_00052	CDS	2163		3.5.1.93		Glutaryl-7-aminocephalosporanic-acid acylase
MAG60_00053	CDS	939	rbgA		COG1161	Ribosome biogenesis GTPase A
MAG60_00054	CDS	1191			COG2081	putative protein
MAG60_00055	CDS	570				hypothetical protein
MAG60_00056	CDS	1239	ycaD			putative MFS-type transporter YcaD
MAG60_00057	CDS	630				hypothetical protein
MAG60_00058	CDS	939	rdmC_1	3.1.1.95		Aclacinomycin methylesterase RdmC
MAG60_00059	CDS	2196	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
MAG60_00060	CDS	1539	cho	3.1.25.-	COG0322	Excinuclease cho
MAG60_00061	CDS	1278		1.-.-.-		NADH oxidase
MAG60_00062	CDS	801				hypothetical protein
MAG60_00063	CDS	1221	ccpA	1.11.1.5	COG1858	Cytochrome c551 peroxidase
MAG60_00064	CDS	1512				hypothetical protein
MAG60_00065	CDS	1029				hypothetical protein
MAG60_00066	CDS	426	flgC_1		COG1558	Flagellar basal-body rod protein FlgC
MAG60_00067	CDS	438	flgB_1		COG1815	Flagellar basal body rod protein FlgB
MAG60_00068	CDS	1020				hypothetical protein
MAG60_00069	CDS	300				hypothetical protein
MAG60_00070	CDS	432				hypothetical protein
MAG60_00071	CDS	279	flhB_1		COG1377	Flagellar biosynthetic protein FlhB
MAG60_00072	CDS	1074				hypothetical protein
MAG60_00073	CDS	432				hypothetical protein
MAG60_00074	CDS	1203				hypothetical protein
MAG60_00075	CDS	531				hypothetical protein
MAG60_00076	CDS	2112	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
MAG60_00077	CDS	1230	srp54_1			Signal recognition particle 54 kDa protein
MAG60_00078	CDS	825	ylxH		COG0455	Flagellum site-determining protein YlxH
MAG60_00079	CDS	711	fliA		COG1191	RNA polymerase sigma factor FliA
MAG60_00080	CDS	750				hypothetical protein
MAG60_00081	CDS	1302				hypothetical protein
MAG60_00082	CDS	1149	flhB_2		COG1377	Flagellar biosynthetic protein FlhB
MAG60_00083	CDS	771				hypothetical protein
MAG60_00084	CDS	270				hypothetical protein
MAG60_00085	CDS	759	fliP		COG1338	Flagellar biosynthetic protein FliP
MAG60_00086	CDS	351				hypothetical protein
MAG60_00087	CDS	303	fliN		COG1886	Flagellar motor switch protein FliN
MAG60_00088	CDS	993	fliM		COG1868	Flagellar motor switch protein FliM
MAG60_00089	CDS	1266				hypothetical protein
MAG60_00090	CDS	456				hypothetical protein
MAG60_00091	CDS	1332	fliI	3.6.3.14	COG1157	Flagellum-specific ATP synthase
MAG60_00092	CDS	918				hypothetical protein
MAG60_00093	CDS	1092	fliG_1		COG1536	Flagellar motor switch protein FliG
MAG60_00094	CDS	1791	fliF_1		COG1766	Flagellar M-ring protein
MAG60_00095	CDS	339	fliE_1		COG1677	Flagellar hook-basal body complex protein FliE
MAG60_00096	CDS	1407	atoC		COG2204	Regulatory protein AtoC
MAG60_00097	CDS	1128	ntrC_1		COG2204	DNA-binding transcriptional regulator NtrC
MAG60_00098	CDS	765	esiB			Secretory immunoglobulin A-binding protein EsiB
MAG60_00099	CDS	420	fliS		COG1516	Flagellar secretion chaperone FliS
MAG60_00100	CDS	1002	motB		COG1360	Motility protein B
MAG60_00101	CDS	1050			COG2885	Outer membrane protein Omp38
MAG60_00102	CDS	792	pomA		COG1291	Chemotaxis protein PomA
MAG60_00103	CDS	1530	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
MAG60_00104	CDS	768				hypothetical protein
MAG60_00105	CDS	594				hypothetical protein
MAG60_00106	CDS	906	ubiA	2.5.1.-	COG0382	4-hydroxybenzoate octaprenyltransferase
MAG60_00107	CDS	579	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
MAG60_00108	CDS	879	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
MAG60_00109	CDS	864	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
MAG60_00110	CDS	2085	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
MAG60_00111	CDS	732	plsC_1	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
MAG60_00112	CDS	2415	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
MAG60_00113	CDS	1089	recF		COG1195	DNA replication and repair protein RecF
MAG60_00114	CDS	105				hypothetical protein
MAG60_00115	CDS	336				hypothetical protein
MAG60_00116	CDS	1581				hypothetical protein
MAG60_00117	CDS	2442	fyuA_1		COG1629	Pesticin receptor
MAG60_00118	CDS	621	betI_1			HTH-type transcriptional regulator BetI
MAG60_00119	CDS	1095	betI_2		COG1309	HTH-type transcriptional regulator BetI
MAG60_00120	CDS	1416		5.1.1.21	COG0160	Isoleucine 2-epimerase
MAG60_00121	CDS	315				hypothetical protein
MAG60_00122	CDS	363				hypothetical protein
MAG60_00123	tRNA	87				tRNA-Leu(taa)
MAG60_00124	tRNA	74				tRNA-Cys(gca)
MAG60_00125	CDS	561	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MAG60_00126	CDS	1767	uvrC		COG0322	UvrABC system protein C
MAG60_00127	CDS	1116	kynU	3.7.1.3		Kynureninase
MAG60_00128	CDS	1170				hypothetical protein
MAG60_00129	CDS	477	lrp_1		COG1522	Leucine-responsive regulatory protein
MAG60_00130	CDS	1347				hypothetical protein
MAG60_00131	CDS	1347	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
MAG60_00132	CDS	510	ftsN			Cell division protein FtsN
MAG60_00133	CDS	2220	priA	3.6.4.-	COG1198	Primosomal protein N'
MAG60_00134	CDS	216	rpmE			50S ribosomal protein L31
MAG60_00135	CDS	249	lapA			Lipopolysaccharide assembly protein A
MAG60_00136	CDS	696	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
MAG60_00137	CDS	822	bglA_1	3.2.1.73		Beta-glucanase
MAG60_00138	CDS	1371	bglA_2	3.2.1.73		Beta-glucanase
MAG60_00139	CDS	402				hypothetical protein
MAG60_00140	CDS	657		3.1.3.-	COG0560	putative phosphatase
MAG60_00141	CDS	507	gcvH_1		COG0509	Glycine cleavage system H protein
MAG60_00142	CDS	930				hypothetical protein
MAG60_00143	CDS	993	srkA	2.7.11.1	COG2334	Stress response kinase A
MAG60_00144	CDS	417	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
MAG60_00145	CDS	219				hypothetical protein
MAG60_00146	CDS	684	ycgM		COG0179	putative protein YcgM
MAG60_00147	CDS	357				hypothetical protein
MAG60_00148	CDS	1404		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
MAG60_00149	CDS	213	scoF		COG1278	Cold shock protein ScoF
MAG60_00150	CDS	168	rpmG		COG0267	50S ribosomal protein L33
MAG60_00151	CDS	237	rpmB		COG0227	50S ribosomal protein L28
MAG60_00152	CDS	675				hypothetical protein
MAG60_00153	CDS	1212	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
MAG60_00154	CDS	1449	algC_1	5.4.2.2		Phosphomannomutase/phosphoglucomutase
MAG60_00155	CDS	915	argB	2.7.2.8	COG0548	Acetylglutamate kinase
MAG60_00156	CDS	585	slmA		COG1309	Nucleoid occlusion factor SlmA
MAG60_00157	CDS	648	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
MAG60_00158	CDS	720	rph	2.7.7.56	COG0689	Ribonuclease PH
MAG60_00159	CDS	864				hypothetical protein
MAG60_00160	CDS	228				hypothetical protein
MAG60_00161	CDS	456				hypothetical protein
MAG60_00162	CDS	609	gmk	2.7.4.8	COG0194	Guanylate kinase
MAG60_00163	CDS	177	nudC_1	3.6.1.22	COG2816	NADH pyrophosphatase
MAG60_00164	CDS	1068	sohB	3.4.21.-	COG0616	putative protease SohB
MAG60_00165	CDS	1167	magA		COG0475	Iron transporter MagA
MAG60_00166	CDS	117				hypothetical protein
MAG60_00167	CDS	1071	nadA	2.5.1.72	COG0379	Quinolinate synthase A
MAG60_00168	CDS	1521	bepA_2	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
MAG60_00169	CDS	1065			COG0628	Putative transport protein
MAG60_00170	CDS	2652	aceE_1	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
MAG60_00171	CDS	1335	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
