locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG272_00001	CDS	465	mraZ			Transcriptional regulator MraZ
MAG272_00002	CDS	900	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
MAG272_00003	CDS	318				hypothetical protein
MAG272_00004	CDS	1989	spoVD		COG0768	Stage V sporulation protein D
MAG272_00005	CDS	357	secG		COG1314	putative protein-export membrane protein SecG
MAG272_00006	CDS	282	groS		COG0234	10 kDa chaperonin
MAG272_00007	CDS	1638	groL		COG0459	60 kDa chaperonin
MAG272_00008	CDS	471	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
MAG272_00009	CDS	1527	purH		COG0138	Bifunctional purine biosynthesis protein PurH
MAG272_00010	CDS	453				hypothetical protein
MAG272_00011	CDS	825	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
MAG272_00012	CDS	1509				hypothetical protein
MAG272_00013	CDS	1191		2.6.1.1		Aspartate aminotransferase
MAG272_00014	CDS	621	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
MAG272_00015	CDS	1626	putC	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase 2
MAG272_00016	CDS	387	apaG		COG2967	Protein ApaG
MAG272_00017	CDS	1242				hypothetical protein
MAG272_00018	CDS	1353	nqrA	1.6.5.8	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
MAG272_00019	CDS	444	mscL		COG1970	Large-conductance mechanosensitive channel
MAG272_00020	CDS	1185	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
MAG272_00021	CDS	393	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
MAG272_00022	CDS	1020	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
MAG272_00023	CDS	564				hypothetical protein
MAG272_00024	CDS	1029	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
MAG272_00025	CDS	762				hypothetical protein
MAG272_00026	CDS	606				hypothetical protein
MAG272_00027	CDS	324	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
MAG272_00028	CDS	507				hypothetical protein
MAG272_00029	CDS	453				hypothetical protein
MAG272_00030	CDS	978	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
MAG272_00031	CDS	1227	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
MAG272_00032	CDS	492				hypothetical protein
MAG272_00033	CDS	630	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
MAG272_00034	CDS	882	folD			Bifunctional protein FolD protein
MAG272_00035	CDS	1323	ffh		COG0541	Signal recognition particle protein
MAG272_00036	CDS	654				hypothetical protein
MAG272_00037	CDS	1446				hypothetical protein
MAG272_00038	tRNA	75				tRNA-Arg(tcg)
MAG272_00039	CDS	447	yqeY		COG1610	putative protein YqeY
MAG272_00040	CDS	1797	ftsZ		COG0206	Cell division protein FtsZ
MAG272_00041	CDS	1308	ftsA		COG0849	Cell division protein FtsA
MAG272_00042	CDS	705				hypothetical protein
MAG272_00043	CDS	219				hypothetical protein
MAG272_00044	CDS	237				hypothetical protein
MAG272_00045	CDS	1155	czcB			Cobalt-zinc-cadmium resistance protein CzcB
MAG272_00046	CDS	225				hypothetical protein
MAG272_00047	CDS	387				hypothetical protein
MAG272_00048	CDS	3765	gltB	1.4.7.1		Ferredoxin-dependent glutamate synthase 1
MAG272_00049	CDS	1464	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
MAG272_00050	CDS	1956				hypothetical protein
MAG272_00051	CDS	594	rnhB	3.1.26.4	COG0164	Ribonuclease HII
MAG272_00052	CDS	2418				hypothetical protein
MAG272_00053	CDS	705	lipB	2.3.1.181	COG0321	Octanoyltransferase
MAG272_00054	CDS	1692	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
MAG272_00055	CDS	258	oprF_1			Outer membrane porin F
MAG272_00056	CDS	312	panC	6.3.2.1	COG0414	Pantothenate synthetase
MAG272_00057	CDS	351	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
MAG272_00058	CDS	957				hypothetical protein
MAG272_00059	CDS	1350	radA	3.6.4.-	COG1066	DNA repair protein RadA
MAG272_00060	CDS	582	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
MAG272_00061	CDS	945				hypothetical protein
MAG272_00062	CDS	816	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
MAG272_00063	CDS	645	recN		COG0497	DNA repair protein RecN
MAG272_00064	CDS	390	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
MAG272_00065	CDS	1764				hypothetical protein
MAG272_00066	CDS	828	bepA_2	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
MAG272_00067	CDS	663	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
MAG272_00068	CDS	3639	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
MAG272_00069	CDS	1215	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
MAG272_00070	CDS	420				hypothetical protein
MAG272_00071	CDS	555	atpH_1		COG0712	ATP synthase subunit delta
MAG272_00072	CDS	504	atpF			ATP synthase subunit b
MAG272_00073	CDS	192	atpE			ATP synthase subunit c
MAG272_00074	CDS	1077	atpB		COG0356	ATP synthase subunit a
MAG272_00075	CDS	114				hypothetical protein
MAG272_00076	CDS	219				hypothetical protein
MAG272_00077	CDS	414				hypothetical protein
MAG272_00078	CDS	2010				hypothetical protein
MAG272_00079	CDS	1059		3.4.21.26		Prolyl endopeptidase
MAG272_00080	CDS	1347	accC	6.3.4.14	COG0439	Biotin carboxylase
MAG272_00081	CDS	489	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
MAG272_00082	CDS	282	fabH2	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
MAG272_00083	CDS	342				hypothetical protein
MAG272_00084	CDS	660	aqpZ2			Aquaporin Z 2
MAG272_00085	CDS	696				hypothetical protein
MAG272_00086	CDS	582	yhdE		COG0424	Maf-like protein YhdE
MAG272_00087	CDS	528	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
MAG272_00088	CDS	747				hypothetical protein
MAG272_00089	CDS	420	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
MAG272_00090	CDS	297				hypothetical protein
MAG272_00091	CDS	402				hypothetical protein
MAG272_00092	CDS	1089	recF		COG1195	DNA replication and repair protein RecF
MAG272_00093	CDS	756				hypothetical protein
MAG272_00094	CDS	1800	uvrC		COG0322	UvrABC system protein C
MAG272_00095	CDS	561		6.3.3.2		5-formyltetrahydrofolate cyclo-ligase
MAG272_00096	CDS	183				hypothetical protein
MAG272_00097	CDS	330				hypothetical protein
MAG272_00098	CDS	606				hypothetical protein
MAG272_00099	CDS	267				hypothetical protein
MAG272_00100	CDS	417	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
MAG272_00101	CDS	519	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
MAG272_00102	CDS	378	dksA			RNA polymerase-binding transcription factor DksA
MAG272_00103	CDS	2262	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MAG272_00104	CDS	933	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
MAG272_00105	CDS	1887	rpsA		COG0539	30S ribosomal protein S1
MAG272_00106	CDS	504	gnl	3.1.1.17		Gluconolactonase
MAG272_00107	CDS	1791	yidC		COG0706	Membrane protein insertase YidC
MAG272_00108	CDS	1329	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
MAG272_00109	CDS	453	trxA_1		COG0526	Thioredoxin
MAG272_00110	CDS	1518	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
MAG272_00111	CDS	549				hypothetical protein
MAG272_00112	CDS	702	vanYB	3.4.16.4	COG1876	D-alanyl-D-alanine carboxypeptidase
MAG272_00113	CDS	366		2.3.1.-		Acetyltransferase
MAG272_00114	CDS	981	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
MAG272_00115	CDS	1158	dprA		COG0758	DNA processing protein DprA
MAG272_00116	CDS	906				hypothetical protein
MAG272_00117	CDS	510		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
MAG272_00118	CDS	2793				hypothetical protein
MAG272_00119	CDS	465				hypothetical protein
MAG272_00120	tRNA	73				tRNA-Arg(cct)
MAG272_00121	CDS	1467	crtP	1.14.99.44	COG1233	Diapolycopene oxygenase
MAG272_00122	CDS	675	crtA	1.14.15.9		Spheroidene monooxygenase
MAG272_00123	CDS	177				hypothetical protein
MAG272_00124	CDS	903	yxlF	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
MAG272_00125	CDS	834				hypothetical protein
MAG272_00126	CDS	1098	alr1	5.1.1.1	COG0787	Alanine racemase 1
MAG272_00127	CDS	642	tdk	2.7.1.21	COG1435	Thymidine kinase
MAG272_00128	CDS	444				hypothetical protein
