Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
MAG1	root (UID1)	5656	56	24	15	0	41	0	0	0	41.15	41.15	0.00
MAG10	p__Euryarchaeota (UID3)	148	188	125	25	162	1	0	0	0	82.13	0.80	0.00
MAG100	k__Bacteria (UID203)	5449	104	58	76	28	0	0	0	0	44.83	0.00	0.00
MAG101	k__Bacteria (UID203)	5449	104	58	37	40	18	9	0	0	82.62	43.73	93.33
MAG102	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
MAG103	k__Archaea (UID2)	207	145	103	127	8	10	0	0	0	4.62	0.75	0.00
MAG104	k__Archaea (UID2)	207	145	103	82	50	13	0	0	0	48.54	11.65	61.54
MAG105	k__Bacteria (UID203)	5449	104	58	94	2	8	0	0	0	15.52	12.07	100.00
MAG106	k__Archaea (UID2)	207	145	103	134	11	0	0	0	0	8.81	0.00	0.00
MAG107	k__Bacteria (UID2569)	434	278	186	185	93	0	0	0	0	30.11	0.00	0.00
MAG108	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG109	k__Bacteria (UID203)	5449	104	58	83	14	6	1	0	0	24.14	10.34	100.00
MAG11	c__Gammaproteobacteria (UID4274)	112	581	290	255	323	3	0	0	0	54.15	0.86	0.00
MAG110	k__Bacteria (UID203)	5449	102	56	69	33	0	0	0	0	45.45	0.00	0.00
MAG111	f__Rhodobacteraceae (UID3356)	67	615	329	44	527	41	3	0	0	93.29	6.45	82.00
MAG112	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG113	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG114	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG115	c__Gammaproteobacteria (UID4443)	356	451	270	58	329	52	10	2	0	89.20	23.02	60.64
MAG116	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG117	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG118	k__Bacteria (UID203)	5449	104	58	27	11	27	32	4	3	84.56	148.12	12.64
MAG119	k__Archaea (UID2)	207	145	103	133	7	5	0	0	0	3.76	0.37	0.00
MAG12	k__Bacteria (UID203)	5449	104	58	62	40	2	0	0	0	63.43	3.45	100.00
MAG120	k__Bacteria (UID2495)	2993	147	91	37	67	40	3	0	0	79.12	46.15	100.00
MAG121	k__Bacteria (UID3187)	2258	188	117	38	131	14	5	0	0	86.01	16.24	65.52
MAG122	k__Bacteria (UID203)	5449	104	58	68	33	2	1	0	0	55.17	6.90	100.00
MAG123	p__Euryarchaeota (UID3)	148	188	125	40	147	1	0	0	0	79.52	0.80	100.00
MAG124	k__Bacteria (UID203)	5449	99	53	37	48	9	5	0	0	51.42	7.92	54.17
MAG125	k__Bacteria (UID2495)	2993	147	91	11	119	16	1	0	0	91.21	9.79	21.05
MAG126	k__Bacteria (UID2495)	2993	147	91	8	97	32	10	0	0	92.31	49.45	100.00
MAG127	k__Bacteria (UID3187)	2258	190	119	53	99	33	5	0	0	79.86	22.23	58.33
MAG128	c__Gammaproteobacteria (UID4443)	356	451	270	77	371	3	0	0	0	90.80	0.59	66.67
MAG129	o__Actinomycetales (UID1572)	580	286	171	71	214	1	0	0	0	83.19	0.58	100.00
MAG13	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG130	c__Alphaproteobacteria (UID3305)	564	347	229	32	87	223	5	0	0	98.22	75.46	92.02
MAG131	k__Bacteria (UID2982)	88	230	148	138	86	6	0	0	0	33.26	3.04	66.67
MAG132	k__Bacteria (UID203)	5449	104	58	83	21	0	0	0	0	29.31	0.00	0.00
MAG133	k__Bacteria (UID2329)	174	149	89	27	121	1	0	0	0	74.79	1.12	100.00
MAG134	p__Proteobacteria (UID3880)	1495	242	151	12	174	51	5	0	0	93.41	31.90	65.15
MAG135	k__Bacteria (UID203)	5449	103	57	91	9	3	0	0	0	4.23	0.48	0.00
MAG136	p__Proteobacteria (UID3880)	1495	261	164	8	190	48	15	0	0	96.95	34.96	89.25
MAG137	k__Bacteria (UID1453)	901	171	117	8	161	2	0	0	0	93.73	1.28	0.00
MAG138	k__Bacteria (UID203)	5449	104	58	92	12	0	0	0	0	10.97	0.00	0.00
MAG139	k__Bacteria (UID203)	5449	103	57	101	2	0	0	0	0	1.75	0.00	0.00
MAG14	k__Archaea (UID2)	207	149	107	129	13	7	0	0	0	6.31	0.50	0.00
MAG140	o__Rickettsiales (UID3809)	83	324	211	178	118	23	4	1	0	50.65	12.13	85.37
MAG141	c__Gammaproteobacteria (UID4274)	112	581	290	4	405	127	39	6	0	98.91	40.30	93.93
MAG142	k__Bacteria (UID203)	5449	99	53	75	11	7	5	1	0	39.62	33.96	17.86
MAG143	k__Bacteria (UID203)	5449	104	58	78	14	12	0	0	0	36.21	15.52	100.00
MAG144	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG145	k__Bacteria (UID203)	5449	103	57	91	12	0	0	0	0	19.30	0.00	0.00
MAG146	k__Archaea (UID2)	207	145	103	3	83	24	27	8	0	97.09	63.68	94.12
MAG147	k__Archaea (UID2)	207	145	103	111	17	10	2	5	0	26.05	25.57	97.83
MAG148	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG149	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG15	k__Bacteria (UID203)	5449	104	58	2	71	28	2	1	0	96.55	32.76	90.00
MAG150	root (UID1)	5656	56	24	2	5	42	4	0	3	91.67	99.42	63.10
MAG151	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG152	k__Bacteria (UID2495)	2993	139	83	24	82	24	7	2	0	73.49	42.45	49.12
MAG153	f__Rhodobacteraceae (UID3360)	56	582	313	220	280	80	2	0	0	67.79	16.02	87.21
MAG154	k__Archaea (UID2)	207	149	107	8	93	47	0	1	0	92.99	29.91	100.00
MAG155	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG156	k__Archaea (UID2)	207	149	107	144	5	0	0	0	0	0.36	0.00	0.00
MAG157	k__Archaea (UID2)	207	149	107	138	6	5	0	0	0	2.22	0.36	0.00
MAG158	p__Proteobacteria (UID3880)	1495	242	151	64	151	20	7	0	0	75.66	18.57	78.05
MAG159	k__Bacteria (UID2495)	2993	147	91	81	47	19	0	0	0	44.61	18.68	100.00
MAG16	k__Archaea (UID2)	207	145	103	136	9	0	0	0	0	7.77	0.00	0.00
MAG160	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG161	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG162	c__Gammaproteobacteria (UID4274)	112	581	290	31	469	77	4	0	0	97.50	16.35	73.03
MAG163	k__Bacteria (UID2495)	2993	147	91	23	97	25	2	0	0	91.13	23.83	74.19
MAG164	c__Betaproteobacteria (UID3888)	323	376	229	108	250	13	5	0	0	70.94	6.72	57.14
MAG165	k__Bacteria (UID2495)	2993	147	91	28	63	29	19	8	0	87.91	85.71	96.27
MAG166	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG167	k__Bacteria (UID203)	5449	104	58	5	14	67	12	6	0	93.10	82.85	21.58
MAG168	c__Gammaproteobacteria (UID4443)	356	451	270	69	369	13	0	0	0	81.48	3.53	38.46
MAG169	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG17	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0.00	0.00
MAG170	c__Alphaproteobacteria (UID3305)	564	349	230	8	310	29	2	0	0	98.07	11.28	77.14
MAG171	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	11.21	0.00	0.00
MAG172	k__Bacteria (UID203)	5449	103	57	64	37	2	0	0	0	55.44	3.51	50.00
MAG173	f__Rhodobacteraceae (UID3340)	84	568	330	16	469	80	2	0	1	96.87	16.17	62.38
MAG174	p__Proteobacteria (UID3880)	1495	242	151	107	125	8	2	0	0	59.93	3.97	100.00
MAG175	c__Gammaproteobacteria (UID4443)	356	451	270	128	280	26	15	2	0	66.15	14.35	68.67
MAG176	k__Bacteria (UID203)	5449	99	53	0	4	5	16	23	51	100.00	373.52	55.46
MAG177	k__Bacteria (UID2565)	2921	152	93	83	67	2	0	0	0	42.19	1.61	0.00
MAG178	k__Archaea (UID2)	207	145	103	22	64	33	19	5	2	86.03	77.91	56.55
MAG179	k__Bacteria (UID203)	5449	104	58	82	19	3	0	0	0	23.42	3.45	66.67
MAG18	k__Bacteria (UID203)	5449	103	57	13	56	33	1	0	0	89.70	22.06	91.67
MAG180	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG181	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
MAG182	k__Bacteria (UID203)	5449	104	58	9	11	66	18	0	0	85.34	95.69	98.33
MAG183	k__Archaea (UID2)	207	149	107	27	111	11	0	0	0	77.26	4.64	54.55
MAG184	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	9.48	0.00	0.00
MAG185	c__Gammaproteobacteria (UID4443)	356	451	270	187	234	29	1	0	0	58.10	4.37	9.38
MAG186	k__Bacteria (UID203)	5449	104	58	5	83	16	0	0	0	96.24	5.90	37.50
MAG187	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	11.21	0.00	0.00
MAG188	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	17.24	0.00	0.00
