MAG65_00004	K01872
MAG65_00006	K12343
MAG65_00007	K19540
MAG65_00018	K21573
MAG65_00019	K03101
MAG65_00021	K01870
MAG65_00024	K06950
MAG65_00028	K01715
MAG65_00030	K03703
MAG65_00031	K08301
MAG65_00032	K03530
MAG65_00033	K03575
MAG65_00035	K03555
MAG65_00037	K06213
MAG65_00038	K02528
MAG65_00040	K01662
MAG65_00041	K11991
MAG65_00042	K03503
MAG65_00043	K03502
MAG65_00044	K00059
MAG65_00045	K23234
MAG65_00048	K00486
MAG65_00049	K01556
MAG65_00050	K00058
MAG65_00052	K01928
MAG65_00053	K01000
MAG65_00054	K01925
MAG65_00055	K03588
MAG65_00056	K13043
MAG65_00057	K00821
MAG65_00058	K00286
MAG65_00059	K00145
MAG65_00060	K01940
MAG65_00063	K00131
MAG65_00065	K06182
MAG65_00066	K00773
MAG65_00067	K11720
MAG65_00069	K01962
MAG65_00072	K00384
MAG65_00073	K22074
MAG65_00074	K03593
MAG65_00076	K03439
MAG65_00079	K00761
MAG65_00083	K00942
MAG65_00084	K00969
MAG65_00088	K02341
MAG65_00089	K00927
MAG65_00092	K21572
MAG65_00095	K00928
MAG65_00096	K00657
MAG65_00097	K03841
MAG65_00098	K04564
MAG65_00099	K00764
MAG65_00100	K00852
MAG65_00105	K23054
MAG65_00107	K03704
MAG65_00112	K05714
MAG65_00113	K01714
MAG65_00114	K13821
MAG65_00116	K18384
MAG65_00117	K00285
MAG65_00119	K20866
MAG65_00120	K11752
MAG65_00121	K03828
MAG65_00122	K02493
MAG65_00123	K07137
MAG65_00125	K00554
MAG65_00126	K11753
MAG65_00127	K16089
MAG65_00129	K11717
MAG65_00131	K01436
MAG65_00132	K09015
MAG65_00133	K09013
MAG65_00134	K09014
MAG65_00135	K13628
MAG65_00141	K04084
MAG65_00142	K04075
MAG65_00143	K01054
MAG65_00145	K01665
MAG65_00146	K00382
MAG65_00147	K05337
MAG65_00149	K00831
MAG65_00150	K00058
MAG65_00152	K06997
MAG65_00153	K02342
MAG65_00159	K01737
MAG65_00161	K01056
MAG65_00164	K07056
MAG65_00165	K01302
MAG65_00168	K01955
MAG65_00170	K03296
MAG65_00173	K03424
MAG65_00175	K03561
MAG65_00178	K01210
MAG65_00182	K10807
MAG65_00183	K01810
MAG65_00186	K03790
MAG65_00188	K03296
MAG65_00189	K03521
MAG65_00190	K03522
MAG65_00191	K08999
MAG65_00192	K03317
MAG65_00193	K00560
MAG65_00194	K00287
MAG65_00195	K00133
MAG65_00196	K02613
MAG65_00199	K02361
MAG65_00201	K18889
MAG65_00202	K00263
MAG65_00203	K03625
MAG65_00205	K03210
MAG65_00208	K03704
MAG65_00211	K18707
MAG65_00213	K00626
MAG65_00220	K01681
MAG65_00222	K00162
MAG65_00227	K02557
MAG65_00231	K03810
MAG65_00232	K00573
MAG65_00234	K03270
MAG65_00236	K01758
MAG65_00237	K01463
MAG65_00239	K00873
MAG65_00242	K06970
MAG65_00245	K00606
MAG65_00246	K00058
MAG65_00249	K03495
MAG65_00251	K16549
MAG65_00252	K01885
MAG65_00254	K00508
MAG65_00255	K00812
MAG65_00256	K03531
MAG65_00257	K03590
MAG65_00263	K03719
MAG65_00264	K01761
MAG65_00266	K03315
MAG65_00268	K02879
MAG65_00269	K03040
MAG65_00270	K02986
MAG65_00271	K02948
MAG65_00272	K02952
MAG65_00274	K02518
MAG65_00275	K03076
MAG65_00276	K02876
MAG65_00277	K02907
MAG65_00278	K02988
MAG65_00279	K02881
MAG65_00280	K02933
MAG65_00281	K02994
MAG65_00282	K02954
MAG65_00283	K02931
MAG65_00284	K02895
MAG65_00285	K02874
MAG65_00286	K02961
MAG65_00288	K02878
MAG65_00289	K02982
MAG65_00290	K02890
MAG65_00291	K02965
MAG65_00292	K02886
MAG65_00293	K02892
MAG65_00294	K02926
MAG65_00295	K02906
MAG65_00296	K02946
MAG65_00297	K02355
MAG65_00298	K02992
MAG65_00299	K02950
MAG65_00303	K00826
MAG65_00306	K07124
MAG65_00308	K01277
MAG65_00310	K02342
MAG65_00314	K06178
MAG65_00319	K22205
MAG65_00320	K06217
MAG65_00321	K01923
MAG65_00322	K04079
MAG65_00325	K00162
